,model,score
0,Rajaram1996/FacialEmoRecog,0.94751453
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9455268
2,Matthijs/snacks-classifier,0.9021007
3,nateraw/vit-age-classifier,0.9398641
4,ibombonato/vit-age-classifier,0.93935597
5,ibombonato/swin-age-classifier,0.91428286
6,nateraw/vit-base-beans-demo,0.9271984
7,nickmuchi/vit-base-beans,0.93762845
8,karthiksv/vit-base-beans,0.94190574
9,nateraw/vit-base-beans-demo-v3,0.9127245
10,johnnydevriese/vit_beans,0.9453158
11,nateraw/vit-base-beans-demo-v2,0.9417672
12,mmekias/vit-base-beans,0.94632846
13,nateraw/vit-base-beans,0.9553679
14,mrm8488/convnext-tiny-finetuned-beans,0.9530967
15,nickmuchi/vit-finetuned-cats-dogs,0.9576039
16,ismgar01/vit-base-cats-vs-dogs,0.9318175
17,akahana/vit-base-cats-vs-dogs,0.90023625
18,nateraw/vit-base-cats-vs-dogs,0.9397034
19,nateraw/test_model_a,0.0418945
20,eren23/pneumonia_test_attempt,0.95632553
21,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.94913125
22,nickmuchi/vit-base-xray-pneumonia,0.9295092
23,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.94807774
24,karthiksv/vit-base-patch16-224-cifar10,0.95635766
25,nateraw/vit-base-patch16-224-cifar10,0.9480092
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9440228
27,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.95206547
28,jadohu/BEiT-finetuned,0.90525854
29,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9476511
30,Ahmed9275/Vit-Cifar100,0.9122824
31,nielsr/vit-finetuned-eurosat-kornia,0.9407606
32,mrm8488/convnext-tiny-finetuned-eurosat,0.9664834
33,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.94796824
34,Calin/convnext-tiny-finteuned-eurosat,0.9505159
35,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.93314683
36,nielsr/convnext-tiny-finetuned-eurostat,0.9362073
37,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91588753
38,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91859263
39,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9070451
40,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9077736
41,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9107449
42,nielsr/convnext-tiny-finetuned-eurosat,0.9425531
43,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8993598
44,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89273596
45,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9236491
46,nielsr/van-base-finetuned-eurosat-imgaug,0.9234538
47,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9045622
48,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9129345
49,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9117543
50,nateraw/vit-base-food101,0.96263033
51,eslamxm/vit-base-food101,0.91518825
52,firebolt/llama_or_what2,0.92406785
53,nateraw/denver-nyc-paris,0.95234776
54,black/simple_kitchen,0.92969954
55,Suzana/new-york-tokyo-london,0.93926543
56,filipafcastro/beer_vs_wine,0.9494373
57,nateraw/baked-goods,0.9568166
58,ajanco/greens,0.9511257
59,HHousen/household-rooms,0.953049
60,Amrrs/indian-foods,0.9459293
61,nateraw/planes-trains-automobiles,0.9559648
62,julien-c/hotdog-not-hotdog,0.94938636
63,jmarshall/rare-puppers,0.9384563
64,micole66/dwarf-goats,0.94102144
65,nateraw/ex-for-evan,0.95732814
66,ferdinand/rare-puppers,0.9434461
67,ipvikas/rare-puppers,0.94639915
68,Frodnar/bee-likes,0.9354455
69,nateraw/baseball-stadium-foods,0.9468855
70,Giuliano/places,0.94820976
71,firas-spanioli/beer-whisky-wine-detection,0.9535096
72,jjhoffstein/lotr,0.9431219
73,Nonem100/Test-Model,0.90925765
74,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.94574475
75,LorenzoDeMattei/lawn-weeds,0.95236343
76,nateraw/doggos-lol,0.9181248
77,Symbermine/rare-puppers,0.9443533
78,gatecitypreservation/architectural_styles,0.9525564
79,Amrrs/south-indian-foods,0.9444962
80,hafidber/fruits,0.9504945
81,nateraw/rare-puppers-123,0.94478035
82,Aftabhussain/Tomato_Leaf_Classifier,0.95422566
83,Neto71/sea_mammals,0.9358787
84,lewtun/oz-fauna,0.9431969
85,hgarg/fruits,0.95270973
86,jasmeen/dogs,0.9526805
87,b25mayank3/shirt_identifier,0.9389076
88,jeffboudier/vision-transformers-spain-or-italy-fan,0.92647904
89,godiec/diam,0.9452167
90,firebolt/llama_or_what,0.9402584
91,juanfiguera/ice_cream,0.9458085
92,drab/Infrastructures,0.935965
93,Sena/dog,0.9446638
94,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9426593
95,hafidber/rare-puppers,0.931696
96,edixo/road_good_damaged_condition,0.92729443
97,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.94887155
98,Sena/flowers,0.95178854
99,johnnydevriese/vit-airplanes,0.9267074
100,nateraw/pasta-shapes,0.9550877
101,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.93780994
102,hgarg/indian-snacks,0.9434173
103,Hijazzi/rare-puppers,0.9443575
104,nateraw/trainer-rare-puppers,0.9037338
105,nateraw/rare-puppers-new-auth,0.93619156
106,nateraw/rare-puppers,0.949595
107,iyzg/computer-stuff,0.8309158
108,nateraw/huggingpics-package-demo-2,0.94508064
109,nateraw/pasta-pizza-ravioli,0.94061565
110,nateraw/donut-or-bagel,0.9337119
111,nateraw/rare-puppers-09-04-2021,0.937737
112,Zayn/VIT_Basic,0.9584733
113,driboune/skin_type,0.94073325
114,flyswot/test,0.8290356
115,nateraw/rare-puppers-demo,0.91779816
116,meame2010/rare-puppers,0.94674355
117,mmgyorke/vit-world-landmarks,0.91921914
118,AhmedSayeem/VIT_Basic,0.9387354
119,google/vit-base-patch16-224,0.93972194
120,IDEA-CCNL/Taiyi-vit-87M-D,0.93714285
121,facebook/deit-base-patch16-224,0.95125586
122,facebook/deit-base-distilled-patch16-224,0.94359136
123,mrm8488/data2vec-base-finetuned-imagenet1k,0.8688553
124,facebook/convnext-base-224,0.9349627
125,facebook/convnext-small-224,0.9450234
126,microsoft/swin-base-patch4-window7-224,0.9408476
127,microsoft/beit-base-patch16-224,0.39395824
128,facebook/convnext-tiny-224,0.93801254
129,Visual-Attention-Network/van-small,0.91258234
130,WinKawaks/vit-small-patch16-224,0.9037762
131,facebook/deit-small-distilled-patch16-224,0.8973909
132,Visual-Attention-Network/van-base,0.88594085
133,facebook/deit-small-patch16-224,0.904667
134,microsoft/swin-small-patch4-window7-224,0.89562017
135,Ahmed9275/ALL-3,0.9110966
136,facebook/convnext-large-224,0.8978029
137,WinKawaks/vit-tiny-patch16-224,0.7947337
138,Visual-Attention-Network/van-tiny,0.8367997
139,facebook/deit-tiny-distilled-patch16-224,0.87993425
140,Ahmed9275/ALL-test,0.9019231
141,facebook/deit-tiny-patch16-224,0.82319266
142,microsoft/swin-tiny-patch4-window7-224,0.9156554
143,Visual-Attention-Network/van-large,0.88038516
144,google/vit-base-patch32-384,0.92613757
145,facebook/convnext-base-224-22k-1k,0.95485026
146,google/vit-large-patch32-384,0.8685187
147,microsoft/swin-large-patch4-window7-224,0.96145076
148,lysandre/tiny-vit-random,0.03291286
149,facebook/convnext-large-224-22k-1k,0.9691201
150,microsoft/resnet-50,0.8652779
151,microsoft/beit-base-patch16-224-pt22k,0.9102806
152,facebook/deit-base-distilled-patch16-384,0.9470091
153,google/vit-base-patch16-384,0.95059377
154,facebook/convnext-base-384,0.93403774
155,facebook/convnext-xlarge-224-22k-1k,0.97570825
156,facebook/deit-base-patch16-384,0.9626645
157,google/vit-large-patch16-224,0.90568525
158,microsoft/beit-large-patch16-224,0.87016267
159,nielsr/convnext-xlarge-224-22k-1k,0.9736752
160,facebook/convnext-large-384-22k-1k,0.9956791
161,facebook/convnext-large-384,0.9486176
162,facebook/convnext-base-224-22k,0.96546674
163,microsoft/swin-large-patch4-window7-224-in22k,0.9699068
164,microsoft/swin-base-patch4-window7-224-in22k,0.95283324
165,microsoft/beit-base-patch16-224-pt22k-ft22k,0.88871056
166,facebook/convnext-large-224-22k,0.977183
167,facebook/convnext-xlarge-224-22k,0.97786033
168,microsoft/beit-large-patch16-224-pt22k-ft22k,0.9284459
169,microsoft/swin-base-patch4-window12-384-in22k,0.96058095
170,nielsr/convnext-xlarge-224-22k,0.979218
171,imjeffhi/pokemon_classifier,0.891816
172,AkshatSurolia/ViT-FaceMask-Finetuned,0.8920945
173,AkshatSurolia/BEiT-FaceMask-Finetuned,0.81307703
174,AkshatSurolia/DeiT-FaceMask-Finetuned,0.9155219
175,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.94424546
176,SriramSridhar78/sriram-car-classifier,0.8993277
