,model,score
0,Rajaram1996/FacialEmoRecog,0.97540885
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.93945944
2,Matthijs/snacks-classifier,0.9455678
3,nateraw/vit-age-classifier,0.9373506
4,ibombonato/vit-age-classifier,0.9476389
5,ibombonato/swin-age-classifier,0.9455066
6,nateraw/vit-base-beans-demo,0.9257816
7,nickmuchi/vit-base-beans,0.9281811
8,karthiksv/vit-base-beans,0.9479249
9,nateraw/vit-base-beans-demo-v3,0.9159421
10,johnnydevriese/vit_beans,0.9461489
11,nateraw/vit-base-beans-demo-v2,0.9454108
12,mmekias/vit-base-beans,0.89284956
13,nateraw/vit-base-beans,0.9417478
14,mrm8488/convnext-tiny-finetuned-beans,0.96095973
15,nickmuchi/vit-finetuned-cats-dogs,0.95490265
16,ismgar01/vit-base-cats-vs-dogs,0.9408589
17,akahana/vit-base-cats-vs-dogs,0.9202218
18,nateraw/vit-base-cats-vs-dogs,0.9389602
19,nateraw/test_model_a,0.039728563
20,eren23/pneumonia_test_attempt,0.95204115
21,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.94651765
22,nickmuchi/vit-base-xray-pneumonia,0.9389345
23,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9500852
24,karthiksv/vit-base-patch16-224-cifar10,0.94657487
25,nateraw/vit-base-patch16-224-cifar10,0.9517389
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9353472
27,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9560098
28,jadohu/BEiT-finetuned,0.84262174
29,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9625466
30,Ahmed9275/Vit-Cifar100,0.9383353
31,nielsr/vit-finetuned-eurosat-kornia,0.9413937
32,mrm8488/convnext-tiny-finetuned-eurosat,0.96618
33,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.95803386
34,Calin/convnext-tiny-finteuned-eurosat,0.96752083
35,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.9546959
36,nielsr/convnext-tiny-finetuned-eurostat,0.9582337
37,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9339013
38,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.94573194
39,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9334577
40,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9475852
41,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.946006
42,nielsr/convnext-tiny-finetuned-eurosat,0.9505658
43,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.9336583
44,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.94005656
45,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9480991
46,nielsr/van-base-finetuned-eurosat-imgaug,0.9681488
47,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9367773
48,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.94584286
49,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.94430155
50,nateraw/vit-base-food101,0.9553851
51,eslamxm/vit-base-food101,0.93888634
52,firebolt/llama_or_what2,0.9358339
53,nateraw/denver-nyc-paris,0.95333093
54,black/simple_kitchen,0.94604796
55,Suzana/new-york-tokyo-london,0.9374237
56,filipafcastro/beer_vs_wine,0.9562881
57,nateraw/baked-goods,0.9523007
58,ajanco/greens,0.9522436
59,HHousen/household-rooms,0.9511961
60,Amrrs/indian-foods,0.9473873
61,nateraw/planes-trains-automobiles,0.9569379
62,julien-c/hotdog-not-hotdog,0.94959617
63,jmarshall/rare-puppers,0.94463456
64,micole66/dwarf-goats,0.9498308
65,nateraw/ex-for-evan,0.954865
66,ferdinand/rare-puppers,0.94064504
67,ipvikas/rare-puppers,0.94949555
68,Frodnar/bee-likes,0.9416375
69,nateraw/baseball-stadium-foods,0.95325065
70,Giuliano/places,0.9609403
71,firas-spanioli/beer-whisky-wine-detection,0.9543826
72,jjhoffstein/lotr,0.9475192
73,Nonem100/Test-Model,0.9426418
74,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9499735
75,LorenzoDeMattei/lawn-weeds,0.945373
76,nateraw/doggos-lol,0.9042298
77,Symbermine/rare-puppers,0.9551487
78,gatecitypreservation/architectural_styles,0.9461455
79,Amrrs/south-indian-foods,0.9435824
80,hafidber/fruits,0.9572063
81,nateraw/rare-puppers-123,0.9430612
82,Aftabhussain/Tomato_Leaf_Classifier,0.94681823
83,Neto71/sea_mammals,0.9446507
84,lewtun/oz-fauna,0.94421154
85,hgarg/fruits,0.9516947
86,jasmeen/dogs,0.952208
87,b25mayank3/shirt_identifier,0.94287896
88,jeffboudier/vision-transformers-spain-or-italy-fan,0.93475145
89,godiec/diam,0.94920164
90,firebolt/llama_or_what,0.94989514
91,juanfiguera/ice_cream,0.9497895
92,drab/Infrastructures,0.95228344
93,Sena/dog,0.94577044
94,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9277786
95,hafidber/rare-puppers,0.9377166
96,edixo/road_good_damaged_condition,0.9453714
97,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9491438
98,Sena/flowers,0.94762534
99,johnnydevriese/vit-airplanes,0.9410375
100,nateraw/pasta-shapes,0.9523002
