,model,score
0,Rajaram1996/FacialEmoRecog,0.9381495
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9284151
2,Matthijs/snacks-classifier,0.9392125
3,nateraw/vit-age-classifier,0.9086583
4,ibombonato/vit-age-classifier,0.9276408
5,ibombonato/swin-age-classifier,0.93699485
6,nateraw/vit-base-beans-demo,0.9149619
7,nickmuchi/vit-base-beans,0.93233585
8,karthiksv/vit-base-beans,0.9403789
9,nateraw/vit-base-beans-demo-v3,0.928762
10,johnnydevriese/vit_beans,0.93921405
11,nateraw/vit-base-beans-demo-v2,0.9409639
12,mmekias/vit-base-beans,0.94621503
13,nateraw/vit-base-beans,0.9338053
14,mrm8488/convnext-tiny-finetuned-beans,0.97375417
15,nickmuchi/vit-finetuned-cats-dogs,0.95095176
16,akahana/vit-base-cats-vs-dogs,0.90280104
17,nateraw/vit-base-cats-vs-dogs,0.9183507
18,nateraw/test_model_a,0.018945627
19,eren23/pneumonia_test_attempt,0.96615547
20,nickmuchi/vit-base-xray-pneumonia,0.9216848
21,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9492021
22,karthiksv/vit-base-patch16-224-cifar10,0.9392477
23,nateraw/vit-base-patch16-224-cifar10,0.94531417
24,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9378995
25,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9499023
26,jadohu/BEiT-finetuned,0.8382758
27,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9509139
28,Ahmed9275/Vit-Cifar100,0.912271
29,nielsr/vit-finetuned-eurosat-kornia,0.94518775
30,mrm8488/convnext-tiny-finetuned-eurosat,0.9800152
31,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9666347
32,Calin/convnext-tiny-finteuned-eurosat,0.9629074
33,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.9585756
34,nielsr/convnext-tiny-finetuned-eurostat,0.9681661
35,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9338789
36,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9496684
37,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.94386137
38,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9453178
39,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.942139
40,nielsr/convnext-tiny-finetuned-eurosat,0.9791787
41,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.9294133
42,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.93514436
43,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9459704
44,nielsr/van-base-finetuned-eurosat-imgaug,0.9825035
45,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9374446
46,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.93530273
47,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9396936
48,nateraw/vit-base-food101,0.9459291
49,firebolt/llama_or_what2,0.8998075
50,nateraw/denver-nyc-paris,0.93845797
51,black/simple_kitchen,0.9325108
52,Suzana/new-york-tokyo-london,0.9246361
53,filipafcastro/beer_vs_wine,0.94024706
54,nateraw/baked-goods,0.9388622
55,ajanco/greens,0.9351343
56,HHousen/household-rooms,0.9348927
57,Amrrs/indian-foods,0.9380742
58,nateraw/planes-trains-automobiles,0.94559145
59,julien-c/hotdog-not-hotdog,0.92939645
60,jmarshall/rare-puppers,0.9015672
61,nateraw/ex-for-evan,0.93494904
62,ferdinand/rare-puppers,0.92576927
63,ipvikas/rare-puppers,0.93319744
64,Frodnar/bee-likes,0.92259485
65,nateraw/baseball-stadium-foods,0.93411434
66,firas-spanioli/beer-whisky-wine-detection,0.9329504
67,jjhoffstein/lotr,0.93523324
68,Nonem100/Test-Model,0.91918576
69,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.93425286
70,Symbermine/rare-puppers,0.9342775
71,gatecitypreservation/architectural_styles,0.93462324
72,Amrrs/south-indian-foods,0.9338003
73,hafidber/fruits,0.92213
74,nateraw/rare-puppers-123,0.9361907
75,Aftabhussain/Tomato_Leaf_Classifier,0.9387195
76,Neto71/sea_mammals,0.91400945
77,lewtun/oz-fauna,0.9359527
78,hgarg/fruits,0.9318723
79,jasmeen/dogs,0.92034256
80,b25mayank3/shirt_identifier,0.93451655
81,jeffboudier/vision-transformers-spain-or-italy-fan,0.91211253
82,godiec/diam,0.9415338
83,firebolt/llama_or_what,0.92914665
84,juanfiguera/ice_cream,0.93697226
85,drab/Infrastructures,0.92834175
86,Sena/dog,0.9325296
87,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.925707
88,hafidber/rare-puppers,0.925547
89,edixo/road_good_damaged_condition,0.9303882
90,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.93859124
91,Sena/flowers,0.91586155
92,johnnydevriese/vit-airplanes,0.918492
93,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.93452024
94,nateraw/trainer-rare-puppers,0.89338046
95,nateraw/rare-puppers-new-auth,0.93394816
96,nateraw/rare-puppers,0.92876494
97,iyzg/computer-stuff,0.9375945
98,nateraw/huggingpics-package-demo-2,0.9377821
99,nateraw/pasta-pizza-ravioli,0.9350352
100,nateraw/donut-or-bagel,0.9336225
101,nateraw/rare-puppers-09-04-2021,0.9409906
102,Zayn/VIT_Basic,0.9410317
103,driboune/skin_type,0.93835545
104,flyswot/test,0.87111306
105,nateraw/rare-puppers-demo,0.9276681
106,meame2010/rare-puppers,0.9348181
107,mmgyorke/vit-world-landmarks,0.9094258
108,AhmedSayeem/VIT_Basic,0.8977913
