,model,score
0,firebolt/llama_or_what2,0.90897715
1,google/vit-base-patch16-224,0.9099648
2,nateraw/denver-nyc-paris,0.9181601
3,black/simple_kitchen,0.9066227
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.91780275
5,Suzana/new-york-tokyo-london,0.899952
6,filipafcastro/beer_vs_wine,0.9061222
7,nateraw/baked-goods,0.9137276
8,ajanco/greens,0.9175848
9,nateraw/vit-base-beans-demo,0.9035739
10,HHousen/household-rooms,0.91656536
11,Amrrs/indian-foods,0.9199728
12,nateraw/planes-trains-automobiles,0.90996844
13,julien-c/hotdog-not-hotdog,0.90920395
14,jmarshall/rare-puppers,0.897047
15,nielsr/vit-finetuned-eurosat-kornia,0.9087997
16,eren23/pneumonia_test_attempt,0.90898687
17,micole66/dwarf-goats,0.89079756
18,nateraw/ex-for-evan,0.9184957
19,karthiksv/vit-base-patch16-224-cifar10,0.9107501
20,ferdinand/rare-puppers,0.90623766
21,ipvikas/rare-puppers,0.91267043
22,Frodnar/bee-likes,0.90295666
23,nickmuchi/vit-base-beans,0.8903797
24,nateraw/baseball-stadium-foods,0.9134429
25,Giuliano/places,0.91060233
26,firas-spanioli/beer-whisky-wine-detection,0.91079676
27,jjhoffstein/lotr,0.91472703
28,Nonem100/Test-Model,0.9055862
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9135269
30,LorenzoDeMattei/lawn-weeds,0.9095572
31,nateraw/doggos-lol,0.8943834
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9170468
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9115012
34,karthiksv/vit-base-beans,0.90009266
35,Symbermine/rare-puppers,0.9078311
36,nateraw/vit-base-patch16-224-cifar10,0.90444297
37,gatecitypreservation/architectural_styles,0.9030955
38,Amrrs/south-indian-foods,0.9079531
39,hafidber/fruits,0.9179334
40,nateraw/rare-puppers-123,0.91319686
41,Aftabhussain/Tomato_Leaf_Classifier,0.92797935
42,nickmuchi/vit-base-xray-pneumonia,0.9042342
43,Neto71/sea_mammals,0.90420127
44,lewtun/oz-fauna,0.91269314
45,hgarg/fruits,0.9092568
46,jasmeen/dogs,0.9058256
47,b25mayank3/shirt_identifier,0.9115826
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.902
49,facebook/convnext-base-224-22k,0.9443885
50,nickmuchi/vit-finetuned-cats-dogs,0.92217946
51,godiec/diam,0.92557114
52,Rajaram1996/FacialEmoRecog,0.91031295
53,nateraw/vit-base-beans-demo-v3,0.90483755
54,firebolt/llama_or_what,0.90081793
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.900757
56,johnnydevriese/vit_beans,0.91126984
57,nateraw/vit-age-classifier,0.8978337
58,nateraw/vit-base-beans-demo-v2,0.90613025
59,mmekias/vit-base-beans,0.8946337
60,juanfiguera/ice_cream,0.9124594
61,drab/Infrastructures,0.8791048
62,nateraw/vit-base-beans,0.9054582
63,Sena/dog,0.9027704
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.89884746
65,hafidber/rare-puppers,0.87553406
66,edixo/road_good_damaged_condition,0.9059189
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9090239
68,Sena/flowers,0.9082057
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9101803
70,johnnydevriese/vit-airplanes,0.9002483
71,nateraw/pasta-shapes,0.91471636
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9054031
73,hgarg/indian-snacks,0.91100144
74,nateraw/vit-base-food101,0.9091196
75,Hijazzi/rare-puppers,0.9096005
76,nateraw/trainer-rare-puppers,0.8848311
77,ibombonato/vit-age-classifier,0.8962881
78,nateraw/rare-puppers-new-auth,0.90299696
79,SriramSridhar78/sriram-car-classifier,0.8966179
80,ismgar01/vit-base-cats-vs-dogs,0.90475065
81,nateraw/rare-puppers,0.90721285
82,iyzg/computer-stuff,0.9011429
83,nateraw/huggingpics-package-demo-2,0.9115233
84,imjeffhi/pokemon_classifier,0.8822536
85,nateraw/pasta-pizza-ravioli,0.90032184
86,akahana/vit-base-cats-vs-dogs,0.86578876
87,nateraw/donut-or-bagel,0.8961768
88,nateraw/rare-puppers-09-04-2021,0.9184521
89,nateraw/vit-base-cats-vs-dogs,0.89038503
90,Zayn/VIT_Basic,0.9241903
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.92341155
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8701378
93,microsoft/swin-large-patch4-window7-224-in22k,0.954848
94,Ahmed9275/Vit-Cifar100,0.8480976
95,driboune/skin_type,0.893127
96,microsoft/swin-base-patch4-window7-224-in22k,0.94705176
97,facebook/deit-base-patch16-224,0.9260685
98,facebook/deit-base-distilled-patch16-224,0.9212775
99,eslamxm/vit-base-food101,0.89862996
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8646769
101,facebook/convnext-base-224,0.9442331
102,facebook/convnext-small-224,0.9429918
103,microsoft/swin-base-patch4-window7-224,0.917996
104,microsoft/beit-base-patch16-224,0.21909234
105,mrm8488/convnext-tiny-finetuned-eurosat,0.946123
106,mrm8488/convnext-tiny-finetuned-beans,0.95159
107,facebook/convnext-tiny-224,0.9380165
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9704596
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7368471
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.9364471
111,Calin/convnext-tiny-finteuned-eurosat,0.9589159
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.9400086
113,Visual-Attention-Network/van-small,0.92354786
114,WinKawaks/vit-small-patch16-224,0.8818144
115,facebook/deit-small-distilled-patch16-224,0.89423597
116,Visual-Attention-Network/van-base,0.9244523
117,jadohu/BEiT-finetuned,0.7769612
118,nielsr/convnext-tiny-finetuned-eurostat,0.94422674
119,facebook/deit-small-patch16-224,0.89292455
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9280731
121,microsoft/swin-small-patch4-window7-224,0.9228552
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.92719454
123,Ahmed9275/ALL-3,0.92444134
124,facebook/convnext-large-224,0.9372558
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.913477
126,WinKawaks/vit-tiny-patch16-224,0.8326789
127,Visual-Attention-Network/van-tiny,0.8687959
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9165254
129,facebook/deit-tiny-distilled-patch16-224,0.86769056
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9129198
131,nielsr/convnext-tiny-finetuned-eurosat,0.938353
132,ibombonato/swin-age-classifier,0.9158053
133,Ahmed9275/ALL-test,0.9165661
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.9109201
135,facebook/deit-tiny-patch16-224,0.84663916
136,microsoft/swin-tiny-patch4-window7-224,0.92058504
137,flyswot/test,0.8521658
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89585066
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9188443
140,nielsr/van-base-finetuned-eurosat-imgaug,0.9210778
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.91929287
142,Visual-Attention-Network/van-large,0.934255
143,Matthijs/snacks-classifier,0.9041435
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.92004585
