,model,score
0,firebolt/llama_or_what2,0.81158507
1,google/vit-base-patch16-224,0.81316364
2,nateraw/denver-nyc-paris,0.8253467
3,black/simple_kitchen,0.83176005
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.84488213
5,Suzana/new-york-tokyo-london,0.8388476
6,filipafcastro/beer_vs_wine,0.8357692
7,nateraw/baked-goods,0.85105485
8,ajanco/greens,0.8157918
9,nateraw/vit-base-beans-demo,0.8041658
10,HHousen/household-rooms,0.8176963
11,Amrrs/indian-foods,0.8303462
12,nateraw/planes-trains-automobiles,0.83782333
13,julien-c/hotdog-not-hotdog,0.83260286
14,jmarshall/rare-puppers,0.8470834
15,nielsr/vit-finetuned-eurosat-kornia,0.84876645
16,eren23/pneumonia_test_attempt,0.8596908
17,micole66/dwarf-goats,0.8316252
18,nateraw/ex-for-evan,0.83642834
19,karthiksv/vit-base-patch16-224-cifar10,0.85037273
20,ferdinand/rare-puppers,0.8100606
21,ipvikas/rare-puppers,0.8258273
22,Frodnar/bee-likes,0.8136866
23,nickmuchi/vit-base-beans,0.8478362
24,nateraw/baseball-stadium-foods,0.830185
25,Giuliano/places,0.8487909
26,firas-spanioli/beer-whisky-wine-detection,0.8469892
27,jjhoffstein/lotr,0.83240217
28,Nonem100/Test-Model,0.838774
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8359913
30,LorenzoDeMattei/lawn-weeds,0.82433593
31,nateraw/doggos-lol,0.82433593
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8404979
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8239057
34,karthiksv/vit-base-beans,0.81842035
35,Symbermine/rare-puppers,0.8481831
36,nateraw/vit-base-patch16-224-cifar10,0.8249293
37,gatecitypreservation/architectural_styles,0.82789326
38,Amrrs/south-indian-foods,0.82764703
39,hafidber/fruits,0.84815896
40,nateraw/rare-puppers-123,0.82104516
41,Aftabhussain/Tomato_Leaf_Classifier,0.8456795
42,nickmuchi/vit-base-xray-pneumonia,0.8317996
43,Neto71/sea_mammals,0.83590543
44,lewtun/oz-fauna,0.8457995
45,hgarg/fruits,0.84723824
46,jasmeen/dogs,0.8518288
47,b25mayank3/shirt_identifier,0.8320407
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8252093
49,facebook/convnext-base-224-22k,0.9507937
50,nickmuchi/vit-finetuned-cats-dogs,0.83150345
51,godiec/diam,0.83544004
52,Rajaram1996/FacialEmoRecog,0.8462733
53,nateraw/vit-base-beans-demo-v3,0.8300911
54,firebolt/llama_or_what,0.8244133
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8559079
56,johnnydevriese/vit_beans,0.81842035
57,nateraw/vit-age-classifier,0.81492376
58,nateraw/vit-base-beans-demo-v2,0.8219233
59,mmekias/vit-base-beans,0.79091966
60,juanfiguera/ice_cream,0.82423925
61,drab/Infrastructures,0.8349433
62,nateraw/vit-base-beans,0.8135167
63,Sena/dog,0.8445488
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8231473
65,hafidber/rare-puppers,0.84758663
66,edixo/road_good_damaged_condition,0.8445662
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8445356
68,Sena/flowers,0.83348
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8420098
70,johnnydevriese/vit-airplanes,0.8487909
71,nateraw/pasta-shapes,0.84583455
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8278853
73,hgarg/indian-snacks,0.8280806
74,nateraw/vit-base-food101,0.82398313
75,Hijazzi/rare-puppers,0.8450027
76,nateraw/trainer-rare-puppers,0.7986962
77,ibombonato/vit-age-classifier,0.8274299
78,nateraw/rare-puppers-new-auth,0.79953915
79,SriramSridhar78/sriram-car-classifier,0.77171636
80,ismgar01/vit-base-cats-vs-dogs,0.8164788
81,nateraw/rare-puppers,0.8558559
82,iyzg/computer-stuff,0.83672935
83,nateraw/huggingpics-package-demo-2,0.8283619
84,imjeffhi/pokemon_classifier,0.8327571
85,nateraw/pasta-pizza-ravioli,0.84646755
86,akahana/vit-base-cats-vs-dogs,0.8191628
87,nateraw/donut-or-bagel,0.8423676
88,nateraw/rare-puppers-09-04-2021,0.8473852
89,nateraw/vit-base-cats-vs-dogs,0.83699673
90,Zayn/VIT_Basic,0.8467302
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.84701604
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8030506
93,microsoft/swin-large-patch4-window7-224-in22k,0.9139079
94,Ahmed9275/Vit-Cifar100,0.78322124
95,driboune/skin_type,0.8431797
96,microsoft/swin-base-patch4-window7-224-in22k,0.8741588
97,facebook/deit-base-patch16-224,0.83829015
98,facebook/deit-base-distilled-patch16-224,0.8696556
99,eslamxm/vit-base-food101,0.7646855
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8204629
101,facebook/convnext-base-224,0.92484015
102,facebook/convnext-small-224,0.921445
103,microsoft/swin-base-patch4-window7-224,0.8937959
104,microsoft/beit-base-patch16-224,0.16887726
105,mrm8488/convnext-tiny-finetuned-eurosat,0.9238639
106,mrm8488/convnext-tiny-finetuned-beans,0.92349327
107,facebook/convnext-tiny-224,0.9161305
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9312245
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7768637
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.89708954
111,Calin/convnext-tiny-finteuned-eurosat,0.9280655
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.94209164
113,Visual-Attention-Network/van-small,0.8416784
114,WinKawaks/vit-small-patch16-224,0.78729266
115,facebook/deit-small-distilled-patch16-224,0.79994744
116,Visual-Attention-Network/van-base,0.8705475
117,jadohu/BEiT-finetuned,0.7249412
118,nielsr/convnext-tiny-finetuned-eurostat,0.9223308
119,facebook/deit-small-patch16-224,0.7770466
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.84429306
121,microsoft/swin-small-patch4-window7-224,0.86709416
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.85849154
123,Ahmed9275/ALL-3,0.8694441
124,facebook/convnext-large-224,0.91144305
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8488723
126,WinKawaks/vit-tiny-patch16-224,0.62739617
127,Visual-Attention-Network/van-tiny,0.79977375
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8480742
129,facebook/deit-tiny-distilled-patch16-224,0.7384098
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8374342
131,nielsr/convnext-tiny-finetuned-eurosat,0.9394733
132,ibombonato/swin-age-classifier,0.84694654
133,Ahmed9275/ALL-test,0.85636234
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.83681244
135,facebook/deit-tiny-patch16-224,0.71607137
136,microsoft/swin-tiny-patch4-window7-224,0.8746334
137,flyswot/test,0.6623125
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.87871766
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.88662994
140,nielsr/van-base-finetuned-eurosat-imgaug,0.8936663
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.87039036
142,Visual-Attention-Network/van-large,0.86555505
143,Matthijs/snacks-classifier,0.8725456
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.87094826
145,nateraw/test_model_a,0.020275693
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8713095
147,google/vit-base-patch32-384,0.82537144
148,nateraw/rare-puppers-demo,0.82016903
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.6871642
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8813423
151,meame2010/rare-puppers,0.8341015
152,facebook/convnext-base-224-22k-1k,0.9185694
153,google/vit-large-patch32-384,0.795174
154,microsoft/swin-large-patch4-window7-224,0.93658453
155,mmgyorke/vit-world-landmarks,0.8526492
156,lysandre/tiny-vit-random,0.054815188
157,AhmedSayeem/VIT_Basic,0.8289458
158,facebook/convnext-large-224-22k-1k,0.9224806
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.85233814
160,facebook/convnext-base-384,0.9868137
161,microsoft/resnet-50,0.8368189
162,microsoft/beit-base-patch16-224-pt22k,0.57299894
163,microsoft/beit-large-patch16-224,0.8243837
164,facebook/convnext-large-224-22k,0.9378922
165,google/vit-large-patch16-224,0.79724556
166,facebook/convnext-large-384,0.9459213
167,facebook/convnext-xlarge-224-22k,0.94589645
168,facebook/convnext-large-384-22k-1k,0.9666051
169,nielsr/convnext-xlarge-224-22k-1k,0.93912184
170,facebook/deit-base-patch16-384,0.89036244
171,google/vit-base-patch16-384,0.8806787
172,microsoft/swin-base-patch4-window12-384-in22k,0.953622
173,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8675749
174,facebook/deit-base-distilled-patch16-384,0.92361754
175,facebook/convnext-xlarge-224-22k-1k,0.93912184
176,nielsr/convnext-xlarge-224-22k,0.9434333
