,model,score
0,google/vit-base-patch16-224,1.004764330191062
1,IDEA-CCNL/Taiyi-vit-87M-D,0.9943066149101613
2,facebook/deit-base-patch16-224,1.0518927715749724
3,facebook/deit-base-distilled-patch16-224,1.0080293727777916
4,mrm8488/data2vec-base-finetuned-imagenet1k,1.1470280602405694
5,facebook/convnext-base-224,1.0107403330872244
6,facebook/convnext-small-224,0.9942724363611012
7,microsoft/swin-base-patch4-window7-224,1.064100274500995
8,microsoft/beit-base-patch16-224,0.8588370267746892
9,facebook/convnext-tiny-224,0.9916466121399218
10,Visual-Attention-Network/van-small,1.0012809808319223
11,WinKawaks/vit-small-patch16-224,1.0794105390949855
12,facebook/deit-small-distilled-patch16-224,0.9493496823722762
13,Visual-Attention-Network/van-base,0.9987812106341818
14,facebook/deit-small-patch16-224,1.0805046500749542
15,microsoft/swin-small-patch4-window7-224,1.125122936962521
16,Ahmed9275/ALL-3,1.0447712088919516
17,facebook/convnext-large-224,0.9949406830817508
18,WinKawaks/vit-tiny-patch16-224,0.9320995287837592
19,Visual-Attention-Network/van-tiny,0.9254232992224873
20,facebook/deit-tiny-distilled-patch16-224,1.0978474481551876
21,Ahmed9275/ALL-test,1.0442322261217707
22,facebook/deit-tiny-patch16-224,1.0656246265801095
23,microsoft/swin-tiny-patch4-window7-224,1.0437723783697557
24,Visual-Attention-Network/van-large,1.0499012701123138
25,google/vit-base-patch32-384,1.011502427326618
26,facebook/convnext-base-224-22k-1k,1.0375432700916292
27,google/vit-large-patch32-384,1.053629505364248
28,microsoft/swin-large-patch4-window7-224,1.1627534566386664
29,lysandre/tiny-vit-random,0.38266985053692226
30,facebook/convnext-large-224-22k-1k,1.1179289015819311
31,facebook/convnext-base-384,1.0198317558984373
32,microsoft/resnet-50,1.19482593741751
33,microsoft/beit-base-patch16-224-pt22k,0.8788142005953801
34,microsoft/beit-large-patch16-224,0.8225020380317714
35,google/vit-large-patch16-224,1.0443888585443073
36,facebook/convnext-large-384,1.1589403868515573
37,facebook/convnext-large-384-22k-1k,1.297696167317413
38,nielsr/convnext-xlarge-224-22k-1k,1.1151908738355454
39,facebook/deit-base-patch16-384,1.0883672273487708
40,google/vit-base-patch16-384,1.0779474951828318
41,facebook/deit-base-distilled-patch16-384,1.0456058573924087
42,facebook/convnext-xlarge-224-22k-1k,1.1286971244409973
43,microsoft/beit-large-patch16-384,0.8813119311520674
44,microsoft/swin-large-patch4-window12-384,1.2445154626876906
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1.0290749513536097
46,karthiksv/vit-base-patch16-224-cifar10,1.0638568729686169
47,nateraw/vit-base-patch16-224-cifar10,0.9933974575849953
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,1.0481298269294843
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9979410407363488
50,jadohu/BEiT-finetuned,1.0035327759351493
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,1.0963480989032572
52,nateraw/vit-base-beans-demo,1.0075483263840663
53,nickmuchi/vit-base-beans,1.044471082055874
54,karthiksv/vit-base-beans,1.0671400860651814
55,nateraw/vit-base-beans-demo-v3,1.0049130846812104
56,johnnydevriese/vit_beans,1.0215300539544736
57,nateraw/vit-base-beans-demo-v2,1.0661539438764334
58,mmekias/vit-base-beans,1.0603537462209935
59,nateraw/vit-base-beans,1.0870167731319966
60,mrm8488/convnext-tiny-finetuned-beans,1.0332189526575861
61,nielsr/vit-finetuned-eurosat-kornia,1.0364105470752667
62,mrm8488/convnext-tiny-finetuned-eurosat,1.0611947513955753
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,1.0612934359733006
64,Calin/convnext-tiny-finteuned-eurosat,1.0634157268114917
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,1.0048543524986382
66,nielsr/convnext-tiny-finetuned-eurostat,1.0050198678844264
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0276994271728621
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0817933385046947
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,1.089339061936445
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0818836118289685
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0815576499828325
72,nielsr/convnext-tiny-finetuned-eurosat,1.012480207356317
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,1.0891561210290448
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0306091074941102
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,1.089287502728865
76,nielsr/van-base-finetuned-eurosat-imgaug,1.045946563366322
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0891753319217201
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0892915178702913
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,1.0893590947222582
80,eren23/pneumonia_test_attempt,1.0099285982695894
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,1.0103820989267354
82,nickmuchi/vit-base-xray-pneumonia,1.0111491880725743
83,facebook/convnext-base-224-22k,1.044247800560949
84,microsoft/swin-large-patch4-window7-224-in22k,1.201527187247597
85,microsoft/swin-base-patch4-window7-224-in22k,1.088151151088381
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8974658919448824
87,facebook/convnext-large-224-22k,1.1343633136696747
88,facebook/convnext-xlarge-224-22k,1.171504855223506
89,microsoft/swin-base-patch4-window12-384-in22k,1.1030058641609157
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8714414293072718
91,nielsr/convnext-xlarge-224-22k,1.1701623752658674
92,nickmuchi/vit-finetuned-cats-dogs,0.984022226256752
93,ismgar01/vit-base-cats-vs-dogs,0.9841330067057602
94,akahana/vit-base-cats-vs-dogs,1.039785866423833
95,nateraw/vit-base-cats-vs-dogs,0.9842899760226447
96,nateraw/test_model_a,0.41643858640685794
97,matteopilotto/vit-base-patch16-224-in21k-snacks,1.041329842853949
98,Matthijs/snacks-classifier,1.0937440048799938
99,nateraw/vit-base-food101,1.019527616431321
100,eslamxm/vit-base-food101,1.1117415318532609
101,SriramSridhar78/sriram-car-classifier,0.8955206615129768
102,imjeffhi/pokemon_classifier,0.9703475724107138
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.9788835766608355
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.7167578571804595
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.9236828730562474
106,Ahmed9275/Vit-Cifar100,1.1288031451369753
