,model,score
0,Matthijs/snacks-classifier,0.9559756979688245
1,johnnydevriese/vit_beans,0.9283429987153795
2,nateraw/vit-base-beans,0.9425784741288226
3,nateraw/vit-base-beans-demo-v2,0.9326649974063912
4,nateraw/vit-base-beans-demo,0.9365177878080431
5,nickmuchi/vit-finetuned-cats-dogs,0.9494326876592822
6,nateraw/vit-base-cats-vs-dogs,0.936853464878368
7,eren23/pneumonia_test_attempt,0.926530547269067
8,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9445892365856707
9,karthiksv/vit-base-patch16-224-cifar10,0.9287572347911919
10,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9533194345804077
11,Calin/convnext-tiny-finteuned-eurosat,0.9619910446526774
12,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9307926287674491
13,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9264213037022273
14,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.919720560847054
15,nateraw/rare-puppers-09-04-2021,0.9449761758878594
16,firas-spanioli/beer-whisky-wine-detection,0.939996825709386
17,micole66/dwarf-goats,0.9457078536688641
18,Suzana/new-york-tokyo-london,0.9215061901741137
19,Zayn/VIT_Basic,0.945785476364108
20,nateraw/rare-puppers,0.9315429692924226
21,hafidber/rare-puppers,0.9422923578422342
22,LorenzoDeMattei/lawn-weeds,0.9352042125647131
23,lewtun/oz-fauna,0.9359030514733604
24,Frodnar/bee-likes,0.9403092197317164
25,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9387980445444555
26,nateraw/rare-puppers-demo,0.8865459549160732
27,jmarshall/rare-puppers,0.9393308795188204
28,nateraw/ex-for-evan,0.9414966907952476
29,nateraw/baseball-stadium-foods,0.9448416063623881
30,drab/Infrastructures,0.9418750271343015
31,Amrrs/indian-foods,0.945670694745786
32,nateraw/trainer-rare-puppers,0.8751200762253575
33,nateraw/doggos-lol,0.9024150980822014
34,flyswot/test,0.8555590272644622
35,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.935666313083857
36,facebook/deit-base-patch16-224,0.9173863647883991
37,facebook/convnext-tiny-224,0.9851605367566663
38,microsoft/swin-base-patch4-window7-224,0.9578856047482986
39,google/vit-base-patch16-224,0.9434534067477216
40,google/vit-large-patch16-224,0.9249168438691413
41,facebook/deit-small-patch16-224,0.9036355748994538
42,microsoft/swin-tiny-patch4-window7-224,0.9603322313942044
43,Ahmed9275/ALL-test,0.926322327581147
44,lysandre/tiny-vit-random,0.06260521755939408
45,google/vit-large-patch32-384,0.9469497052359657
46,microsoft/swin-large-patch4-window12-384,1.0357145014040725
47,microsoft/beit-large-patch16-384,0.5402599962653767
48,microsoft/beit-large-patch16-224,0.677327343264551
49,facebook/convnext-base-384,0.9903463178034144
50,facebook/convnext-xlarge-224-22k-1k,0.9926917122938903
51,facebook/convnext-large-224-22k,0.998685822925836
52,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7720900178264856
53,AkshatSurolia/ViT-FaceMask-Finetuned,0.8864546859203983
