,model,score
0,firebolt/llama_or_what2,5886.2144
1,google/vit-base-patch16-224,5886.2144
2,nateraw/denver-nyc-paris,5886.2144
3,black/simple_kitchen,5886.2144
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,5886.554
5,Suzana/new-york-tokyo-london,5886.2144
6,filipafcastro/beer_vs_wine,5886.2144
7,nateraw/baked-goods,5886.2144
8,ajanco/greens,5886.2144
9,nateraw/vit-base-beans-demo,5886.2144
10,HHousen/household-rooms,5886.2144
11,Amrrs/indian-foods,5886.2144
12,nateraw/planes-trains-automobiles,5886.2144
13,julien-c/hotdog-not-hotdog,5886.7573
14,jmarshall/rare-puppers,5886.2144
15,nielsr/vit-finetuned-eurosat-kornia,5886.554
16,eren23/pneumonia_test_attempt,5886.2144
17,micole66/dwarf-goats,5886.2144
18,nateraw/ex-for-evan,5886.2144
19,karthiksv/vit-base-patch16-224-cifar10,5886.7573
20,ferdinand/rare-puppers,5886.2144
21,ipvikas/rare-puppers,5886.2144
22,Frodnar/bee-likes,5886.2144
23,nickmuchi/vit-base-beans,5886.2144
24,nateraw/baseball-stadium-foods,5886.2144
25,Giuliano/places,5886.2144
26,firas-spanioli/beer-whisky-wine-detection,5886.2144
27,jjhoffstein/lotr,5886.2144
28,Nonem100/Test-Model,5886.2144
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,5886.2144
30,LorenzoDeMattei/lawn-weeds,5886.2144
31,nateraw/doggos-lol,5886.2144
32,IDEA-CCNL/Taiyi-vit-87M-D,5886.2144
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,5886.2144
34,karthiksv/vit-base-beans,5886.7573
35,Symbermine/rare-puppers,5886.2144
36,nateraw/vit-base-patch16-224-cifar10,5886.7573
37,gatecitypreservation/architectural_styles,5886.2144
38,Amrrs/south-indian-foods,5886.2144
39,hafidber/fruits,5886.2144
40,nateraw/rare-puppers-123,5886.7573
41,Aftabhussain/Tomato_Leaf_Classifier,5886.2144
42,nickmuchi/vit-base-xray-pneumonia,5886.2144
43,Neto71/sea_mammals,5886.2144
44,lewtun/oz-fauna,5886.2144
45,hgarg/fruits,5886.2144
46,jasmeen/dogs,5886.2144
47,b25mayank3/shirt_identifier,5886.2144
48,jeffboudier/vision-transformers-spain-or-italy-fan,5886.2144
49,facebook/convnext-base-224-22k,5886.7573
50,nickmuchi/vit-finetuned-cats-dogs,5886.2144
51,godiec/diam,5886.2144
52,Rajaram1996/FacialEmoRecog,5886.2144
53,nateraw/vit-base-beans-demo-v3,5886.2144
54,firebolt/llama_or_what,5886.2144
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,5886.7573
56,johnnydevriese/vit_beans,5886.2144
57,nateraw/vit-age-classifier,5886.2144
58,nateraw/vit-base-beans-demo-v2,5886.2144
59,mmekias/vit-base-beans,5886.7573
60,juanfiguera/ice_cream,5886.2144
61,drab/Infrastructures,5886.2144
62,nateraw/vit-base-beans,5886.2144
63,Sena/dog,5886.2144
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,5886.2144
65,hafidber/rare-puppers,5886.7573
66,edixo/road_good_damaged_condition,5886.2144
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,5886.2144
68,Sena/flowers,5886.2144
69,matteopilotto/vit-base-patch16-224-in21k-snacks,5886.2144
70,johnnydevriese/vit-airplanes,5886.2144
71,nateraw/pasta-shapes,5886.2144
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,5886.2144
73,hgarg/indian-snacks,5886.2144
