,model,score
0,firebolt/llama_or_what2,13342.145
1,google/vit-base-patch16-224,13342.145
2,nateraw/denver-nyc-paris,13342.145
3,black/simple_kitchen,13342.145
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,13342.145
5,Suzana/new-york-tokyo-london,13342.145
6,filipafcastro/beer_vs_wine,13342.145
7,nateraw/baked-goods,13342.145
8,ajanco/greens,13342.145
9,nateraw/vit-base-beans-demo,13342.145
10,HHousen/household-rooms,13342.145
11,Amrrs/indian-foods,13342.145
12,nateraw/planes-trains-automobiles,13342.145
13,julien-c/hotdog-not-hotdog,13342.145
14,jmarshall/rare-puppers,13342.145
15,nielsr/vit-finetuned-eurosat-kornia,13342.145
16,eren23/pneumonia_test_attempt,13342.145
17,micole66/dwarf-goats,13342.145
18,nateraw/ex-for-evan,13342.145
19,karthiksv/vit-base-patch16-224-cifar10,13342.145
20,ferdinand/rare-puppers,13342.145
21,ipvikas/rare-puppers,13342.145
22,Frodnar/bee-likes,13342.145
23,nickmuchi/vit-base-beans,13342.145
24,nateraw/baseball-stadium-foods,13342.145
25,Giuliano/places,13342.145
26,firas-spanioli/beer-whisky-wine-detection,13342.145
27,jjhoffstein/lotr,13342.145
28,Nonem100/Test-Model,13342.145
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,13342.145
30,LorenzoDeMattei/lawn-weeds,13342.145
31,nateraw/doggos-lol,13342.145
32,IDEA-CCNL/Taiyi-vit-87M-D,13342.145
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,13342.145
34,karthiksv/vit-base-beans,13342.145
35,Symbermine/rare-puppers,13342.145
36,nateraw/vit-base-patch16-224-cifar10,13342.145
37,gatecitypreservation/architectural_styles,13342.145
38,Amrrs/south-indian-foods,13342.145
39,hafidber/fruits,13342.145
40,nateraw/rare-puppers-123,13342.145
41,Aftabhussain/Tomato_Leaf_Classifier,13342.145
42,nickmuchi/vit-base-xray-pneumonia,13342.145
43,Neto71/sea_mammals,13342.145
44,lewtun/oz-fauna,13342.145
45,hgarg/fruits,13342.145
46,jasmeen/dogs,13342.145
47,b25mayank3/shirt_identifier,13342.145
48,jeffboudier/vision-transformers-spain-or-italy-fan,13342.145
49,facebook/convnext-base-224-22k,13342.145
50,nickmuchi/vit-finetuned-cats-dogs,13342.145
51,godiec/diam,13342.145
52,Rajaram1996/FacialEmoRecog,13342.145
53,nateraw/vit-base-beans-demo-v3,13342.145
54,firebolt/llama_or_what,13342.145
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,13342.145
56,johnnydevriese/vit_beans,13342.145
57,nateraw/vit-age-classifier,13342.145
58,nateraw/vit-base-beans-demo-v2,13342.145
59,mmekias/vit-base-beans,13342.145
60,juanfiguera/ice_cream,13342.145
61,drab/Infrastructures,13342.145
62,nateraw/vit-base-beans,13342.145
63,Sena/dog,13342.145
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,13342.145
65,hafidber/rare-puppers,13342.145
66,edixo/road_good_damaged_condition,13342.145
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,13342.145
68,Sena/flowers,13342.145
69,matteopilotto/vit-base-patch16-224-in21k-snacks,13342.145
70,johnnydevriese/vit-airplanes,13342.145
71,nateraw/pasta-shapes,13342.145
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,13342.145
73,hgarg/indian-snacks,13342.145
74,nateraw/vit-base-food101,13342.309
