,model,score
0,google/vit-base-patch16-224,-68099.14770611799
1,IDEA-CCNL/Taiyi-vit-87M-D,-68099.13409509293
2,facebook/deit-base-patch16-224,-68099.18103355604
3,facebook/deit-base-distilled-patch16-224,-68099.07673796934
4,mrm8488/data2vec-base-finetuned-imagenet1k,-68099.1235507411
5,facebook/convnext-base-224,-68099.10096326172
6,facebook/convnext-small-224,-68099.09570858574
7,microsoft/swin-base-patch4-window7-224,-68099.1206419186
8,microsoft/beit-base-patch16-224,-68099.11638871224
9,facebook/convnext-tiny-224,-68099.12131770547
10,Visual-Attention-Network/van-small,-68099.17491758369
11,WinKawaks/vit-small-patch16-224,-68099.17297861956
12,facebook/deit-small-distilled-patch16-224,-68099.15985859475
13,Visual-Attention-Network/van-base,-68099.16872717107
14,facebook/deit-small-patch16-224,-68099.16571150655
15,microsoft/swin-small-patch4-window7-224,-68099.15542288647
16,Ahmed9275/ALL-3,-68099.15258146734
17,facebook/convnext-large-224,-68099.03274612878
18,WinKawaks/vit-tiny-patch16-224,-68099.17672880738
19,Visual-Attention-Network/van-tiny,-68099.18004212108
20,facebook/deit-tiny-distilled-patch16-224,-68099.15458556688
21,Ahmed9275/ALL-test,-68099.13362976564
22,facebook/deit-tiny-patch16-224,-68099.18049252922
23,microsoft/swin-tiny-patch4-window7-224,-68099.12433031299
24,Visual-Attention-Network/van-large,-68099.17453981312
25,google/vit-base-patch32-384,-68099.07615402712
26,facebook/convnext-base-224-22k-1k,-68099.13954652914
27,google/vit-large-patch32-384,-68099.02154782692
28,microsoft/swin-large-patch4-window7-224,-68099.09013029897
29,lysandre/tiny-vit-random,-68099.25912383552
30,facebook/convnext-large-224-22k-1k,-68099.04041862475
31,facebook/convnext-base-384,-68099.04613241086
32,microsoft/resnet-50,-68099.0359082719
33,microsoft/beit-base-patch16-224-pt22k,-68099.11610590566
34,microsoft/beit-large-patch16-224,-68099.02603628194
35,google/vit-large-patch16-224,-68099.0570422033
36,facebook/convnext-large-384,-68098.99893556097
37,facebook/convnext-large-384-22k-1k,-68098.95756019418
38,nielsr/convnext-xlarge-224-22k-1k,-68099.0625102202
39,facebook/deit-base-patch16-384,-68099.0651640634
40,google/vit-base-patch16-384,-68099.07301982601
41,facebook/deit-base-distilled-patch16-384,-68099.07456877617
42,facebook/convnext-xlarge-224-22k-1k,-68098.99818935098
43,microsoft/beit-large-patch16-384,-68098.95026292645
44,microsoft/swin-large-patch4-window12-384,-68099.0197652591
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-68099.21946500674
46,karthiksv/vit-base-patch16-224-cifar10,-68099.17097345566
47,nateraw/vit-base-patch16-224-cifar10,-68099.20008632513
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-68099.1213072421
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-68099.0671624177
50,jadohu/BEiT-finetuned,-68099.18962139917
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,-68099.10468784721
52,nateraw/vit-base-beans-demo,-68099.1677245244
53,nickmuchi/vit-base-beans,-68099.15317165661
54,karthiksv/vit-base-beans,-68099.17385055452
55,nateraw/vit-base-beans-demo-v3,-68099.14242648585
56,johnnydevriese/vit_beans,-68099.13480040968
57,nateraw/vit-base-beans-demo-v2,-68099.0918035186
58,mmekias/vit-base-beans,-68099.04636986212
59,nateraw/vit-base-beans,-68099.09498366721
60,mrm8488/convnext-tiny-finetuned-beans,-68099.24962266507
61,nielsr/vit-finetuned-eurosat-kornia,-68099.1810510441
62,mrm8488/convnext-tiny-finetuned-eurosat,-68099.13391906956
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-68099.14481353627
64,Calin/convnext-tiny-finteuned-eurosat,-68099.1923564558
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-68099.17705257151
66,nielsr/convnext-tiny-finetuned-eurostat,-68099.13727323998
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-68099.15710192041
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-68099.16017998541
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-68099.18611915766
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-68099.15765272676
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-68099.23063635368
72,nielsr/convnext-tiny-finetuned-eurosat,-68099.14203161096
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-68099.139397826
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-68099.10976482202
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-68099.19611681109
76,nielsr/van-base-finetuned-eurosat-imgaug,-68099.16223702669
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-68099.15320355452
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,-68099.15717379157
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,-68099.1483685808
80,eren23/pneumonia_test_attempt,-68099.14165923181
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,-68099.13994601626
82,nickmuchi/vit-base-xray-pneumonia,-68099.11590683852
83,facebook/convnext-base-224-22k,-68099.14492297154
84,microsoft/swin-large-patch4-window7-224-in22k,-68099.09850575948
85,microsoft/swin-base-patch4-window7-224-in22k,-68099.10532078442
86,microsoft/beit-base-patch16-224-pt22k-ft22k,-68099.12968651617
87,facebook/convnext-large-224-22k,-68099.02527957257
88,facebook/convnext-xlarge-224-22k,-68098.9915114254
89,microsoft/swin-base-patch4-window12-384-in22k,-68099.0634408894
