,model,score
0,Matthijs/snacks-classifier,3.1161390114405445
1,johnnydevriese/vit_beans,3.107158468491913
2,nateraw/vit-base-beans,3.1007844124220174
3,nateraw/vit-base-beans-demo-v2,3.113495852136252
4,nateraw/vit-base-beans-demo,3.1106945116892004
5,nickmuchi/vit-finetuned-cats-dogs,3.1202000236437337
6,nateraw/vit-base-cats-vs-dogs,3.0902741922808894
7,eren23/pneumonia_test_attempt,3.110485966934312
8,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,3.113220498082639
9,karthiksv/vit-base-patch16-224-cifar10,3.0972798869547393
10,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,3.144286237738389
11,Calin/convnext-tiny-finteuned-eurosat,3.1378898657312133
12,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,3.0983766344580346
13,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,3.1113328554654065
14,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,3.100091669856024
15,nateraw/rare-puppers-09-04-2021,3.0999035544046754
16,firas-spanioli/beer-whisky-wine-detection,3.1090895601555952
17,micole66/dwarf-goats,3.1178710330874537
18,Suzana/new-york-tokyo-london,3.1383329250159266
19,Zayn/VIT_Basic,3.1062691396629147
20,nateraw/rare-puppers,3.109244326725382
21,hafidber/rare-puppers,3.110196035185095
22,LorenzoDeMattei/lawn-weeds,3.1078341826455675
23,lewtun/oz-fauna,3.098912524991929
24,Frodnar/bee-likes,3.108334566870748
25,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,3.11363791072985
26,nateraw/rare-puppers-demo,3.0378108006092677
27,jmarshall/rare-puppers,3.110120548657756
28,nateraw/ex-for-evan,3.1095001602808834
29,nateraw/baseball-stadium-foods,3.1110251964291877
30,drab/Infrastructures,3.111352914902238
31,Amrrs/indian-foods,3.110049048582224
32,nateraw/trainer-rare-puppers,3.060407006607081
33,nateraw/doggos-lol,3.0360534200228124
34,flyswot/test,3.0608239132362374
35,AykeeSalazar/vc-bantai-vit-withoutAMBI,3.107011805742899
36,facebook/deit-base-patch16-224,3.094302409783176
37,facebook/convnext-tiny-224,3.1389207816040496
38,microsoft/swin-base-patch4-window7-224,3.1288653928593173
39,google/vit-base-patch16-224,3.097648084694652
40,google/vit-large-patch16-224,3.1035299508066254
41,facebook/deit-small-patch16-224,3.0775588298914367
42,microsoft/swin-tiny-patch4-window7-224,3.111797391076164
43,Ahmed9275/ALL-test,3.0859771547349473
44,lysandre/tiny-vit-random,2.22630531487098
45,google/vit-large-patch32-384,3.1176857913133227
46,microsoft/swin-large-patch4-window12-384,3.207170340798551
47,microsoft/beit-large-patch16-384,2.740826972410105
48,microsoft/beit-large-patch16-224,2.840811724138976
49,facebook/convnext-base-384,3.143320977405168
50,facebook/convnext-xlarge-224-22k-1k,3.1329699410224094
51,facebook/convnext-large-224-22k,3.186673098632928
52,microsoft/beit-large-patch16-224-pt22k-ft22k,2.9475665682766596
53,AkshatSurolia/ViT-FaceMask-Finetuned,3.061203759210877
