,model,score
0,firebolt/llama_or_what2,-1571380.8071661016
1,google/vit-base-patch16-224,-1571380.2117257614
2,nateraw/denver-nyc-paris,-1571380.2858389409
3,black/simple_kitchen,-1571380.3069599674
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-1571380.1738231655
5,Suzana/new-york-tokyo-london,-1571380.1214702984
6,filipafcastro/beer_vs_wine,-1571380.026689716
7,nateraw/baked-goods,-1571380.1657621267
8,ajanco/greens,-1571380.2804737992
9,nateraw/vit-base-beans-demo,-1571380.1130078884
10,HHousen/household-rooms,-1571380.266495126
11,Amrrs/indian-foods,-1571380.1910209206
12,nateraw/planes-trains-automobiles,-1571380.0064325205
13,julien-c/hotdog-not-hotdog,-1571380.3102845408
14,jmarshall/rare-puppers,-1571380.1810010409
15,nielsr/vit-finetuned-eurosat-kornia,-1571380.3758083854
16,eren23/pneumonia_test_attempt,-1571380.1222037838
17,micole66/dwarf-goats,-1571380.5491369164
18,nateraw/ex-for-evan,-1571380.1876579726
19,karthiksv/vit-base-patch16-224-cifar10,-1571380.3743188672
20,ferdinand/rare-puppers,-1571380.182836192
21,ipvikas/rare-puppers,-1571380.2222096159
22,Frodnar/bee-likes,-1571380.2188315594
23,nickmuchi/vit-base-beans,-1571380.296115056
24,nateraw/baseball-stadium-foods,-1571380.17741283
25,Giuliano/places,-1571380.003863122
26,firas-spanioli/beer-whisky-wine-detection,-1571380.0766248114
27,jjhoffstein/lotr,-1571380.8026442255
28,Nonem100/Test-Model,-1571380.17249571
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-1571380.053342589
30,LorenzoDeMattei/lawn-weeds,-1571380.133472395
31,nateraw/doggos-lol,-1571380.1119803593
32,IDEA-CCNL/Taiyi-vit-87M-D,-1571380.223891549
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-1571380.1918302744
34,karthiksv/vit-base-beans,-1571380.2093898358
35,Symbermine/rare-puppers,-1571380.1700144766
36,nateraw/vit-base-patch16-224-cifar10,-1571380.3738355238
37,gatecitypreservation/architectural_styles,-1571380.312549343
38,Amrrs/south-indian-foods,-1571380.231768171
39,hafidber/fruits,-1571380.0710494865
40,nateraw/rare-puppers-123,-1571380.0639003406
41,Aftabhussain/Tomato_Leaf_Classifier,-1571380.12276846
42,nickmuchi/vit-base-xray-pneumonia,-1571380.2981216211
43,Neto71/sea_mammals,-1571380.2942091378
44,lewtun/oz-fauna,-1571380.1125246051
45,hgarg/fruits,-1571380.2185624044
46,jasmeen/dogs,-1571380.0276303568
47,b25mayank3/shirt_identifier,-1571380.4945878938
48,jeffboudier/vision-transformers-spain-or-italy-fan,-1571380.572403
49,facebook/convnext-base-224-22k,-1571380.2213496116
50,nickmuchi/vit-finetuned-cats-dogs,-1571380.2019321218
51,godiec/diam,-1571380.063081234
52,Rajaram1996/FacialEmoRecog,-1571380.266567548
53,nateraw/vit-base-beans-demo-v3,-1571380.0460400751
54,firebolt/llama_or_what,-1571380.9542004226
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-1571380.3844119937
56,johnnydevriese/vit_beans,-1571380.2683622662
57,nateraw/vit-age-classifier,-1571380.3461848337
58,nateraw/vit-base-beans-demo-v2,-1571380.221425677
59,mmekias/vit-base-beans,-1571380.2294733853
60,juanfiguera/ice_cream,-1571380.581591456
61,drab/Infrastructures,-1571380.163389737
62,nateraw/vit-base-beans,-1571380.2249773422
63,Sena/dog,-1571380.0896453143
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-1571380.1954593642
65,hafidber/rare-puppers,-1571380.1511356055
66,edixo/road_good_damaged_condition,-1571380.053774208
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,-1571380.141802355
68,Sena/flowers,-1571380.6116975772
