,model,score
0,firebolt/llama_or_what2,0.9047972304073885
1,nateraw/denver-nyc-paris,0.9134705153931206
2,black/simple_kitchen,0.9133348919952828
3,Suzana/new-york-tokyo-london,0.91441556035669
4,filipafcastro/beer_vs_wine,0.9110297250813016
5,nateraw/baked-goods,0.9133603784542119
6,ajanco/greens,0.910344168334854
7,HHousen/household-rooms,0.911707387657887
8,Amrrs/indian-foods,0.9127962207550527
9,nateraw/planes-trains-automobiles,0.9043196940763504
10,julien-c/hotdog-not-hotdog,0.9138990944662497
11,jmarshall/rare-puppers,0.9158054003279666
12,micole66/dwarf-goats,0.9100130731564243
13,nateraw/ex-for-evan,0.9139717584443646
14,ferdinand/rare-puppers,0.924473786927608
15,ipvikas/rare-puppers,0.9143082143054078
16,Frodnar/bee-likes,0.9136399078491136
17,nateraw/baseball-stadium-foods,0.9077704877556896
18,Giuliano/places,0.90966008875342
19,firas-spanioli/beer-whisky-wine-detection,0.9140753838172333
20,jjhoffstein/lotr,0.9081640003020373
21,Nonem100/Test-Model,0.9056112649890135
22,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9201346793622474
23,LorenzoDeMattei/lawn-weeds,0.9118541295183662
24,nateraw/doggos-lol,0.908265095145853
25,Symbermine/rare-puppers,0.9113143509545032
26,gatecitypreservation/architectural_styles,0.9082428611303797
27,Amrrs/south-indian-foods,0.9139107741388625
28,hafidber/fruits,0.9130682573852315
29,nateraw/rare-puppers-123,0.9179538809909983
30,Aftabhussain/Tomato_Leaf_Classifier,0.9138828314712066
31,Neto71/sea_mammals,0.912441245214834
32,lewtun/oz-fauna,0.9087328982347631
33,hgarg/fruits,0.9085208120574638
34,jasmeen/dogs,0.9126232748988531
35,b25mayank3/shirt_identifier,0.9096047398627354
36,jeffboudier/vision-transformers-spain-or-italy-fan,0.9095596991985854
37,godiec/diam,0.9078619499568182
38,firebolt/llama_or_what,0.9040546730366465
39,juanfiguera/ice_cream,0.9090694928316022
40,drab/Infrastructures,0.913563403207746
41,Sena/dog,0.9114125653707031
42,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8960303113707762
43,hafidber/rare-puppers,0.9157131800652932
44,edixo/road_good_damaged_condition,0.9085735879199469
45,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8981761010127253
46,Sena/flowers,0.9049601812402923
47,johnnydevriese/vit-airplanes,0.8978614920440657
48,nateraw/pasta-shapes,0.917186505707101
49,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9159117935031756
50,hgarg/indian-snacks,0.9084572557296201
51,Hijazzi/rare-puppers,0.9151307244987394
52,nateraw/trainer-rare-puppers,0.9134545633816952
53,nateraw/rare-puppers-new-auth,0.9148222055841451
54,nateraw/rare-puppers,0.9130051171596119
55,iyzg/computer-stuff,0.9040169668268165
56,nateraw/huggingpics-package-demo-2,0.917234356044001
57,nateraw/pasta-pizza-ravioli,0.9136574013290303
58,nateraw/donut-or-bagel,0.9130879648373956
59,nateraw/rare-puppers-09-04-2021,0.911698730902193
60,Zayn/VIT_Basic,0.8964128570418785
61,driboune/skin_type,0.9133471877209425
62,flyswot/test,0.8951053630124796
63,nateraw/rare-puppers-demo,0.9129941224466054
64,meame2010/rare-puppers,0.9091478548692233
65,mmgyorke/vit-world-landmarks,0.9156249300255883
66,AhmedSayeem/VIT_Basic,0.9033163046507816
67,google/vit-base-patch16-224,0.9042082707016531
68,IDEA-CCNL/Taiyi-vit-87M-D,0.903831561045104
69,facebook/deit-base-patch16-224,0.8960562508917538
70,facebook/deit-base-distilled-patch16-224,0.8874351381961412
71,mrm8488/data2vec-base-finetuned-imagenet1k,0.84788543681607
72,facebook/convnext-base-224,0.892138242632418
73,facebook/convnext-small-224,0.8910732343878106
74,microsoft/swin-base-patch4-window7-224,0.9226651561940885
75,microsoft/beit-base-patch16-224,0.8511413454923398
76,facebook/convnext-tiny-224,0.8921664306959675
77,Visual-Attention-Network/van-small,0.894147916088386
78,WinKawaks/vit-small-patch16-224,0.8921335484952883
79,facebook/deit-small-distilled-patch16-224,0.8765325583032421
80,Visual-Attention-Network/van-base,0.8961863289348965
81,facebook/deit-small-patch16-224,0.900515703850331
82,microsoft/swin-small-patch4-window7-224,0.8979691325566302
83,Ahmed9275/ALL-3,0.8972890691344606
84,facebook/convnext-large-224,0.8912869379321484
85,WinKawaks/vit-tiny-patch16-224,0.8689532084527415
86,Visual-Attention-Network/van-tiny,0.8868035288110954
87,facebook/deit-tiny-distilled-patch16-224,0.8641088645662485
88,Ahmed9275/ALL-test,0.8869112043660623
89,facebook/deit-tiny-patch16-224,0.8773385633481378
90,microsoft/swin-tiny-patch4-window7-224,0.8993263455063067
91,Visual-Attention-Network/van-large,0.89429540922157
92,google/vit-base-patch32-384,0.9057266004059785
93,facebook/convnext-base-224-22k-1k,0.9244783047098506
94,google/vit-large-patch32-384,0.9064059555567259
95,microsoft/swin-large-patch4-window7-224,0.9412636063622459
96,lysandre/tiny-vit-random,0.8438982566963649
97,facebook/convnext-large-224-22k-1k,0.9335984160453493
98,facebook/convnext-base-384,0.9038255698656051
99,microsoft/beit-large-patch16-224,0.8673281073698902
100,google/vit-large-patch16-224,0.9099085781153072
101,facebook/convnext-large-384,0.9059888709725058
102,facebook/convnext-large-384-22k-1k,0.9427820849315813
