,model,score
0,Rajaram1996/FacialEmoRecog,0.9192389611546815
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9557269701450632
2,Matthijs/snacks-classifier,0.816103930812023
3,ibombonato/vit-age-classifier,0.8697042182108751
4,ibombonato/swin-age-classifier,0.890804766260575
5,nateraw/vit-age-classifier,0.8919260380333245
6,mmekias/vit-base-beans,0.8645393364343196
7,mrm8488/convnext-tiny-finetuned-beans,0.8556618585575918
8,karthiksv/vit-base-beans,0.9253880389585893
9,johnnydevriese/vit_beans,0.8851870125099905
10,nateraw/vit-base-beans,0.8764148458512546
11,nateraw/vit-base-beans-demo-v3,0.9343713054623597
12,nateraw/vit-base-beans-demo-v2,0.8714472504334536
13,nickmuchi/vit-base-beans,0.8669348482551682
14,nateraw/vit-base-beans-demo,0.9419795206408528
15,ismgar01/vit-base-cats-vs-dogs,0.9113504637559745
16,nickmuchi/vit-finetuned-cats-dogs,0.886298054906918
17,nateraw/vit-base-cats-vs-dogs,0.8590858593626265
18,nateraw/test_model_a,0.06314133588372528
19,akahana/vit-base-cats-vs-dogs,0.9112576413981371
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8909702118564499
21,eren23/pneumonia_test_attempt,0.9378196211494787
22,nickmuchi/vit-base-xray-pneumonia,0.8921353619111129
23,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9257154153029876
24,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9250499584504537
25,nateraw/vit-base-patch16-224-cifar10,0.9526338978878451
26,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8538767665234182
27,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8393453276515809
28,karthiksv/vit-base-patch16-224-cifar10,0.8864570617023696
29,jadohu/BEiT-finetuned,0.7760967779960777
30,Ahmed9275/Vit-Cifar100,0.8692079657734604
31,mrm8488/convnext-tiny-finetuned-eurosat,0.9068522941171353
32,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9341264035862078
33,Calin/convnext-tiny-finteuned-eurosat,0.8854352042731228
34,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8146311023598906
35,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9147046602934095
36,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8901336525195854
37,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8749793285908516
