,model,score
0,firebolt/llama_or_what2,0.8569887071946837
1,google/vit-base-patch16-224,0.8722813912363043
2,nateraw/denver-nyc-paris,0.8996019286945648
3,black/simple_kitchen,0.8152792357710367
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8082404166532698
5,Suzana/new-york-tokyo-london,0.8967491199815119
6,filipafcastro/beer_vs_wine,0.9072062912199188
7,nateraw/baked-goods,0.7636665510038266
8,ajanco/greens,0.7723334174116577
9,nateraw/vit-base-beans-demo,0.7757654281169297
10,HHousen/household-rooms,0.8686036609440496
11,Amrrs/indian-foods,0.8417168659837373
12,nateraw/planes-trains-automobiles,0.8614203723051903
13,julien-c/hotdog-not-hotdog,0.8554070950099182
14,jmarshall/rare-puppers,0.7658609138068139
15,nielsr/vit-finetuned-eurosat-kornia,0.7430632596940691
16,eren23/pneumonia_test_attempt,0.8606458279039831
17,micole66/dwarf-goats,0.9117757691730017
18,nateraw/ex-for-evan,0.8299476283252301
19,karthiksv/vit-base-patch16-224-cifar10,0.8564625721195382
20,ferdinand/rare-puppers,0.7664304791172311
21,ipvikas/rare-puppers,0.8287937906462302
22,Frodnar/bee-likes,0.8445472683978613
23,nickmuchi/vit-base-beans,0.8158702233705816
24,nateraw/baseball-stadium-foods,0.8592712334839193
25,Giuliano/places,0.8272269989124648
26,firas-spanioli/beer-whisky-wine-detection,0.879148888033665
27,jjhoffstein/lotr,0.7893990272370673
28,Nonem100/Test-Model,0.8746705943436421
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.808377782782122
30,LorenzoDeMattei/lawn-weeds,0.8938041840731055
31,nateraw/doggos-lol,0.7496020848504996
32,IDEA-CCNL/Taiyi-vit-87M-D,0.920543431102359
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8135268686064062
34,karthiksv/vit-base-beans,0.8374914539519425
35,Symbermine/rare-puppers,0.7144342653780283
36,nateraw/vit-base-patch16-224-cifar10,0.7732469088982612
37,gatecitypreservation/architectural_styles,0.8036671244567494
38,Amrrs/south-indian-foods,0.834037464552901
39,hafidber/fruits,0.8967810632842419
40,nateraw/rare-puppers-123,0.8926825658398337
41,Aftabhussain/Tomato_Leaf_Classifier,0.8961546960470699
42,nickmuchi/vit-base-xray-pneumonia,0.7823007529365003
43,Neto71/sea_mammals,0.7985071748647221
44,lewtun/oz-fauna,0.8387251193827903
45,hgarg/fruits,0.8042630069782634
46,jasmeen/dogs,0.871840030471764
47,b25mayank3/shirt_identifier,0.8157377911995853
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8127626613483887
49,facebook/convnext-base-224-22k,0.9174003040049135
50,nickmuchi/vit-finetuned-cats-dogs,0.8412385945368143
51,godiec/diam,0.8752358264284976
52,Rajaram1996/FacialEmoRecog,0.9274862771853971
53,nateraw/vit-base-beans-demo-v3,0.8449671271042445
54,firebolt/llama_or_what,0.8520831376997455
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8765620311527509
56,johnnydevriese/vit_beans,0.8628941365048558
57,nateraw/vit-age-classifier,0.8317769549602428
58,nateraw/vit-base-beans-demo-v2,0.909511793447704
59,mmekias/vit-base-beans,0.9331436188163871
60,juanfiguera/ice_cream,0.8719797220547902
61,drab/Infrastructures,0.9193249072649332
62,nateraw/vit-base-beans,0.8530890397603775
63,Sena/dog,0.8248174171009985
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8021534743967471
65,hafidber/rare-puppers,0.8429315112235052
66,edixo/road_good_damaged_condition,0.8392757257890139
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8364649491370454
68,Sena/flowers,0.8645557569500553
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8642252928570016
70,johnnydevriese/vit-airplanes,0.8810254338992358
71,nateraw/pasta-shapes,0.8650548130324582
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8074280671830335
73,hgarg/indian-snacks,0.8656966777337775
74,nateraw/vit-base-food101,0.8806038488230485
75,Hijazzi/rare-puppers,0.9050866797000336
76,nateraw/trainer-rare-puppers,0.729757392171851
77,ibombonato/vit-age-classifier,0.8068022959188211
78,nateraw/rare-puppers-new-auth,0.8347922020719616
79,SriramSridhar78/sriram-car-classifier,0.8999120045452498
80,ismgar01/vit-base-cats-vs-dogs,0.8434792644325342
81,nateraw/rare-puppers,0.7966198289267731
82,iyzg/computer-stuff,0.7305374285166076
83,nateraw/huggingpics-package-demo-2,0.8594266769355826
84,imjeffhi/pokemon_classifier,0.8566961345553652
85,nateraw/pasta-pizza-ravioli,0.8026230441491704
86,akahana/vit-base-cats-vs-dogs,0.7971072771755229
87,nateraw/donut-or-bagel,0.8221375889091657
88,nateraw/rare-puppers-09-04-2021,0.7877577960877641
89,nateraw/vit-base-cats-vs-dogs,0.8712498415616626
90,Zayn/VIT_Basic,0.8227054140712665
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7852759425119049
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8464947876718973
93,microsoft/swin-large-patch4-window7-224-in22k,1.0264294878603655
94,Ahmed9275/Vit-Cifar100,0.810563957019822
95,driboune/skin_type,0.8544940449962279
96,microsoft/swin-base-patch4-window7-224-in22k,0.7698539484798048
97,facebook/deit-base-patch16-224,0.876740095974823
98,facebook/deit-base-distilled-patch16-224,0.9460459580750673
99,eslamxm/vit-base-food101,0.7825999962176261
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.645960921443789
101,facebook/convnext-base-224,0.8499894854654255
102,facebook/convnext-small-224,0.8209970012401787
103,microsoft/swin-base-patch4-window7-224,0.8796486312644368
