,model,score
0,Rajaram1996/FacialEmoRecog,0.9078616751892272
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8850553100844816
2,Matthijs/snacks-classifier,0.86510504367071
3,ibombonato/vit-age-classifier,0.8980715911472645
4,ibombonato/swin-age-classifier,0.8741795164531525
5,nateraw/vit-age-classifier,0.8925035536364384
6,mrm8488/convnext-tiny-finetuned-beans,0.919798716565252
7,johnnydevriese/vit_beans,0.8917817951026169
8,nateraw/vit-base-beans,0.897814580377828
9,nickmuchi/vit-base-beans,0.8910674616643224
10,nateraw/vit-base-beans-demo,0.8844541567238726
11,ismgar01/vit-base-cats-vs-dogs,0.8814456615073525
12,nateraw/vit-base-cats-vs-dogs,0.8898423097515413
13,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9056737427608991
14,nickmuchi/vit-base-xray-pneumonia,0.8734006009694277
15,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8930686880416522
16,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.896509943998784
17,Ahmed9275/Vit-Cifar100,0.8359620341187282
18,mrm8488/convnext-tiny-finetuned-eurosat,0.9263302420310455
19,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.9282762047066326
20,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8923426522012835
21,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8765342768981257
22,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8822821645494618
23,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8856447208719094
24,nateraw/vit-base-food101,0.8934961454143842
25,eslamxm/vit-base-food101,0.8432326776477685
26,nateraw/rare-puppers-09-04-2021,0.9030196673391202
27,nateraw/pasta-pizza-ravioli,0.8996025258321965
28,firas-spanioli/beer-whisky-wine-detection,0.906415119457663
29,nateraw/donut-or-bagel,0.8981343160056298
30,jeffboudier/vision-transformers-spain-or-italy-fan,0.8885714493052637
31,Suzana/new-york-tokyo-london,0.8968482290519308
32,Sena/flowers,0.8989490753118533
33,Zayn/VIT_Basic,0.9041081846871435
34,firebolt/llama_or_what,0.8984504455587898
35,hafidber/rare-puppers,0.8944283690297866
36,ipvikas/rare-puppers,0.900033276248237
37,juanfiguera/ice_cream,0.9026361802596502
38,ferdinand/rare-puppers,0.8987582669021732
39,lewtun/oz-fauna,0.9014107209139783
40,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.902378886708771
41,nateraw/baked-goods,0.9065030622322434
42,hafidber/fruits,0.9021022489414345
43,nateraw/rare-puppers-demo,0.8762148273991742
44,Aftabhussain/Tomato_Leaf_Classifier,0.9058221639806929
45,Amrrs/south-indian-foods,0.9002458033257177
46,Amrrs/indian-foods,0.9036154291212612
47,nateraw/rare-puppers-123,0.9030815650365044
48,Nonem100/Test-Model,0.8847260340370964
49,jasmeen/dogs,0.9046998763230549
50,HHousen/household-rooms,0.9042344551114274
51,AhmedSayeem/VIT_Basic,0.8992940507092263
52,edixo/road_good_damaged_condition,0.9020112818476307
53,firebolt/llama_or_what2,0.8930688996483137
54,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9007686507192446
55,nateraw/planes-trains-automobiles,0.9028084443799146
56,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.889585013839445
57,johnnydevriese/vit-airplanes,0.8922608972727726
58,nateraw/denver-nyc-paris,0.9064272358832366
59,facebook/deit-small-distilled-patch16-224,0.8661993459912942
60,facebook/convnext-base-224,0.9141344335518118
61,facebook/deit-base-patch16-224,0.8924368550236323
62,IDEA-CCNL/Taiyi-vit-87M-D,0.8847441964263789
63,google/vit-large-patch16-224,0.8621222690450252
64,google/vit-base-patch16-384,0.9475596461998834
65,facebook/deit-small-patch16-224,0.8428188462262577
66,microsoft/swin-large-patch4-window7-224,0.9582915376879492
67,microsoft/swin-tiny-patch4-window7-224,0.8755352659567195
68,Ahmed9275/ALL-3,0.8667379405820352
69,facebook/deit-tiny-distilled-patch16-224,0.7736511203928919
70,WinKawaks/vit-tiny-patch16-224,0.6889467014691184
71,lysandre/tiny-vit-random,-0.012804198117905119
72,Visual-Attention-Network/van-large,0.8898232482396982
73,mrm8488/data2vec-base-finetuned-imagenet1k,0.8080837539126755
74,microsoft/beit-base-patch16-224-pt22k,0.6616237735986097
75,Visual-Attention-Network/van-tiny,0.8227773579712556
76,google/vit-large-patch32-384,0.8609106697696541
77,facebook/convnext-large-384-22k-1k,0.9829453106122258
78,microsoft/swin-large-patch4-window12-384,0.9932624835396517
79,microsoft/beit-large-patch16-384,0.5037473400264765
80,microsoft/resnet-50,0.7971399244125305
81,microsoft/beit-large-patch16-224,0.6374239251709344
82,nielsr/convnext-xlarge-224-22k-1k,0.9612362294679944
83,microsoft/swin-large-patch4-window7-224-in22k,0.9735242504002469
84,facebook/convnext-base-224-22k,0.9601567372076233
85,facebook/convnext-large-224-22k,0.9819371011034635
86,imjeffhi/pokemon_classifier,0.8779444667339781
87,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8683188278488552
88,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5369867741764897
89,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.9074768851638537
