,model,score
0,firebolt/llama_or_what2,0.9198109484318622
1,google/vit-base-patch16-224,0.8423413977733839
2,nateraw/denver-nyc-paris,0.8590747227936311
3,black/simple_kitchen,0.8551324231442886
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8868445155411173
5,Suzana/new-york-tokyo-london,0.8620489407412697
6,filipafcastro/beer_vs_wine,0.9701507383278433
7,nateraw/baked-goods,0.8749879324619505
8,ajanco/greens,0.8501481351551154
9,nateraw/vit-base-beans-demo,0.8298754432589273
10,HHousen/household-rooms,0.8616177742729414
11,Amrrs/indian-foods,0.8000015748886343
12,nateraw/planes-trains-automobiles,0.8392618837995082
13,julien-c/hotdog-not-hotdog,0.8783836806118542
14,jmarshall/rare-puppers,0.8673140867274384
15,nielsr/vit-finetuned-eurosat-kornia,0.8307131364964369
16,eren23/pneumonia_test_attempt,0.8852627732277373
17,micole66/dwarf-goats,0.9164404440360636
18,nateraw/ex-for-evan,0.8931118182228015
19,karthiksv/vit-base-patch16-224-cifar10,0.9067243994491142
20,ferdinand/rare-puppers,0.9072808524392317
21,ipvikas/rare-puppers,0.9134558785237186
22,Frodnar/bee-likes,0.9498836679934651
23,nickmuchi/vit-base-beans,0.9086677843573778
24,nateraw/baseball-stadium-foods,0.8649638483842741
25,Giuliano/places,0.9094261031569477
26,firas-spanioli/beer-whisky-wine-detection,0.9181052239072229
27,jjhoffstein/lotr,0.809285671887705
28,Nonem100/Test-Model,0.8447601078353434
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8999568215194845
30,LorenzoDeMattei/lawn-weeds,0.8845519797318426
31,nateraw/doggos-lol,0.9053607607603323
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8934682782139175
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9291444264181812
34,karthiksv/vit-base-beans,0.8741964273749719
35,Symbermine/rare-puppers,0.8974490904311887
36,nateraw/vit-base-patch16-224-cifar10,0.8167800339830161
37,gatecitypreservation/architectural_styles,0.9220393616678856
38,Amrrs/south-indian-foods,0.8938617786131969
39,hafidber/fruits,0.8893160007202237
40,nateraw/rare-puppers-123,0.8781445199401555
41,Aftabhussain/Tomato_Leaf_Classifier,0.9409270366746433
42,nickmuchi/vit-base-xray-pneumonia,0.8716089099642759
43,Neto71/sea_mammals,0.8817463041731087
44,lewtun/oz-fauna,0.9120517341306603
45,hgarg/fruits,0.9406756207995122
46,jasmeen/dogs,0.8618228772826182
47,b25mayank3/shirt_identifier,0.8275007566936334
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.871846818327588
49,facebook/convnext-base-224-22k,0.8672790045631921
50,nickmuchi/vit-finetuned-cats-dogs,0.9259835737302228
51,godiec/diam,0.93439782078226
52,Rajaram1996/FacialEmoRecog,0.8582526133697578
53,nateraw/vit-base-beans-demo-v3,0.8482542132939338
54,firebolt/llama_or_what,0.9518018647012603
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9582576071872677
56,johnnydevriese/vit_beans,0.9424154279770061
57,nateraw/vit-age-classifier,0.903284100008931
58,nateraw/vit-base-beans-demo-v2,0.8893772409653641
