,model,score
0,firebolt/llama_or_what2,0.5386778706905687
1,google/vit-base-patch16-224,0.4041244077773557
2,nateraw/denver-nyc-paris,0.48087814390546946
3,black/simple_kitchen,0.5603540226371364
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.6066215090285652
5,Suzana/new-york-tokyo-london,0.48221265587593864
6,filipafcastro/beer_vs_wine,0.5277620577433316
7,nateraw/baked-goods,0.5174577952878482
8,ajanco/greens,0.5154781876764903
9,nateraw/vit-base-beans-demo,0.43519081084487066
10,HHousen/household-rooms,0.46018149066411257
11,Amrrs/indian-foods,0.5063842557657167
12,nateraw/planes-trains-automobiles,0.42030627787332275
13,julien-c/hotdog-not-hotdog,0.5404179020766696
14,jmarshall/rare-puppers,0.5132323222587335
15,nielsr/vit-finetuned-eurosat-kornia,0.4442901452659582
16,eren23/pneumonia_test_attempt,0.5112169057728091
17,micole66/dwarf-goats,0.543622999020252
18,nateraw/ex-for-evan,0.45712840502472724
19,karthiksv/vit-base-patch16-224-cifar10,0.5283717589784827
20,ferdinand/rare-puppers,0.4593331665294878
21,ipvikas/rare-puppers,0.5539528015008006
22,Frodnar/bee-likes,0.5089808939970756
23,nickmuchi/vit-base-beans,0.47694799750214933
24,nateraw/baseball-stadium-foods,0.45135604797798673
25,Giuliano/places,0.47299571097696846
26,firas-spanioli/beer-whisky-wine-detection,0.5222770567180156
27,jjhoffstein/lotr,0.44628648680572036
28,Nonem100/Test-Model,0.46204033669486505
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.5136256905776989
30,LorenzoDeMattei/lawn-weeds,0.4645176735708176
31,nateraw/doggos-lol,0.43203166211694416
32,IDEA-CCNL/Taiyi-vit-87M-D,0.46155715031092476
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.4272919005543482
34,karthiksv/vit-base-beans,0.5229904524434971
35,Symbermine/rare-puppers,0.5030670022130797
36,nateraw/vit-base-patch16-224-cifar10,0.5314939038960598
37,gatecitypreservation/architectural_styles,0.4951590628993676
38,Amrrs/south-indian-foods,0.474834146171085
39,hafidber/fruits,0.5341127076532339
40,nateraw/rare-puppers-123,0.5134449037212885
41,Aftabhussain/Tomato_Leaf_Classifier,0.5194372828228091
42,nickmuchi/vit-base-xray-pneumonia,0.4037755551007588
43,Neto71/sea_mammals,0.48428011580273556
44,lewtun/oz-fauna,0.4091545101229181
45,hgarg/fruits,0.5100908777240233
46,jasmeen/dogs,0.48615474176495155
47,b25mayank3/shirt_identifier,0.47217661001660544
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.540412263452732
49,facebook/convnext-base-224-22k,0.6109989652776566
50,nickmuchi/vit-finetuned-cats-dogs,0.4973795298990137
51,godiec/diam,0.42989386242999056
52,Rajaram1996/FacialEmoRecog,0.47323361935113206
53,nateraw/vit-base-beans-demo-v3,0.4912058359934125
54,firebolt/llama_or_what,0.45274904260942445
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.5276370854831622
56,johnnydevriese/vit_beans,0.4282907828441764
57,nateraw/vit-age-classifier,0.45985690262699125
58,nateraw/vit-base-beans-demo-v2,0.46818621795335386
59,mmekias/vit-base-beans,0.5459997883555239
60,juanfiguera/ice_cream,0.4940876933311438
61,drab/Infrastructures,0.5166353345313023
62,nateraw/vit-base-beans,0.5018531396307923
63,Sena/dog,0.48522339320811314
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.4380127898921362
65,hafidber/rare-puppers,0.5030142467344184
66,edixo/road_good_damaged_condition,0.4929876237788655
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.4735291035658271
68,Sena/flowers,0.5328602558702041
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.43119383131794464
70,johnnydevriese/vit-airplanes,0.4440760291446769
71,nateraw/pasta-shapes,0.5384618905039553
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.541155190121684
73,hgarg/indian-snacks,0.5292373147244447
74,nateraw/vit-base-food101,0.5012567429450442
75,Hijazzi/rare-puppers,0.47245864799919757
76,nateraw/trainer-rare-puppers,0.47924287685995837
77,ibombonato/vit-age-classifier,0.5102487765525342
78,nateraw/rare-puppers-new-auth,0.5205257518212442
79,SriramSridhar78/sriram-car-classifier,0.4969423900593898
80,ismgar01/vit-base-cats-vs-dogs,0.39663076620191484
81,nateraw/rare-puppers,0.529626779175554
82,iyzg/computer-stuff,0.5017713710104525
83,nateraw/huggingpics-package-demo-2,0.48880105562617016
84,imjeffhi/pokemon_classifier,0.33540148213970994
85,nateraw/pasta-pizza-ravioli,0.493349775715757
86,akahana/vit-base-cats-vs-dogs,0.43280044953591873
87,nateraw/donut-or-bagel,0.5420042081043733
88,nateraw/rare-puppers-09-04-2021,0.48100449521991184
89,nateraw/vit-base-cats-vs-dogs,0.5239186214251447
90,Zayn/VIT_Basic,0.4476031394163563
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.5254577336078564
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.35596884666094086
93,microsoft/swin-large-patch4-window7-224-in22k,0.6816173645123798
94,Ahmed9275/Vit-Cifar100,0.4695744709628394
95,driboune/skin_type,0.5490713560153183
96,microsoft/swin-base-patch4-window7-224-in22k,0.6655447276016684
97,facebook/deit-base-patch16-224,0.5436858439545734
98,facebook/deit-base-distilled-patch16-224,0.49576947820161443
99,eslamxm/vit-base-food101,0.3902201090222624
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.4033858893178823
101,facebook/convnext-base-224,0.7011199989193443
102,facebook/convnext-small-224,0.4521944699798009
103,microsoft/swin-base-patch4-window7-224,0.5477987423984113
104,microsoft/beit-base-patch16-224,0.35855730179534073
105,mrm8488/convnext-tiny-finetuned-eurosat,0.5645434880402374
106,mrm8488/convnext-tiny-finetuned-beans,0.5711517704761937
107,facebook/convnext-tiny-224,0.6028927884910436
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.6462345978614025
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.3812000682424375
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.48844249265545825
111,Calin/convnext-tiny-finteuned-eurosat,0.5849432086246895
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.5611540658263965
113,Visual-Attention-Network/van-small,0.41232719073842417
114,WinKawaks/vit-small-patch16-224,0.35640516242468134
115,facebook/deit-small-distilled-patch16-224,0.3218421575445838
116,Visual-Attention-Network/van-base,0.45847446071935777
117,jadohu/BEiT-finetuned,0.36656920776882973
118,nielsr/convnext-tiny-finetuned-eurostat,0.5236853253611855
119,facebook/deit-small-patch16-224,0.29785426479323623
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4779018030691681
121,microsoft/swin-small-patch4-window7-224,0.5345234049586592
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.549768162558917
123,Ahmed9275/ALL-3,0.4870625789084023
124,facebook/convnext-large-224,0.6975091176105311
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4754378879755641
126,WinKawaks/vit-tiny-patch16-224,0.19566098558013545
127,Visual-Attention-Network/van-tiny,0.3728723290507461
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4784724013814776
129,facebook/deit-tiny-distilled-patch16-224,0.2936365326699289
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4795793870413658
131,nielsr/convnext-tiny-finetuned-eurosat,0.5145094109071128
132,ibombonato/swin-age-classifier,0.4624048649963784
133,Ahmed9275/ALL-test,0.3862898512996458
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.46319720349948296
135,facebook/deit-tiny-patch16-224,0.3690857149657043
136,microsoft/swin-tiny-patch4-window7-224,0.5576002021633579
137,flyswot/test,0.38250975385124836
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4971077536191266
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.49775260785646736
140,nielsr/van-base-finetuned-eurosat-imgaug,0.4061294447221944
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.47417564167747284
142,Visual-Attention-Network/van-large,0.45991571695937167
143,Matthijs/snacks-classifier,0.4706004791998439
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.49879845086657193
145,nateraw/test_model_a,0.2085197838250611
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4706432625426327
147,google/vit-base-patch32-384,0.46338968432762756
148,nateraw/rare-puppers-demo,0.51977428003608
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.357725430763021
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.5037873985542237
151,meame2010/rare-puppers,0.4665917825919928
152,facebook/convnext-base-224-22k-1k,0.6882295215344396
153,google/vit-large-patch32-384,0.6857172094041082
154,microsoft/swin-large-patch4-window7-224,0.7933599780349592
155,mmgyorke/vit-world-landmarks,0.5253647196167333
156,lysandre/tiny-vit-random,0.2566101125452467
157,AhmedSayeem/VIT_Basic,0.48863885477022795
158,facebook/convnext-large-224-22k-1k,0.7675586725057815
159,facebook/convnext-base-384,0.620732153030026
160,microsoft/beit-large-patch16-224,0.509315409429711
161,facebook/convnext-large-224-22k,0.773797404467605
162,google/vit-large-patch16-224,0.5685349021448352
163,facebook/convnext-large-384,0.7237667831585886
164,facebook/convnext-xlarge-224-22k,0.7671921063837552
165,facebook/convnext-large-384-22k-1k,0.8015334486145673
166,nielsr/convnext-xlarge-224-22k-1k,0.9147138817159248
167,facebook/deit-base-patch16-384,0.5463082751084508
168,google/vit-base-patch16-384,0.5558726598671222
169,microsoft/swin-base-patch4-window12-384-in22k,0.7137032624010133
170,microsoft/beit-large-patch16-224-pt22k-ft22k,0.4811621054689932
171,facebook/deit-base-distilled-patch16-384,0.5773431089473489
172,facebook/convnext-xlarge-224-22k-1k,0.8515985463118156
173,nielsr/convnext-xlarge-224-22k,0.8195429985728617
174,microsoft/beit-large-patch16-384,0.5480958485030089
175,microsoft/swin-large-patch4-window12-384,0.8653741422291779
