,model,score
0,firebolt/llama_or_what2,0.8651653548599035
1,google/vit-base-patch16-224,0.8769626735738776
2,nateraw/denver-nyc-paris,0.8737014040655665
3,black/simple_kitchen,0.8701441744844417
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8852377086905405
5,Suzana/new-york-tokyo-london,0.8742781368985069
6,filipafcastro/beer_vs_wine,0.8755602317970209
7,nateraw/baked-goods,0.8740345111700969
8,ajanco/greens,0.8700722192149554
9,nateraw/vit-base-beans-demo,0.892592685680093
10,HHousen/household-rooms,0.8727192931339961
11,Amrrs/indian-foods,0.8745377896028129
12,nateraw/planes-trains-automobiles,0.8785240056055308
13,julien-c/hotdog-not-hotdog,0.8720711199716633
14,jmarshall/rare-puppers,0.8783315826849494
15,nielsr/vit-finetuned-eurosat-kornia,0.8836994902266477
16,eren23/pneumonia_test_attempt,0.8874029242625769
17,micole66/dwarf-goats,0.866327431585608
18,nateraw/ex-for-evan,0.8760045089285908
19,karthiksv/vit-base-patch16-224-cifar10,0.8861088183735724
20,ferdinand/rare-puppers,0.9122154828873029
21,ipvikas/rare-puppers,0.877952157442565
22,Frodnar/bee-likes,0.8729095935868638
23,nickmuchi/vit-base-beans,0.8945078536460518
24,nateraw/baseball-stadium-foods,0.874087249997603
25,Giuliano/places,0.8761487094395811
26,firas-spanioli/beer-whisky-wine-detection,0.8754170750539764
27,jjhoffstein/lotr,0.8649187789793839
28,Nonem100/Test-Model,0.8736724812782868
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8800726103188187
30,LorenzoDeMattei/lawn-weeds,0.8743839665308663
31,nateraw/doggos-lol,0.8771609777457691
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8761419628690983
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8866732474590089
34,karthiksv/vit-base-beans,0.8892256499373087
35,Symbermine/rare-puppers,0.8743489300150612
36,nateraw/vit-base-patch16-224-cifar10,0.8855281789747955
37,gatecitypreservation/architectural_styles,0.8737656830864939
38,Amrrs/south-indian-foods,0.875749264402164
39,hafidber/fruits,0.8791032379699153
40,nateraw/rare-puppers-123,0.8783277335996921
41,Aftabhussain/Tomato_Leaf_Classifier,0.8761365411274195
42,nickmuchi/vit-base-xray-pneumonia,0.8856374782995845
43,Neto71/sea_mammals,0.8722860984691252
44,lewtun/oz-fauna,0.8725691021097701
45,hgarg/fruits,0.8757934161033081
46,jasmeen/dogs,0.8765023318958406
47,b25mayank3/shirt_identifier,0.8685959850955752
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8681708632696019
49,facebook/convnext-base-224-22k,0.8918987262139084
50,nickmuchi/vit-finetuned-cats-dogs,0.8901528024696136
51,godiec/diam,0.8787554177181379
52,Rajaram1996/FacialEmoRecog,0.8999858768016937
53,nateraw/vit-base-beans-demo-v3,0.8918314247131136
54,firebolt/llama_or_what,0.8592803592630105
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8852922597228321
56,johnnydevriese/vit_beans,0.8923989392626407
57,nateraw/vit-age-classifier,0.8926323494012882
58,nateraw/vit-base-beans-demo-v2,0.8921857006400672
59,mmekias/vit-base-beans,0.892393410677634
60,juanfiguera/ice_cream,0.8639366188075804
61,drab/Infrastructures,0.8747282454631863
62,nateraw/vit-base-beans,0.8911533871693643
63,Sena/dog,0.8750768630511184
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8764331908024879
65,hafidber/rare-puppers,0.8751816016093705
66,edixo/road_good_damaged_condition,0.8753847225332164
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8780519786560941
68,Sena/flowers,0.8661393504023519
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8972375185098733
70,johnnydevriese/vit-airplanes,0.8764748315554748
71,nateraw/pasta-shapes,0.8783715407394075
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8741661347185562
73,hgarg/indian-snacks,0.8673269511301067
74,nateraw/vit-base-food101,0.8759324193201957
75,Hijazzi/rare-puppers,0.8758049131038227
76,nateraw/trainer-rare-puppers,0.8734757650128671
77,ibombonato/vit-age-classifier,0.8935065486761926
78,nateraw/rare-puppers-new-auth,0.8766948563853121
79,SriramSridhar78/sriram-car-classifier,0.8617042840333031
80,ismgar01/vit-base-cats-vs-dogs,0.8902577342063593
81,nateraw/rare-puppers,0.875077293103187
82,iyzg/computer-stuff,0.8761554251790895
83,nateraw/huggingpics-package-demo-2,0.8783622267756064
84,imjeffhi/pokemon_classifier,0.8708631699131857
85,nateraw/pasta-pizza-ravioli,0.8745995721629838
86,akahana/vit-base-cats-vs-dogs,0.8897719043818662
87,nateraw/donut-or-bagel,0.8749819249570949
88,nateraw/rare-puppers-09-04-2021,0.8731080608798109
89,nateraw/vit-base-cats-vs-dogs,0.8907612973514151
90,Zayn/VIT_Basic,0.8742794833100215
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8852719673130256
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.866698911418159
93,microsoft/swin-large-patch4-window7-224-in22k,0.9216273121546656
94,Ahmed9275/Vit-Cifar100,0.8807373092769523
95,driboune/skin_type,0.8718451162277757
96,microsoft/swin-base-patch4-window7-224-in22k,0.9181291036167173
97,facebook/deit-base-patch16-224,0.8724252834232733
98,facebook/deit-base-distilled-patch16-224,0.8362450520473622
99,eslamxm/vit-base-food101,0.8779962749013144
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8377717952520409
101,facebook/convnext-base-224,0.8269418167418513
102,facebook/convnext-small-224,0.8287148045608621
103,microsoft/swin-base-patch4-window7-224,0.8575895609444998
104,microsoft/beit-base-patch16-224,0.8186454104159238
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8343241280404805
106,mrm8488/convnext-tiny-finetuned-beans,0.8451838021527518
107,facebook/convnext-tiny-224,0.8268545318488718
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8341635099628745
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8825762584027399
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.818495484997784
111,Calin/convnext-tiny-finteuned-eurosat,0.832281674937623
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8316887894013021
113,Visual-Attention-Network/van-small,0.8596458850499896
114,WinKawaks/vit-small-patch16-224,0.8707024180562369
115,facebook/deit-small-distilled-patch16-224,0.8325000757946572
116,Visual-Attention-Network/van-base,0.861106813838332
117,jadohu/BEiT-finetuned,0.8303553228238241
118,nielsr/convnext-tiny-finetuned-eurostat,0.8323348795179768
119,facebook/deit-small-patch16-224,0.9081341574315823
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8567297371330764
121,microsoft/swin-small-patch4-window7-224,0.8526632716868487
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8619322701536446
123,Ahmed9275/ALL-3,0.8539997971474295
124,facebook/convnext-large-224,0.8323114493965336
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8589293534250491
126,WinKawaks/vit-tiny-patch16-224,0.8700363448471192
127,Visual-Attention-Network/van-tiny,0.859318137342778
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8621754815647864
129,facebook/deit-tiny-distilled-patch16-224,0.8297526660875547
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.862213093234601
131,nielsr/convnext-tiny-finetuned-eurosat,0.8295444998905637
132,ibombonato/swin-age-classifier,0.8689674245741372
133,Ahmed9275/ALL-test,0.8546025532126019
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8593069103139948
135,facebook/deit-tiny-patch16-224,0.8686581252899838
136,microsoft/swin-tiny-patch4-window7-224,0.8538048357641004
137,flyswot/test,0.8720596084783586
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8597525829947986
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8591647588523119
140,nielsr/van-base-finetuned-eurosat-imgaug,0.8692306448277696
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8591635666031125
