,model,score
0,google/vit-base-patch16-224,0.8973930422627184
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8968057519779694
2,facebook/deit-base-patch16-224,0.8951536969159904
3,facebook/deit-base-distilled-patch16-224,0.8928791193270905
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8488169529957953
5,facebook/convnext-base-224,0.8792272079344505
6,facebook/convnext-small-224,0.8750097920335229
7,microsoft/swin-base-patch4-window7-224,0.8941021627432025
8,microsoft/beit-base-patch16-224,0.5876432358043749
9,facebook/convnext-tiny-224,0.8814693215092574
10,Visual-Attention-Network/van-small,0.8577788446148165
11,WinKawaks/vit-small-patch16-224,0.8389491312334327
12,facebook/deit-small-distilled-patch16-224,0.8678450541547346
13,Visual-Attention-Network/van-base,0.8795809373646633
14,facebook/deit-small-patch16-224,0.8806369809527052
15,microsoft/swin-small-patch4-window7-224,0.8512590978961796
16,Ahmed9275/ALL-3,0.8823638691949597
17,facebook/convnext-large-224,0.8919859856895092
18,WinKawaks/vit-tiny-patch16-224,0.5708488912590302
19,Visual-Attention-Network/van-tiny,0.8759854310366108
20,facebook/deit-tiny-distilled-patch16-224,0.609656005270596
21,Ahmed9275/ALL-test,0.8424268678509769
22,facebook/deit-tiny-patch16-224,0.8214357543344524
23,microsoft/swin-tiny-patch4-window7-224,0.8782501582784847
24,Visual-Attention-Network/van-large,0.8822926958138168
25,google/vit-base-patch32-384,0.8979557087111892
26,facebook/convnext-base-224-22k-1k,0.8927803245850527
27,google/vit-large-patch32-384,0.8907117372357161
28,microsoft/swin-large-patch4-window7-224,0.896169455939006
29,lysandre/tiny-vit-random,0.39509280573115757
30,facebook/convnext-large-224-22k-1k,0.8931086373225715
31,facebook/convnext-base-384,0.8925578433512902
32,microsoft/resnet-50,0.8417432137096874
33,microsoft/beit-base-patch16-224-pt22k,0.604211708017795
34,microsoft/beit-large-patch16-224,0.7467233801201947
35,google/vit-large-patch16-224,0.8998182018037468
36,facebook/convnext-large-384,0.8941422119581094
37,facebook/convnext-large-384-22k-1k,0.8845285187837786
38,nielsr/convnext-xlarge-224-22k-1k,0.8957639123435118
39,facebook/deit-base-patch16-384,0.8901261849429588
40,google/vit-base-patch16-384,0.89894091455607
41,facebook/deit-base-distilled-patch16-384,0.8841883772010865
42,facebook/convnext-xlarge-224-22k-1k,0.895019499205786
43,microsoft/beit-large-patch16-384,0.648795317803968
44,microsoft/swin-large-patch4-window12-384,0.895019499205786
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9017780514598202
46,karthiksv/vit-base-patch16-224-cifar10,0.9017780514598202
47,nateraw/vit-base-patch16-224-cifar10,0.9017780514598202
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9017780514598202
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9017780514598202
50,jadohu/BEiT-finetuned,0.8373281637342705
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8975339786893625
52,nateraw/vit-base-beans-demo,0.862755260102002
53,nickmuchi/vit-base-beans,0.8982703295103951
54,karthiksv/vit-base-beans,0.8907117372357161
55,nateraw/vit-base-beans-demo-v3,0.8992674078324656
