,model,score
0,nateraw/vit-age-classifier,0.9317466815632836
1,johnnydevriese/vit_beans,0.9262766803937099
2,nateraw/vit-base-beans,0.9256005086050076
3,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.917196840876949
4,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.9169019274570357
5,eslamxm/vit-base-food101,0.9080927464111632
6,nateraw/pasta-pizza-ravioli,0.9254368072378816
7,nateraw/pasta-shapes,0.9320747389225909
8,driboune/skin_type,0.9259763022244009
9,hgarg/indian-snacks,0.9259763022244009
10,iyzg/computer-stuff,0.9320747389225909
11,nateraw/denver-nyc-paris,0.9260661964034269
12,facebook/convnext-small-224,0.9391786588602941
13,lysandre/tiny-vit-random,0.01812880943599281
14,microsoft/swin-large-patch4-window12-384,0.9498757285302218
15,microsoft/beit-large-patch16-384,0.5247585595034611
16,facebook/convnext-large-224-22k,0.9438533684980801
17,SriramSridhar78/sriram-car-classifier,0.9269810791603291
