,model,score
0,firebolt/llama_or_what2,0.8674973388362396
1,google/vit-base-patch16-224,0.8776165332872989
2,nateraw/denver-nyc-paris,0.879754549140275
3,black/simple_kitchen,0.8732490265169076
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8296400366740053
5,Suzana/new-york-tokyo-london,0.870083541523896
6,filipafcastro/beer_vs_wine,0.8696191523714633
7,nateraw/baked-goods,0.8781584996465353
8,ajanco/greens,0.8705256493705064
9,nateraw/vit-base-beans-demo,0.8790736955935968
10,HHousen/household-rooms,0.8727229215702831
11,Amrrs/indian-foods,0.8718157724230265
12,nateraw/planes-trains-automobiles,0.8742591109805674
13,julien-c/hotdog-not-hotdog,0.8719256261086084
14,jmarshall/rare-puppers,0.8809157801783091
15,nielsr/vit-finetuned-eurosat-kornia,0.5929115874457076
16,eren23/pneumonia_test_attempt,0.8648753064534088
17,micole66/dwarf-goats,0.8718867287503292
18,nateraw/ex-for-evan,0.861285859237375
19,karthiksv/vit-base-patch16-224-cifar10,0.8573519095443811
20,ferdinand/rare-puppers,0.8520318237364658
21,ipvikas/rare-puppers,0.8579802835367921
22,Frodnar/bee-likes,0.8790736955935968
23,nickmuchi/vit-base-beans,0.867289758874714
24,nateraw/baseball-stadium-foods,0.8696571082711041
25,Giuliano/places,0.8705256493705064
26,firas-spanioli/beer-whisky-wine-detection,0.8713762855239712
27,jjhoffstein/lotr,0.8718157724230265
28,Nonem100/Test-Model,0.8654066432635555
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8737556068375278
30,LorenzoDeMattei/lawn-weeds,0.8582808266193064
31,nateraw/doggos-lol,0.8638280444368379
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8779680627204017
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8727229215702831
34,karthiksv/vit-base-beans,0.8724052732703927
35,Symbermine/rare-puppers,0.8719070029847475
36,nateraw/vit-base-patch16-224-cifar10,0.849670116740817
37,gatecitypreservation/architectural_styles,0.8655231551195132
38,Amrrs/south-indian-foods,0.8710708101647937
39,hafidber/fruits,0.8659393296524837
40,nateraw/rare-puppers-123,0.8691683455768344
41,Aftabhussain/Tomato_Leaf_Classifier,0.8592458568306429
42,nickmuchi/vit-base-xray-pneumonia,0.8809157801783091
43,Neto71/sea_mammals,0.8718157724230265
44,lewtun/oz-fauna,0.8461197596403822
45,hgarg/fruits,0.636874690536503
46,jasmeen/dogs,0.8707972712688467
47,b25mayank3/shirt_identifier,0.8707643950705741
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8744785979230736
49,facebook/convnext-base-224-22k,0.8844227700440653
50,nickmuchi/vit-finetuned-cats-dogs,0.8710840907123557
51,godiec/diam,0.8657486705691723
52,Rajaram1996/FacialEmoRecog,0.8668482599073393
53,nateraw/vit-base-beans-demo-v3,0.8732302147697277
54,firebolt/llama_or_what,0.8707643950705741
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7567299673681596
56,johnnydevriese/vit_beans,0.8752580647447801
57,nateraw/vit-age-classifier,0.8752879257700568
58,nateraw/vit-base-beans-demo-v2,0.8642157977436882
59,mmekias/vit-base-beans,0.873764868178123
60,juanfiguera/ice_cream,0.8700197214447469
61,drab/Infrastructures,0.8718867287503292
62,nateraw/vit-base-beans,0.8727229215702831
63,Sena/dog,0.8705603669384355
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8716815703303992
65,hafidber/rare-puppers,0.8653223069187116
66,edixo/road_good_damaged_condition,0.8635809548694787
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8718867287503292
68,Sena/flowers,0.8702681721268202
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8703655526732186
70,johnnydevriese/vit-airplanes,0.8719256261086084
71,nateraw/pasta-shapes,0.880366439593672
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8788722293914857
73,hgarg/indian-snacks,0.8723288365969395
74,nateraw/vit-base-food101,0.8376606383116174
75,Hijazzi/rare-puppers,0.8553046057797615
76,nateraw/trainer-rare-puppers,0.8558516401329318
77,ibombonato/vit-age-classifier,0.866297771700356
78,nateraw/rare-puppers-new-auth,0.8710840907123557
79,SriramSridhar78/sriram-car-classifier,0.8642911099370116
80,ismgar01/vit-base-cats-vs-dogs,0.8575858861657468
81,nateraw/rare-puppers,0.8629025345032352
82,iyzg/computer-stuff,0.873764868178123
83,nateraw/huggingpics-package-demo-2,0.8788722293914857
84,imjeffhi/pokemon_classifier,0.8241662136882322
85,nateraw/pasta-pizza-ravioli,0.8744785979230736
86,akahana/vit-base-cats-vs-dogs,0.634494370396006
87,nateraw/donut-or-bagel,0.8716815703303992
