,model,score
0,firebolt/llama_or_what2,0.9010729378940334
1,google/vit-base-patch16-224,0.8990339717885437
2,nateraw/denver-nyc-paris,0.9013714937422731
3,black/simple_kitchen,0.9010729378940334
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9002471292507179
5,Suzana/new-york-tokyo-london,0.9012325523022392
6,filipafcastro/beer_vs_wine,0.8971310137308189
7,nateraw/baked-goods,0.9013714937422731
8,ajanco/greens,0.9017241058724795
9,nateraw/vit-base-beans-demo,0.8804600363128836
10,HHousen/household-rooms,0.9020226617207189
11,Amrrs/indian-foods,0.9020226617207189
12,nateraw/planes-trains-automobiles,0.9020226617207189
13,julien-c/hotdog-not-hotdog,0.9017241058724795
14,jmarshall/rare-puppers,0.8784835551614141
15,nielsr/vit-finetuned-eurosat-kornia,0.893377172175176
16,eren23/pneumonia_test_attempt,0.9020226617207189
17,micole66/dwarf-goats,0.9017241058724795
18,nateraw/ex-for-evan,0.9020226617207189
19,karthiksv/vit-base-patch16-224-cifar10,0.8995959612722718
20,ferdinand/rare-puppers,0.8936759360495717
21,ipvikas/rare-puppers,0.9020226617207189
22,Frodnar/bee-likes,0.9010729378940334
23,nickmuchi/vit-base-beans,0.9020226617207189
24,nateraw/baseball-stadium-foods,0.9020226617207189
25,Giuliano/places,0.9016400109355716
26,firas-spanioli/beer-whisky-wine-detection,0.9020226617207189
27,jjhoffstein/lotr,0.9017241058724795
28,Nonem100/Test-Model,0.9020226617207189
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9013714937422731
30,LorenzoDeMattei/lawn-weeds,0.9020226617207189
31,nateraw/doggos-lol,0.891385570346436
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8987354159403041
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9020226617207189
34,karthiksv/vit-base-beans,0.9012325523022392
35,Symbermine/rare-puppers,0.9012325523022392
36,nateraw/vit-base-patch16-224-cifar10,0.9002471292507179
37,gatecitypreservation/architectural_styles,0.9017241058724795
38,Amrrs/south-indian-foods,0.9020226617207189
39,hafidber/fruits,0.9016400109355716
40,nateraw/rare-puppers-123,0.891385570346436
41,Aftabhussain/Tomato_Leaf_Classifier,0.9020226617207189
42,nickmuchi/vit-base-xray-pneumonia,0.9013714937422731
43,Neto71/sea_mammals,0.9020226617207189
44,lewtun/oz-fauna,0.9020226617207189
45,hgarg/fruits,0.9014254069862964
46,jasmeen/dogs,0.9020226617207189
47,b25mayank3/shirt_identifier,0.9017241058724795
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.891385570346436
49,facebook/convnext-base-224-22k,0.8939320733374981
50,nickmuchi/vit-finetuned-cats-dogs,0.9020226617207189
51,godiec/diam,0.9020226617207189
52,Rajaram1996/FacialEmoRecog,0.9020226617207189
53,nateraw/vit-base-beans-demo-v3,0.9020226617207189
54,firebolt/llama_or_what,0.901341455087332
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9002471292507179
56,johnnydevriese/vit_beans,0.9020226617207189
57,nateraw/vit-age-classifier,0.9009827935175414
58,nateraw/vit-base-beans-demo-v2,0.9016400109355716
59,mmekias/vit-base-beans,0.9012325523022392
60,juanfiguera/ice_cream,0.9017241058724795
61,drab/Infrastructures,0.9020226617207189
62,nateraw/vit-base-beans,0.8971310137308189
63,Sena/dog,0.9020226617207189
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9012325523022392
65,hafidber/rare-puppers,0.9020226617207189
66,edixo/road_good_damaged_condition,0.9020226617207189
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9020226617207189
68,Sena/flowers,0.9017241058724795
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8996851397669896
70,johnnydevriese/vit-airplanes,0.9020226617207189
71,nateraw/pasta-shapes,0.9013714937422731
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9009888429571256
73,hgarg/indian-snacks,0.9017241058724795
74,nateraw/vit-base-food101,0.8996851397669896
75,Hijazzi/rare-puppers,0.8811300866791458
76,nateraw/trainer-rare-puppers,0.8729148668654176
77,ibombonato/vit-age-classifier,0.8993865839187503
78,nateraw/rare-puppers-new-auth,0.8910664095632963
79,SriramSridhar78/sriram-car-classifier,0.8843608097405127
80,ismgar01/vit-base-cats-vs-dogs,0.9014254069862964
81,nateraw/rare-puppers,0.9014254069862964
82,iyzg/computer-stuff,0.9020226617207189
83,nateraw/huggingpics-package-demo-2,0.9013714937422731
84,imjeffhi/pokemon_classifier,0.8749443415495218
85,nateraw/pasta-pizza-ravioli,0.9020226617207189
86,akahana/vit-base-cats-vs-dogs,0.8811300866791458
87,nateraw/donut-or-bagel,0.9020226617207189
88,nateraw/rare-puppers-09-04-2021,0.8811300866791458
89,nateraw/vit-base-cats-vs-dogs,0.9013714937422731
90,Zayn/VIT_Basic,0.9020226617207189
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9002471292507179
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.9012325523022392
93,microsoft/swin-large-patch4-window7-224-in22k,0.8944940628212262
94,Ahmed9275/Vit-Cifar100,0.6183070618543809
95,driboune/skin_type,0.9017241058724795
96,microsoft/swin-base-patch4-window7-224-in22k,0.8945832413159442
97,facebook/deit-base-patch16-224,0.8993865839187503
98,facebook/deit-base-distilled-patch16-224,0.894846674951433
99,eslamxm/vit-base-food101,0.8891159310854658
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.865448942116105
101,facebook/convnext-base-224,0.8883343244016091
102,facebook/convnext-small-224,0.8788293198631711
103,microsoft/swin-base-patch4-window7-224,0.894846674951433
104,microsoft/beit-base-patch16-224,0.6079722339576021
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8583334099526971
106,mrm8488/convnext-tiny-finetuned-beans,0.8567683036425264
107,facebook/convnext-tiny-224,0.8814881859634377
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8706384397558721
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6305037019029569
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8411251306529023
111,Calin/convnext-tiny-finteuned-eurosat,0.8727784740205713
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8383236615921328
113,Visual-Attention-Network/van-small,0.8641752166014455
