,model,score
0,firebolt/llama_or_what2,0.7931668368159914
1,google/vit-base-patch16-224,0.789399869390562
2,nateraw/denver-nyc-paris,0.7912952780829907
3,black/simple_kitchen,0.7931668368159914
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.7901302407528574
5,Suzana/new-york-tokyo-london,0.7893615770330128
6,filipafcastro/beer_vs_wine,0.7901165614096723
7,nateraw/baked-goods,0.7912952780829907
8,ajanco/greens,0.7931668368159914
9,nateraw/vit-base-beans-demo,0.7901165614096723
10,HHousen/household-rooms,0.7912952780829907
11,Amrrs/indian-foods,0.7901165614096723
12,nateraw/planes-trains-automobiles,0.7901165614096723
13,julien-c/hotdog-not-hotdog,0.795961666791343
14,jmarshall/rare-puppers,0.7901165614096723
15,nielsr/vit-finetuned-eurosat-kornia,0.7886269383006241
16,eren23/pneumonia_test_attempt,0.7901165614096723
17,micole66/dwarf-goats,0.7931668368159914
18,nateraw/ex-for-evan,0.7901165614096723
19,karthiksv/vit-base-patch16-224-cifar10,0.7886269383006241
20,ferdinand/rare-puppers,0.7901165614096723
21,ipvikas/rare-puppers,0.7901165614096723
22,Frodnar/bee-likes,0.795961666791343
23,nickmuchi/vit-base-beans,0.7901165614096723
24,nateraw/baseball-stadium-foods,0.7893615770330128
25,Giuliano/places,0.7901165614096723
26,firas-spanioli/beer-whisky-wine-detection,0.7901165614096723
27,jjhoffstein/lotr,0.7931668368159914
28,Nonem100/Test-Model,0.7893615770330128
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.7901165614096723
30,LorenzoDeMattei/lawn-weeds,0.7893615770330128
31,nateraw/doggos-lol,0.7893615770330128
32,IDEA-CCNL/Taiyi-vit-87M-D,0.7940662580989142
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.7901165614096723
34,karthiksv/vit-base-beans,0.7886132589574391
35,Symbermine/rare-puppers,0.7901165614096723
36,nateraw/vit-base-patch16-224-cifar10,0.7886269383006241
37,gatecitypreservation/architectural_styles,0.795961666791343
38,Amrrs/south-indian-foods,0.7912952780829907
39,hafidber/fruits,0.7901165614096723
40,nateraw/rare-puppers-123,0.7901165614096723
41,Aftabhussain/Tomato_Leaf_Classifier,0.7901165614096723
42,nickmuchi/vit-base-xray-pneumonia,0.7886132589574391
43,Neto71/sea_mammals,0.7912952780829907
44,lewtun/oz-fauna,0.7912952780829907
45,hgarg/fruits,0.7901165614096723
46,jasmeen/dogs,0.7901165614096723
47,b25mayank3/shirt_identifier,0.7931668368159914
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.7931668368159914
49,facebook/convnext-base-224-22k,0.8054387945333525
50,nickmuchi/vit-finetuned-cats-dogs,0.7901165614096723
51,godiec/diam,0.7901165614096723
52,Rajaram1996/FacialEmoRecog,0.7903074757271513
53,nateraw/vit-base-beans-demo-v3,0.7901165614096723
54,firebolt/llama_or_what,0.7931668368159914
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7886269383006241
56,johnnydevriese/vit_beans,0.7886132589574391
57,nateraw/vit-age-classifier,0.7895591576515776
58,nateraw/vit-base-beans-demo-v2,0.7901165614096723
59,mmekias/vit-base-beans,0.7886132589574391
60,juanfiguera/ice_cream,0.7931668368159914
61,drab/Infrastructures,0.7893615770330128
62,nateraw/vit-base-beans,0.7901165614096723
63,Sena/dog,0.7901165614096723
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.7893615770330128
65,hafidber/rare-puppers,0.7901165614096723
66,edixo/road_good_damaged_condition,0.7901165614096723
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.7901165614096723
68,Sena/flowers,0.7931668368159914
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7893752563761979
70,johnnydevriese/vit-airplanes,0.7901165614096723
71,nateraw/pasta-shapes,0.7901165614096723
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.7886132589574391
73,hgarg/indian-snacks,0.7931668368159914
74,nateraw/vit-base-food101,0.7886269383006241
75,Hijazzi/rare-puppers,0.7901165614096723
76,nateraw/trainer-rare-puppers,0.7895797516674906
77,ibombonato/vit-age-classifier,0.795975346134528
78,nateraw/rare-puppers-new-auth,0.7893615770330128
79,SriramSridhar78/sriram-car-classifier,0.7956253251404987
80,ismgar01/vit-base-cats-vs-dogs,0.7901165614096723
81,nateraw/rare-puppers,0.7901165614096723
82,iyzg/computer-stuff,0.7886132589574391
83,nateraw/huggingpics-package-demo-2,0.7901165614096723
84,imjeffhi/pokemon_classifier,0.7910536682587609
85,nateraw/pasta-pizza-ravioli,0.7901165614096723
86,akahana/vit-base-cats-vs-dogs,0.7901165614096723
87,nateraw/donut-or-bagel,0.7901165614096723
88,nateraw/rare-puppers-09-04-2021,0.7912952780829907
89,nateraw/vit-base-cats-vs-dogs,0.7901165614096723
90,Zayn/VIT_Basic,0.7893615770330128
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.7901302407528574
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.7861616744707658
93,microsoft/swin-large-patch4-window7-224-in22k,0.8015771596956378
94,Ahmed9275/Vit-Cifar100,0.7893752563761979
95,driboune/skin_type,0.795961666791343
96,microsoft/swin-base-patch4-window7-224-in22k,0.8015771596956378
97,facebook/deit-base-patch16-224,0.7940662580989142
98,facebook/deit-base-distilled-patch16-224,0.8001289381390176
99,eslamxm/vit-base-food101,0.791131430064088
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.7892219490529387
101,facebook/convnext-base-224,0.8017935022349785
102,facebook/convnext-small-224,0.7989600364342406
103,microsoft/swin-base-patch4-window7-224,0.8152579386576556
104,microsoft/beit-base-patch16-224,0.7421829500718874
105,mrm8488/convnext-tiny-finetuned-eurosat,0.795243048723044
106,mrm8488/convnext-tiny-finetuned-beans,0.7952293693798589
107,facebook/convnext-tiny-224,0.7989600364342406
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.795243048723044
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7524874236088614
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.7869386104283902
111,Calin/convnext-tiny-finteuned-eurosat,0.7937397462708107
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7919735369416178
113,Visual-Attention-Network/van-small,0.7943497443804423
114,WinKawaks/vit-small-patch16-224,0.7818316259191758
115,facebook/deit-small-distilled-patch16-224,0.7943497443804423
116,Visual-Attention-Network/van-base,0.7963728813444015
117,jadohu/BEiT-finetuned,0.7392502032885675
118,nielsr/convnext-tiny-finetuned-eurostat,0.7937397462708107
119,facebook/deit-small-patch16-224,0.7911060985657837
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7911525911809716
121,microsoft/swin-small-patch4-window7-224,0.7963728813444015
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7926558936332049
123,Ahmed9275/ALL-3,0.7890846675769829
124,facebook/convnext-large-224,0.7994626356728604
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7926558936332049
