,model,score
0,google/vit-base-patch16-224,0.8566369649200736
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8711344003201273
2,facebook/deit-base-patch16-224,0.8540553378859852
3,facebook/deit-base-distilled-patch16-224,0.8659274062246567
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8581401212739788
5,facebook/convnext-base-224,0.8621763624931563
6,facebook/convnext-small-224,0.8585347538653763
7,microsoft/swin-base-patch4-window7-224,0.860647755081713
8,microsoft/beit-base-patch16-224,0.7616695031390996
9,facebook/convnext-tiny-224,0.8542109491674722
10,Visual-Attention-Network/van-small,0.8451120474319223
11,WinKawaks/vit-small-patch16-224,0.8039463987559823
12,facebook/deit-small-distilled-patch16-224,0.8607337995237614
13,Visual-Attention-Network/van-base,0.8580322381770261
14,facebook/deit-small-patch16-224,0.8529606649904987
15,microsoft/swin-small-patch4-window7-224,0.859735566802994
16,Ahmed9275/ALL-3,0.8605073853688353
17,facebook/convnext-large-224,0.8672417869891648
18,WinKawaks/vit-tiny-patch16-224,0.7634729906939356
19,Visual-Attention-Network/van-tiny,0.8508179005522617
20,facebook/deit-tiny-distilled-patch16-224,0.7991980486182395
21,Ahmed9275/ALL-test,0.8363241431138703
22,facebook/deit-tiny-patch16-224,0.7917207264149316
23,microsoft/swin-tiny-patch4-window7-224,0.861361694612264
24,Visual-Attention-Network/van-large,0.8618208732890834
25,google/vit-base-patch32-384,0.855836704839318
26,facebook/convnext-base-224-22k-1k,0.8627964548539123
27,google/vit-large-patch32-384,0.8470918683979319
28,microsoft/swin-large-patch4-window7-224,0.8698852254877899
29,lysandre/tiny-vit-random,0.14642253537202798
30,facebook/convnext-large-224-22k-1k,0.8690786100905572
31,facebook/convnext-base-384,0.8678065671467147
32,microsoft/resnet-50,0.8482709775131689
33,microsoft/beit-base-patch16-224-pt22k,0.7582167839091789
34,microsoft/beit-large-patch16-224,0.7201139830227946
35,google/vit-large-patch16-224,0.8583123028748723
36,facebook/convnext-large-384,0.8657908969199479
37,facebook/convnext-large-384-22k-1k,0.8708163938672733
38,nielsr/convnext-xlarge-224-22k-1k,0.8592361655183786
39,facebook/deit-base-patch16-384,0.864790371526038
40,google/vit-base-patch16-384,0.8643517770231763
41,facebook/deit-base-distilled-patch16-384,0.8679745757971551
42,facebook/convnext-xlarge-224-22k-1k,0.8639342603052746
43,microsoft/beit-large-patch16-384,0.7833088014588269
44,microsoft/swin-large-patch4-window12-384,0.8667799460109242
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8597781091152386
46,karthiksv/vit-base-patch16-224-cifar10,0.8576306514405408
47,nateraw/vit-base-patch16-224-cifar10,0.8582935863482547
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8500623100267632
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8534149365229713
50,jadohu/BEiT-finetuned,0.7858975479626963
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8637761536715106
52,nateraw/vit-base-beans-demo,0.8542488248051429
53,nickmuchi/vit-base-beans,0.8533391450852347
54,karthiksv/vit-base-beans,0.8516550874695641
55,nateraw/vit-base-beans-demo-v3,0.8507229972256515
56,johnnydevriese/vit_beans,0.8579610447388433
57,nateraw/vit-base-beans-demo-v2,0.8510219751655086
58,mmekias/vit-base-beans,0.8383799766099291
59,nateraw/vit-base-beans,0.857526209170087
60,mrm8488/convnext-tiny-finetuned-beans,0.84166554459114
61,nielsr/vit-finetuned-eurosat-kornia,0.8519690299267718
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8553530543231984
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8572824016538573
64,Calin/convnext-tiny-finteuned-eurosat,0.8390597366757834
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8232307407033194
66,nielsr/convnext-tiny-finetuned-eurostat,0.85651952455998
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8607519590816223
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8599780284271803
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8627494025029212
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8519662914218011
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8539930265072762
72,nielsr/convnext-tiny-finetuned-eurosat,0.8580237033875615
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.841763759812175
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8588165377396586
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8578565165835853
76,nielsr/van-base-finetuned-eurosat-imgaug,0.8587620012213035
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8601811352261116
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8677970530773007
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8516064184753624
80,eren23/pneumonia_test_attempt,0.8638319029448353
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8587763518855229
82,nickmuchi/vit-base-xray-pneumonia,0.8535940511169064
83,facebook/convnext-base-224-22k,0.8643265155446451
84,microsoft/swin-large-patch4-window7-224-in22k,0.873799033735201
85,microsoft/swin-base-patch4-window7-224-in22k,0.8664619034286446
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7807961971998593
87,facebook/convnext-large-224-22k,0.8729411090507767
88,facebook/convnext-xlarge-224-22k,0.8675076764872374
89,microsoft/swin-base-patch4-window12-384-in22k,0.8682957683380726
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7934925756497875
91,nielsr/convnext-xlarge-224-22k,0.8644987005424849
92,nickmuchi/vit-finetuned-cats-dogs,0.8555249773372163
93,ismgar01/vit-base-cats-vs-dogs,0.8589800290099806
94,akahana/vit-base-cats-vs-dogs,0.858612140438191
95,nateraw/vit-base-cats-vs-dogs,0.8539707862889666
96,nateraw/test_model_a,0.1186297680040075
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8487646620479588
98,Matthijs/snacks-classifier,0.8462587282824781
99,nateraw/vit-base-food101,0.8517206726186433
100,eslamxm/vit-base-food101,0.8539687845836359
101,SriramSridhar78/sriram-car-classifier,0.8580592450992817
102,imjeffhi/pokemon_classifier,0.8531779918735736
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.8520353450384028
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.6485659984857399
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8487633890046442
106,Ahmed9275/Vit-Cifar100,0.8419954138857249
