,model,score
0,firebolt/llama_or_what2,0.8510452151519611
1,google/vit-base-patch16-224,0.8700110192578198
2,nateraw/denver-nyc-paris,0.8612817827838235
3,black/simple_kitchen,0.8621923794016574
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8647485992280499
5,Suzana/new-york-tokyo-london,0.8631507931586614
6,filipafcastro/beer_vs_wine,0.8519823616274975
7,nateraw/baked-goods,0.850438876852134
8,ajanco/greens,0.8656431977078296
9,nateraw/vit-base-beans-demo,0.8629281515451876
10,HHousen/household-rooms,0.8578156353718525
11,Amrrs/indian-foods,0.864110032820599
12,nateraw/planes-trains-automobiles,0.8599717411598958
13,julien-c/hotdog-not-hotdog,0.8631836621231156
14,jmarshall/rare-puppers,0.8603763794955888
15,nielsr/vit-finetuned-eurosat-kornia,0.8505231751715178
16,eren23/pneumonia_test_attempt,0.8591064858971191
17,micole66/dwarf-goats,0.8583056644657089
18,nateraw/ex-for-evan,0.8610054117830395
19,karthiksv/vit-base-patch16-224-cifar10,0.861466286974597
20,ferdinand/rare-puppers,0.8523071104883948
21,ipvikas/rare-puppers,0.8436421310542402
22,Frodnar/bee-likes,0.862247718997201
23,nickmuchi/vit-base-beans,0.8597672856211019
24,nateraw/baseball-stadium-foods,0.8692305178080647
25,Giuliano/places,0.8559109379017551
26,firas-spanioli/beer-whisky-wine-detection,0.8581056130379823
27,jjhoffstein/lotr,0.8605179452725988
28,Nonem100/Test-Model,0.8578970461636779
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8568041150491049
30,LorenzoDeMattei/lawn-weeds,0.8487231691481995
31,nateraw/doggos-lol,0.8443483012150733
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8524683284337625
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.857874923348669
34,karthiksv/vit-base-beans,0.8626783213360452
35,Symbermine/rare-puppers,0.8637688052217325
36,nateraw/vit-base-patch16-224-cifar10,0.8619643376758982
37,gatecitypreservation/architectural_styles,0.8629772415705859
38,Amrrs/south-indian-foods,0.8604803633754503
39,hafidber/fruits,0.8570265981151952
40,nateraw/rare-puppers-123,0.8597480827726252
