,model,score
0,google/vit-base-patch16-224,0.8496537264823342
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8489897773106163
2,facebook/deit-base-patch16-224,0.8601116678026134
3,facebook/deit-base-distilled-patch16-224,0.8712369066861918
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8590899864710231
5,facebook/convnext-base-224,0.862301343792575
6,facebook/convnext-small-224,0.8419405492258746
7,microsoft/swin-base-patch4-window7-224,0.8790967889615596
8,microsoft/beit-base-patch16-224,0.7529979008973122
9,facebook/convnext-tiny-224,0.8579311820771203
10,Visual-Attention-Network/van-small,0.8421191195855914
11,WinKawaks/vit-small-patch16-224,0.811663907021807
12,facebook/deit-small-distilled-patch16-224,0.8675639956126538
13,Visual-Attention-Network/van-base,0.8583403791167331
14,facebook/deit-small-patch16-224,0.8123799523210893
15,microsoft/swin-small-patch4-window7-224,0.8201563408726747
16,Ahmed9275/ALL-3,0.8570088410831166
17,facebook/convnext-large-224,0.8558375772544262
18,WinKawaks/vit-tiny-patch16-224,0.7571209330229354
19,Visual-Attention-Network/van-tiny,0.8196082109047144
20,facebook/deit-tiny-distilled-patch16-224,0.835706653183187
21,Ahmed9275/ALL-test,0.8320146299196096
22,facebook/deit-tiny-patch16-224,0.7934036867346771
23,microsoft/swin-tiny-patch4-window7-224,0.8491663354966381
24,Visual-Attention-Network/van-large,0.8678508472592117
25,google/vit-base-patch32-384,0.8381171335812703
26,facebook/convnext-base-224-22k-1k,0.8554551264734569
27,google/vit-large-patch32-384,0.8601712789564427
28,microsoft/swin-large-patch4-window7-224,0.8555366448143199
29,lysandre/tiny-vit-random,0.2500171713334966
30,facebook/convnext-large-224-22k-1k,0.8663932722019251
31,facebook/convnext-base-384,0.879839150996518
32,microsoft/resnet-50,0.8438026454919941
33,microsoft/beit-base-patch16-224-pt22k,0.8044888753460405
34,microsoft/beit-large-patch16-224,0.8362202863820495
35,google/vit-large-patch16-224,0.8393195734863355
36,facebook/convnext-large-384,0.8723297772531045
