,model,score
0,google/vit-base-patch16-224,0.45370121956940823
1,IDEA-CCNL/Taiyi-vit-87M-D,0.4700371035799082
2,facebook/deit-base-patch16-224,0.4837087692264562
3,facebook/deit-base-distilled-patch16-224,0.4796985222251098
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.4873064801606199
5,facebook/convnext-base-224,0.4972056790698347
6,facebook/convnext-small-224,0.4737846595279826
7,microsoft/swin-base-patch4-window7-224,0.5147139427993913
8,microsoft/beit-base-patch16-224,0.4570058378154019
9,facebook/convnext-tiny-224,0.48806572083824934
10,Visual-Attention-Network/van-small,0.4579963180717951
11,WinKawaks/vit-small-patch16-224,0.4296067072048539
12,facebook/deit-small-distilled-patch16-224,0.39269975600004964
13,Visual-Attention-Network/van-base,0.4813123702111158
14,facebook/deit-small-patch16-224,0.44694976369578526
15,microsoft/swin-small-patch4-window7-224,0.4855609116344254
16,Ahmed9275/ALL-3,0.4803296193922197
17,facebook/convnext-large-224,0.5364918811649367
18,WinKawaks/vit-tiny-patch16-224,0.43703372304510346
19,Visual-Attention-Network/van-tiny,0.39784620117154046
20,facebook/deit-tiny-distilled-patch16-224,0.42894083458293836
21,Ahmed9275/ALL-test,0.4875535847501692
22,facebook/deit-tiny-patch16-224,0.4533522594897164
23,microsoft/swin-tiny-patch4-window7-224,0.4786298220356847
24,Visual-Attention-Network/van-large,0.49998873223440726
25,google/vit-base-patch32-384,0.4977195996342498
26,facebook/convnext-base-224-22k-1k,0.5209273210097707
27,google/vit-large-patch32-384,0.5072007799630434
28,microsoft/swin-large-patch4-window7-224,0.5407949810465685
29,lysandre/tiny-vit-random,0.4052926676313033
30,facebook/convnext-large-224-22k-1k,0.5435358898984638
31,facebook/convnext-base-384,0.5231880186448186
32,microsoft/beit-large-patch16-224,0.4745353492616273
33,google/vit-large-patch16-224,0.524982324229697
34,facebook/convnext-large-384,0.531558425390945
35,facebook/convnext-large-384-22k-1k,0.5628340674196761
36,nielsr/convnext-xlarge-224-22k-1k,0.5843449638801017
37,facebook/deit-base-patch16-384,0.47826856008090113
38,google/vit-base-patch16-384,0.5054485148549188
39,facebook/deit-base-distilled-patch16-384,0.4957338031920229
40,facebook/convnext-xlarge-224-22k-1k,0.5928526735001092
41,microsoft/beit-large-patch16-384,0.49472522014696935
42,microsoft/swin-large-patch4-window12-384,0.547440100595521
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.5150073755387572
44,karthiksv/vit-base-patch16-224-cifar10,0.4940257983064172
45,nateraw/vit-base-patch16-224-cifar10,0.4887349441138165
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.4899376709495169
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.49290999124448825
48,jadohu/BEiT-finetuned,0.47100161691219916
49,nateraw/vit-base-beans-demo,0.463260533204195
50,nickmuchi/vit-base-beans,0.47670146999079965
51,karthiksv/vit-base-beans,0.47045789921913306
52,nateraw/vit-base-beans-demo-v3,0.4735717714317991
53,johnnydevriese/vit_beans,0.47585078158178
54,nateraw/vit-base-beans-demo-v2,0.48637279511880877
55,mmekias/vit-base-beans,0.47043634967694475
56,nateraw/vit-base-beans,0.4886034313277229
57,mrm8488/convnext-tiny-finetuned-beans,0.5045375754505443
58,nielsr/vit-finetuned-eurosat-kornia,0.49327079212289293
59,mrm8488/convnext-tiny-finetuned-eurosat,0.5202741511032999
60,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.5160945502802096
61,Calin/convnext-tiny-finteuned-eurosat,0.5136043485349944
62,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.5218693149099206
63,nielsr/convnext-tiny-finetuned-eurostat,0.5081230729398754
64,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4911592179705872
65,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5060993188187941
66,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5031860887947617
67,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5084789368375024
68,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.49931833154718086
69,nielsr/convnext-tiny-finetuned-eurosat,0.4956142910430148
70,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.4951316059750889
71,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5010384328976657
72,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5065916148631976
73,nielsr/van-base-finetuned-eurosat-imgaug,0.4986791745848948
74,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5101344960750582
75,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5035877993232039
76,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5072641410657255
77,eren23/pneumonia_test_attempt,0.4761517359973476
78,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.48253265590290306
79,nickmuchi/vit-base-xray-pneumonia,0.4707825627631256
80,facebook/convnext-base-224-22k,0.5163893294800178
81,microsoft/swin-large-patch4-window7-224-in22k,0.5418613702661228
82,microsoft/swin-base-patch4-window7-224-in22k,0.5011898906199749
83,microsoft/beit-base-patch16-224-pt22k-ft22k,0.4883605388857557
84,facebook/convnext-large-224-22k,0.5684890315274744
85,facebook/convnext-xlarge-224-22k,0.5826733016790319
86,microsoft/swin-base-patch4-window12-384-in22k,0.5151567781459211
87,microsoft/beit-large-patch16-224-pt22k-ft22k,0.5139015498578201
88,nielsr/convnext-xlarge-224-22k,0.5932188168882364
89,nickmuchi/vit-finetuned-cats-dogs,0.46126049514167045
90,ismgar01/vit-base-cats-vs-dogs,0.46971329102160203
91,akahana/vit-base-cats-vs-dogs,0.4642885125925724
92,nateraw/vit-base-cats-vs-dogs,0.47663619093229753
93,nateraw/test_model_a,0.4210106609016004
94,matteopilotto/vit-base-patch16-224-in21k-snacks,0.4727902631463898
95,Matthijs/snacks-classifier,0.4785166739925089
96,nateraw/vit-base-food101,0.49686869007955226
97,eslamxm/vit-base-food101,0.4767254675152723
98,SriramSridhar78/sriram-car-classifier,0.49366923643777105
99,imjeffhi/pokemon_classifier,0.44643587231646853
100,AkshatSurolia/ViT-FaceMask-Finetuned,0.4512777665329875
101,AkshatSurolia/BEiT-FaceMask-Finetuned,0.46217143049802767
102,AkshatSurolia/DeiT-FaceMask-Finetuned,0.48715488069390067
103,Ahmed9275/Vit-Cifar100,0.5055089209903335
