,model,score
0,Rajaram1996/FacialEmoRecog,0.8614877186931033
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8610166995946963
2,Matthijs/snacks-classifier,0.8648369539328752
3,ibombonato/vit-age-classifier,0.8652023651947103
4,ibombonato/swin-age-classifier,0.850693328692309
5,nateraw/vit-age-classifier,0.8668280670780817
6,mmekias/vit-base-beans,0.8625613375351149
7,mrm8488/convnext-tiny-finetuned-beans,0.8708876541766234
8,karthiksv/vit-base-beans,0.8639079145008906
9,johnnydevriese/vit_beans,0.859250879118613
10,nateraw/vit-base-beans,0.8616751046645925
11,nateraw/vit-base-beans-demo-v3,0.8532477952657797
12,nateraw/vit-base-beans-demo-v2,0.860357926378724
13,nickmuchi/vit-base-beans,0.8640401507900082
14,nateraw/vit-base-beans-demo,0.8646253645333047
15,ismgar01/vit-base-cats-vs-dogs,0.8620386373695632
16,nickmuchi/vit-finetuned-cats-dogs,0.8657097355259336
17,nateraw/vit-base-cats-vs-dogs,0.8639577040505033
18,nateraw/test_model_a,0.10162052643732906
19,akahana/vit-base-cats-vs-dogs,0.8662619738097673
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8659538836285983
21,eren23/pneumonia_test_attempt,0.867714786078519
22,nickmuchi/vit-base-xray-pneumonia,0.8681842826420245
23,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8648506636430682
24,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8665628890744779
25,nateraw/vit-base-patch16-224-cifar10,0.8634042555101895
26,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8644521936992864
27,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8652908933999715
28,karthiksv/vit-base-patch16-224-cifar10,0.8665704715490431
29,jadohu/BEiT-finetuned,0.8025901426951906
30,Ahmed9275/Vit-Cifar100,0.8644421470319504
31,mrm8488/convnext-tiny-finetuned-eurosat,0.8666364129266241
32,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8697593587992245
33,Calin/convnext-tiny-finteuned-eurosat,0.8664069174982373
34,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8468106582289465
35,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.863292260163952
36,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8637385707959534
37,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8637884218469216
38,nielsr/convnext-tiny-finetuned-eurosat,0.8591751765407973
39,nielsr/convnext-tiny-finetuned-eurostat,0.8613862185537836
40,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8629558486369576
41,nielsr/vit-finetuned-eurosat-kornia,0.8644675590121338
