,model,score
0,Rajaram1996/FacialEmoRecog,0.8616445670552495
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8605913321760127
2,Matthijs/snacks-classifier,0.8564617687056436
3,ibombonato/vit-age-classifier,0.858789654862643
4,ibombonato/swin-age-classifier,0.8693638326882491
5,nateraw/vit-age-classifier,0.8526286430891369
6,mrm8488/convnext-tiny-finetuned-beans,0.8557852726190996
7,johnnydevriese/vit_beans,0.8553470123438355
8,nateraw/vit-base-beans,0.8476160622962188
9,nickmuchi/vit-base-beans,0.8664069812471874
10,nateraw/vit-base-beans-demo,0.867038859469468
11,ismgar01/vit-base-cats-vs-dogs,0.8630295337847623
12,nateraw/vit-base-cats-vs-dogs,0.869025732350479
13,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8635437596101714
14,nickmuchi/vit-base-xray-pneumonia,0.8675150005362895
15,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8609989602482971
16,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8623030533770905
17,Ahmed9275/Vit-Cifar100,0.8589977598221686
18,mrm8488/convnext-tiny-finetuned-eurosat,0.8688564134979977
19,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8635374193554962
20,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8702648884901104
21,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8583200947966546
22,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8621518327863391
23,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8780086428806618
24,nateraw/vit-base-food101,0.8688151261438785
25,eslamxm/vit-base-food101,0.8611962352480422
26,nateraw/rare-puppers-09-04-2021,0.8702788896402933
27,nateraw/pasta-pizza-ravioli,0.8699558922261501
28,firas-spanioli/beer-whisky-wine-detection,0.8672794247336717
29,nateraw/donut-or-bagel,0.8653438687470719
30,jeffboudier/vision-transformers-spain-or-italy-fan,0.8759931538372365
31,Suzana/new-york-tokyo-london,0.8689426892197849
32,Sena/flowers,0.8709819685563893
33,Zayn/VIT_Basic,0.8619842542921589
34,firebolt/llama_or_what,0.8677030799661257
35,hafidber/rare-puppers,0.8725452944701937
36,ipvikas/rare-puppers,0.8680746185733027
37,juanfiguera/ice_cream,0.8764893792000499
38,ferdinand/rare-puppers,0.8618594457654885
39,lewtun/oz-fauna,0.8691940833452759
40,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8622526685224473
41,nateraw/baked-goods,0.8664507851380283
42,hafidber/fruits,0.8598644066564465
43,nateraw/rare-puppers-demo,0.8555601004438799
44,Aftabhussain/Tomato_Leaf_Classifier,0.8621349215286556
45,Amrrs/south-indian-foods,0.8598538434268513
46,Amrrs/indian-foods,0.8615168018116305
47,nateraw/rare-puppers-123,0.8739763927137555
48,Nonem100/Test-Model,0.868183664565285
49,jasmeen/dogs,0.8620400940553775
50,HHousen/household-rooms,0.8701232364003445
51,AhmedSayeem/VIT_Basic,0.86767420667918
52,edixo/road_good_damaged_condition,0.8684901222862128
53,firebolt/llama_or_what2,0.8581362768547924
54,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8694696277537765
55,nateraw/planes-trains-automobiles,0.8667611257919936
56,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8482625805095602
57,johnnydevriese/vit-airplanes,0.8574953618084211
58,nateraw/denver-nyc-paris,0.8694257496118467
59,facebook/deit-small-distilled-patch16-224,0.87109718377096
60,facebook/convnext-base-224,0.8827982565713787
61,facebook/deit-base-patch16-224,0.8690553798248222
62,IDEA-CCNL/Taiyi-vit-87M-D,0.8630716808902856
63,google/vit-large-patch16-224,0.8648005727077712
64,google/vit-base-patch16-384,0.8795461474468396
65,facebook/deit-small-patch16-224,0.8418464640364651
66,microsoft/swin-large-patch4-window7-224,0.8591055052805097
67,microsoft/swin-tiny-patch4-window7-224,0.8592387536585566
68,Ahmed9275/ALL-3,0.8582548342196722
69,facebook/deit-tiny-distilled-patch16-224,0.8260307941612836
70,WinKawaks/vit-tiny-patch16-224,0.7641119524005853
71,lysandre/tiny-vit-random,0.1498628673171623
72,Visual-Attention-Network/van-large,0.8824071225608309
73,mrm8488/data2vec-base-finetuned-imagenet1k,0.8436431728648869
74,microsoft/beit-base-patch16-224-pt22k,0.7651985077656117
75,Visual-Attention-Network/van-tiny,0.8693940158729515
76,google/vit-large-patch32-384,0.874536287051396
77,facebook/convnext-large-384-22k-1k,0.8893504800108916
78,microsoft/swin-large-patch4-window12-384,0.8805950107888049
79,microsoft/beit-large-patch16-384,0.7562595063378492
80,microsoft/resnet-50,0.8622526451957867
81,microsoft/beit-large-patch16-224,0.7597532895581182
82,nielsr/convnext-xlarge-224-22k-1k,0.8835388103951672
83,microsoft/swin-large-patch4-window7-224-in22k,0.8885405173665465
84,facebook/convnext-base-224-22k,0.8812223472596505
85,facebook/convnext-large-224-22k,0.8920120359482568
86,imjeffhi/pokemon_classifier,0.8584600214578606
87,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8602680603308122
88,AkshatSurolia/BEiT-FaceMask-Finetuned,0.6475406945746363
89,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.836209518770402
