,model,score
0,firebolt/llama_or_what2,0.8533234837313641
1,google/vit-base-patch16-224,0.8532818282273584
2,nateraw/denver-nyc-paris,0.8512045906198843
3,black/simple_kitchen,0.8525869060910476
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.853011999695387
5,Suzana/new-york-tokyo-london,0.8483540815547316
6,filipafcastro/beer_vs_wine,0.8497104849264726
7,nateraw/baked-goods,0.8535812987152748
8,ajanco/greens,0.8529686252789911
9,nateraw/vit-base-beans-demo,0.8520129160408625
10,HHousen/household-rooms,0.852137181893729
11,Amrrs/indian-foods,0.8540601348385551
12,nateraw/planes-trains-automobiles,0.8529159227186363
13,julien-c/hotdog-not-hotdog,0.8510608826837772
14,jmarshall/rare-puppers,0.8535934661878061
15,nielsr/vit-finetuned-eurosat-kornia,0.8490977790482235
16,eren23/pneumonia_test_attempt,0.8526160750830651
17,micole66/dwarf-goats,0.8501688683874927
18,nateraw/ex-for-evan,0.8534861031464938
19,karthiksv/vit-base-patch16-224-cifar10,0.8465770629328491
20,ferdinand/rare-puppers,0.8453224209268475
21,ipvikas/rare-puppers,0.8514511703386428
22,Frodnar/bee-likes,0.8519713660478736
23,nickmuchi/vit-base-beans,0.8536337804281082
24,nateraw/baseball-stadium-foods,0.8514693192214919
25,Giuliano/places,0.8519718834427898
26,firas-spanioli/beer-whisky-wine-detection,0.8487380567665554
27,jjhoffstein/lotr,0.8523681061258692
28,Nonem100/Test-Model,0.8464163061573146
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8524811797662203
30,LorenzoDeMattei/lawn-weeds,0.854006044826544
31,nateraw/doggos-lol,0.8466844077192932
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8519604435574736
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8506297226979025
34,karthiksv/vit-base-beans,0.852517705652197
35,Symbermine/rare-puppers,0.8518979146226249
36,nateraw/vit-base-patch16-224-cifar10,0.8496817912333334
37,gatecitypreservation/architectural_styles,0.8506602434121489
38,Amrrs/south-indian-foods,0.8532587362942745
39,hafidber/fruits,0.8488810885109187
40,nateraw/rare-puppers-123,0.8547222490527308
41,Aftabhussain/Tomato_Leaf_Classifier,0.8549956678283245
42,nickmuchi/vit-base-xray-pneumonia,0.8481929258528494
43,Neto71/sea_mammals,0.848462164705896
44,lewtun/oz-fauna,0.8515253637689771
45,hgarg/fruits,0.8515149265309124
46,jasmeen/dogs,0.8536564319975993
47,b25mayank3/shirt_identifier,0.8533090307456273
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8522968717540431
49,facebook/convnext-base-224-22k,0.8484926483991707
50,nickmuchi/vit-finetuned-cats-dogs,0.8516687521723314
51,godiec/diam,0.8521942386267441
52,Rajaram1996/FacialEmoRecog,0.8504599704023421
53,nateraw/vit-base-beans-demo-v3,0.8502309168529797
54,firebolt/llama_or_what,0.8521756973749253
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8535454096813421
56,johnnydevriese/vit_beans,0.8447346776517877
57,nateraw/vit-age-classifier,0.8526906055397321
58,nateraw/vit-base-beans-demo-v2,0.8493929348956005
59,mmekias/vit-base-beans,0.8486262671945296
60,juanfiguera/ice_cream,0.851335297457312
61,drab/Infrastructures,0.8511666734146859
62,nateraw/vit-base-beans,0.8529115534528254
63,Sena/dog,0.848857097914627
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8533846403362121
65,hafidber/rare-puppers,0.8523818644863416
66,edixo/road_good_damaged_condition,0.8453357293710618
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8526999238466426
68,Sena/flowers,0.8535258935351654
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.853398397437547
70,johnnydevriese/vit-airplanes,0.8482813855452299
71,nateraw/pasta-shapes,0.8510280971088626
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8523111569380356
73,hgarg/indian-snacks,0.8526850201732021
74,nateraw/vit-base-food101,0.8512032033423553
75,Hijazzi/rare-puppers,0.853765884129523
76,nateraw/trainer-rare-puppers,0.8477362220715209
77,ibombonato/vit-age-classifier,0.8505765515300054
78,nateraw/rare-puppers-new-auth,0.8507355022661636
79,SriramSridhar78/sriram-car-classifier,0.8526018103670626
80,ismgar01/vit-base-cats-vs-dogs,0.8506045611599347
81,nateraw/rare-puppers,0.8427184890319903
82,iyzg/computer-stuff,0.8531152608378834
83,nateraw/huggingpics-package-demo-2,0.852996401972143
84,imjeffhi/pokemon_classifier,0.8480815593359678
85,nateraw/pasta-pizza-ravioli,0.8452990030500372
86,akahana/vit-base-cats-vs-dogs,0.851322594436209
87,nateraw/donut-or-bagel,0.8503361126486247
88,nateraw/rare-puppers-09-04-2021,0.8523306577196023
89,nateraw/vit-base-cats-vs-dogs,0.8501653970370748
90,Zayn/VIT_Basic,0.8454056397026606
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8516001926501124
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8517494969377505
93,microsoft/swin-large-patch4-window7-224-in22k,0.855210025959882
94,Ahmed9275/Vit-Cifar100,0.8507667598182267
95,driboune/skin_type,0.8519831416835457
96,microsoft/swin-base-patch4-window7-224-in22k,0.8538256437868564
97,facebook/deit-base-patch16-224,0.8543955780396074
98,facebook/deit-base-distilled-patch16-224,0.8546730057589197
99,eslamxm/vit-base-food101,0.8464528894217942
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8487940227386852
101,facebook/convnext-base-224,0.8526443283678433
102,facebook/convnext-small-224,0.852848668178393
103,microsoft/swin-base-patch4-window7-224,0.8548112145098204
104,microsoft/beit-base-patch16-224,0.783553573397079
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8542571970693431
106,mrm8488/convnext-tiny-finetuned-beans,0.8525985376638913
107,facebook/convnext-tiny-224,0.8534510341774909
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8505129802885507
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8102275575129356
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8378893418922793
111,Calin/convnext-tiny-finteuned-eurosat,0.8546504299925588
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8358295306174781
113,Visual-Attention-Network/van-small,0.8483054798824697
114,WinKawaks/vit-small-patch16-224,0.831748529633816
115,facebook/deit-small-distilled-patch16-224,0.847815509722562
116,Visual-Attention-Network/van-base,0.8436747283955525
117,jadohu/BEiT-finetuned,0.7692730909510882
118,nielsr/convnext-tiny-finetuned-eurostat,0.8518247296863105
119,facebook/deit-small-patch16-224,0.8521470835446778
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8485839087990154
121,microsoft/swin-small-patch4-window7-224,0.8498190895517762
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8496951531067684
123,Ahmed9275/ALL-3,0.8522611464715253
124,facebook/convnext-large-224,0.8500503172572607
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8528490787964909
126,WinKawaks/vit-tiny-patch16-224,0.8307590053284841
127,Visual-Attention-Network/van-tiny,0.8499395793832305
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8511381038981493
129,facebook/deit-tiny-distilled-patch16-224,0.8382905400649251
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.85256280761996
131,nielsr/convnext-tiny-finetuned-eurosat,0.850543416783088
132,ibombonato/swin-age-classifier,0.8500111839028918
133,Ahmed9275/ALL-test,0.8516545887734881
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8528655702209956
135,facebook/deit-tiny-patch16-224,0.8223562954072965
136,microsoft/swin-tiny-patch4-window7-224,0.8513155518943667
137,flyswot/test,0.8343722341537629
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8513928223539783
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8407270145039166
140,nielsr/van-base-finetuned-eurosat-imgaug,0.8521173257734431
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8454897131667254
142,Visual-Attention-Network/van-large,0.8469109202030718
143,Matthijs/snacks-classifier,0.8444405213269844
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8512400933356297
145,nateraw/test_model_a,0.3665508637181065
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8541347108491424
147,google/vit-base-patch32-384,0.8509452815549011
148,nateraw/rare-puppers-demo,0.8462460129399012
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.7781306973986168
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8464392721848993
151,meame2010/rare-puppers,0.8501874841721279
152,facebook/convnext-base-224-22k-1k,0.8492909126336453
153,google/vit-large-patch32-384,0.8509261524929116
154,microsoft/swin-large-patch4-window7-224,0.8493195803489639
155,mmgyorke/vit-world-landmarks,0.8509831080627079
156,lysandre/tiny-vit-random,0.45102950164020505
157,AhmedSayeem/VIT_Basic,0.8507647711381471
158,facebook/convnext-large-224-22k-1k,0.8558282780300296
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8527607752647545
160,facebook/convnext-base-384,0.855474487269007
161,microsoft/resnet-50,0.8431523937909481
