,model,score
0,google/vit-base-patch16-224,0.483151770868486
1,IDEA-CCNL/Taiyi-vit-87M-D,0.5036140257189693
2,facebook/deit-base-patch16-224,0.5049243405529658
3,facebook/deit-base-distilled-patch16-224,0.5123409975988958
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.4966037906133355
5,facebook/convnext-base-224,0.5317249240343748
6,facebook/convnext-small-224,0.5389180919038813
7,microsoft/swin-base-patch4-window7-224,0.5309994864791462
8,microsoft/beit-base-patch16-224,0.49853286089652227
9,facebook/convnext-tiny-224,0.5289609648292489
10,Visual-Attention-Network/van-small,0.5044653260278185
11,WinKawaks/vit-small-patch16-224,0.4670168589470945
12,facebook/deit-small-distilled-patch16-224,0.4833367548938887
13,Visual-Attention-Network/van-base,0.5065714131159514
14,facebook/deit-small-patch16-224,0.46481837969255596
15,microsoft/swin-small-patch4-window7-224,0.5146923968451289
16,Ahmed9275/ALL-3,0.5211537106510281
17,facebook/convnext-large-224,0.5318124074356999
18,WinKawaks/vit-tiny-patch16-224,0.44573824429297093
19,Visual-Attention-Network/van-tiny,0.4867049434118224
20,facebook/deit-tiny-distilled-patch16-224,0.4799604731689996
21,Ahmed9275/ALL-test,0.5153579951741629
22,facebook/deit-tiny-patch16-224,0.4754433091155404
23,microsoft/swin-tiny-patch4-window7-224,0.5053195662879273
24,Visual-Attention-Network/van-large,0.5371507095686989
25,google/vit-base-patch32-384,0.5117054734456172
26,facebook/convnext-base-224-22k-1k,0.5421399035195015
27,google/vit-large-patch32-384,0.5156702529325004
28,microsoft/swin-large-patch4-window7-224,0.5776515743106845
29,lysandre/tiny-vit-random,0.38678640800042935
30,facebook/convnext-large-224-22k-1k,0.5589811407955431
31,facebook/convnext-base-384,0.5280671254990249
32,microsoft/beit-large-patch16-224,0.49683324046143335
33,google/vit-large-patch16-224,0.5175999514660143
34,facebook/convnext-large-384,0.5518713093544286
35,facebook/convnext-large-384-22k-1k,0.5927532825592565
36,nielsr/convnext-xlarge-224-22k-1k,0.6071122593264167
37,facebook/deit-base-patch16-384,0.5272234251817345
38,google/vit-base-patch16-384,0.528624368624428
39,facebook/deit-base-distilled-patch16-384,0.5454105416395193
40,facebook/convnext-xlarge-224-22k-1k,0.5869929965766392
41,microsoft/beit-large-patch16-384,0.5258037969137073
42,microsoft/swin-large-patch4-window12-384,0.5595375019624257
43,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.5494211432070615
44,karthiksv/vit-base-patch16-224-cifar10,0.5147876269205691
45,nateraw/vit-base-patch16-224-cifar10,0.5043356495392807
46,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.5075065869457346
47,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.5067235552338935
48,jadohu/BEiT-finetuned,0.5062696724083188
49,nateraw/vit-base-beans-demo,0.4825128349101872
50,nickmuchi/vit-base-beans,0.4947856791611101
51,karthiksv/vit-base-beans,0.4754700318514283
52,nateraw/vit-base-beans-demo-v3,0.49135229612889914
53,johnnydevriese/vit_beans,0.4933187854299616
54,nateraw/vit-base-beans-demo-v2,0.48981281818112826
55,mmekias/vit-base-beans,0.49786633905747524
56,nateraw/vit-base-beans,0.49264659834010804
57,mrm8488/convnext-tiny-finetuned-beans,0.5222512637238523
58,nielsr/vit-finetuned-eurosat-kornia,0.5237269110867597
59,mrm8488/convnext-tiny-finetuned-eurosat,0.5364165655335711
60,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.5297155543973692
61,Calin/convnext-tiny-finteuned-eurosat,0.53112210963905
62,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.5126494444213566
63,nielsr/convnext-tiny-finetuned-eurostat,0.5256801235380392
64,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5220094197606293
65,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5203040804917446
66,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5166284650369153
67,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5219403366370244
68,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5288644812374839
69,nielsr/convnext-tiny-finetuned-eurosat,0.5277610655278083
70,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.5087855334338727
71,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5262733501159211
72,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5264685240136362
73,nielsr/van-base-finetuned-eurosat-imgaug,0.5222293363540826
74,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5320726081957156
75,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5275788566795526
76,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5196727423998163
77,eren23/pneumonia_test_attempt,0.4799197036096888
78,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.493485759937543
79,nickmuchi/vit-base-xray-pneumonia,0.47030678745088983
80,facebook/convnext-base-224-22k,0.5770842216977758
81,microsoft/swin-large-patch4-window7-224-in22k,0.5424329139672851
82,microsoft/swin-base-patch4-window7-224-in22k,0.5459104220346853
83,microsoft/beit-base-patch16-224-pt22k-ft22k,0.47567553299038695
