,model,score
0,google/vit-base-patch16-224,0.8686216964866724
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8686216957968346
2,facebook/deit-base-patch16-224,0.8686216813262109
3,facebook/deit-base-distilled-patch16-224,0.8676564380937717
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8686677770376414
5,facebook/convnext-base-224,0.8661014884831586
6,facebook/convnext-small-224,0.8940947384752056
7,microsoft/swin-base-patch4-window7-224,0.8671205986151851
8,microsoft/beit-base-patch16-224,0.8686677637792746
9,facebook/convnext-tiny-224,0.8508664715204614
10,Visual-Attention-Network/van-small,0.782413471486146
11,WinKawaks/vit-small-patch16-224,0.8245129805275758
12,facebook/deit-small-distilled-patch16-224,0.8262481582008614
13,Visual-Attention-Network/van-base,0.8434575899877552
14,facebook/deit-small-patch16-224,0.8245129873115918
15,microsoft/swin-small-patch4-window7-224,0.8936996989859147
16,Ahmed9275/ALL-3,0.8497964822384683
17,facebook/convnext-large-224,0.9241908057267939
18,WinKawaks/vit-tiny-patch16-224,0.730965734481365
19,Visual-Attention-Network/van-tiny,0.7197419355876526
20,facebook/deit-tiny-distilled-patch16-224,0.7322907436747911
21,Ahmed9275/ALL-test,0.8497964800752821
22,facebook/deit-tiny-patch16-224,0.730965732436912
23,microsoft/swin-tiny-patch4-window7-224,0.8497964822203691
24,Visual-Attention-Network/van-large,0.889056884554011
25,google/vit-base-patch32-384,0.8664646913907615
26,facebook/convnext-base-224-22k-1k,0.8661014950172802
27,google/vit-large-patch32-384,0.8150423934585533
28,microsoft/swin-large-patch4-window7-224,0.9240281112784325
29,lysandre/tiny-vit-random,0.6902843203042452
30,facebook/convnext-large-224-22k-1k,0.924190805857255
31,facebook/convnext-base-384,0.8661015286867603
32,microsoft/resnet-50,0.8394530171399761
33,microsoft/beit-base-patch16-224-pt22k,0.8697559079251017
34,microsoft/beit-large-patch16-224,0.8135849964706594
35,google/vit-large-patch16-224,0.8135233883125377
36,facebook/convnext-large-384,0.9241908249526731
37,facebook/convnext-large-384-22k-1k,0.9241908255800994
38,microsoft/beit-large-patch16-384,0.8139333962642294
39,nielsr/convnext-xlarge-224-22k-1k,0.8861687871070375
40,facebook/deit-base-patch16-384,0.8682554132400584
41,google/vit-base-patch16-384,0.8682554221535294
42,facebook/deit-base-distilled-patch16-384,0.8672925729659083
43,microsoft/swin-large-patch4-window12-384,0.9240610126061135
44,facebook/convnext-xlarge-224-22k-1k,0.886168785528776
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8695807068057163
46,karthiksv/vit-base-patch16-224-cifar10,0.8695807210439752
47,nateraw/vit-base-patch16-224-cifar10,0.8695807105902493
