,model,score
0,google/vit-base-patch16-224,0.8658522818936791
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8658522809505786
2,facebook/deit-base-patch16-224,0.8658522611715351
3,facebook/deit-base-distilled-patch16-224,0.8648760986186639
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8658990094702579
5,facebook/convnext-base-224,0.8633143258029774
6,facebook/convnext-small-224,0.8972706981405808
7,microsoft/swin-base-patch4-window7-224,0.8643364015709966
8,microsoft/beit-base-patch16-224,0.8658989913500473
9,facebook/convnext-tiny-224,0.8584439147705786
10,Visual-Attention-Network/van-small,0.7892811656613975
11,WinKawaks/vit-small-patch16-224,0.8323358853913907
12,facebook/deit-small-distilled-patch16-224,0.834078934848079
13,Visual-Attention-Network/van-base,0.8511914095792195
14,facebook/deit-small-patch16-224,0.8323358937819453
15,microsoft/swin-small-patch4-window7-224,0.8970339093379041
16,Ahmed9275/ALL-3,0.8574014878121726
17,facebook/convnext-large-224,0.9230511960769613
18,WinKawaks/vit-tiny-patch16-224,0.7351401390414394
19,Visual-Attention-Network/van-tiny,0.723149526608802
20,facebook/deit-tiny-distilled-patch16-224,0.7365517520108301
21,Ahmed9275/ALL-test,0.8574014851237839
22,facebook/deit-tiny-patch16-224,0.7351401365362227
23,microsoft/swin-tiny-patch4-window7-224,0.8574014877896614
24,Visual-Attention-Network/van-large,0.8936142127505429
25,google/vit-base-patch32-384,0.8636779233620187
26,facebook/convnext-base-224-22k-1k,0.8633143347825718
27,google/vit-large-patch32-384,0.8152114603001763
28,microsoft/swin-large-patch4-window7-224,0.9230571819121235
29,lysandre/tiny-vit-random,0.6914100034756757
30,facebook/convnext-large-224-22k-1k,0.9230511964324017
31,facebook/convnext-base-384,0.8633143810764586
32,microsoft/resnet-50,0.8472402128595039
33,microsoft/beit-base-patch16-224-pt22k,0.8670058219719818
34,microsoft/beit-large-patch16-224,0.8135186117137818
35,google/vit-large-patch16-224,0.8134460419448322
36,facebook/convnext-large-384,0.9230512485272432
37,facebook/convnext-large-384-22k-1k,0.9230512502427546
38,nielsr/convnext-xlarge-224-22k-1k,0.8929690218730512
39,facebook/deit-base-patch16-384,0.8654812605967892
40,google/vit-base-patch16-384,0.8654812727910297
41,facebook/deit-base-distilled-patch16-384,0.864509450831643
42,facebook/convnext-xlarge-224-22k-1k,0.8929690169706929
43,microsoft/beit-large-patch16-384,0.8139272499485553
44,microsoft/swin-large-patch4-window12-384,0.9230622823164345
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8668271526970719
46,karthiksv/vit-base-patch16-224-cifar10,0.8668271721198404
47,nateraw/vit-base-patch16-224-cifar10,0.8668271578596032
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8668271520645787
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.866827159116894
50,jadohu/BEiT-finetuned,0.8668743616917363
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8668271524890664
52,nateraw/vit-base-beans-demo,0.8668340988470504
53,nickmuchi/vit-base-beans,0.8668340831000781
54,karthiksv/vit-base-beans,0.8668340751023366
55,nateraw/vit-base-beans-demo-v3,0.8668340751906893
56,johnnydevriese/vit_beans,0.8668340852995142
57,nateraw/vit-base-beans-demo-v2,0.866834074595424
58,mmekias/vit-base-beans,0.8668340851636505
59,nateraw/vit-base-beans,0.866834083329068
60,mrm8488/convnext-tiny-finetuned-beans,0.8557568706482951
61,nielsr/vit-finetuned-eurosat-kornia,0.8668271578710722
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8557760817841474
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8557760808920838
64,Calin/convnext-tiny-finteuned-eurosat,0.855776093007864
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8557760776592059
66,nielsr/convnext-tiny-finetuned-eurostat,0.8557760943851151
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8546953832680988
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8546953863665242
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8546953832981747
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8546953933129195
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8546953864510186
72,nielsr/convnext-tiny-finetuned-eurosat,0.8557760935516721
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8546953865389217
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.854695392194492
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8546953867779141
76,nielsr/van-base-finetuned-eurosat-imgaug,0.8492509318607768
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.854695384135406
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8546953936992269
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8546953831497991
80,eren23/pneumonia_test_attempt,0.8668350731389539
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.866835069409354
82,nickmuchi/vit-base-xray-pneumonia,0.8668350893511733
83,facebook/convnext-base-224-22k,0.8457717453713809
84,microsoft/swin-large-patch4-window7-224-in22k,0.896258948908953
85,microsoft/swin-base-patch4-window7-224-in22k,0.8460293558713102
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8494312507720556
87,facebook/convnext-large-224-22k,0.8943025939415379
88,facebook/convnext-xlarge-224-22k,0.9598745772229884
89,microsoft/swin-base-patch4-window12-384-in22k,0.8459844024550887
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8412799922340788
91,nielsr/convnext-xlarge-224-22k,0.9598745785013341
92,nickmuchi/vit-finetuned-cats-dogs,0.8668350725686124
93,ismgar01/vit-base-cats-vs-dogs,0.866835077005558
94,akahana/vit-base-cats-vs-dogs,0.8668350687905114
95,nateraw/vit-base-cats-vs-dogs,0.86683508999256
96,nateraw/test_model_a,0.6911405715548463
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.866817260974116
98,Matthijs/snacks-classifier,0.8547232030794735
99,nateraw/vit-base-food101,0.8667371406698684
100,eslamxm/vit-base-food101,0.8667371408918492
101,SriramSridhar78/sriram-car-classifier,0.8666432601416989
102,imjeffhi/pokemon_classifier,0.8659522457763541
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.8668350645740859
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.8670057696389083
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8668331078526267
106,Ahmed9275/Vit-Cifar100,0.8667381248083246
