,model,score
0,firebolt/llama_or_what2,0.8765668671285636
1,google/vit-base-patch16-224,0.8760759722409303
2,nateraw/denver-nyc-paris,0.8765673737405194
3,black/simple_kitchen,0.8765673775620326
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8765637797901876
5,Suzana/new-york-tokyo-london,0.8765673470285387
6,filipafcastro/beer_vs_wine,0.8765678337249658
7,nateraw/baked-goods,0.8765673790479559
8,ajanco/greens,0.8765663104720534
9,nateraw/vit-base-beans-demo,0.8765673754796799
10,HHousen/household-rooms,0.8765663305678425
11,Amrrs/indian-foods,0.8765663192822795
12,nateraw/planes-trains-automobiles,0.8765673267590733
13,julien-c/hotdog-not-hotdog,0.8765678523303163
14,jmarshall/rare-puppers,0.8765673739782384
15,nielsr/vit-finetuned-eurosat-kornia,0.876563790336848
16,eren23/pneumonia_test_attempt,0.8765678524705155
17,micole66/dwarf-goats,0.8765678351148936
18,nateraw/ex-for-evan,0.876566837905889
19,karthiksv/vit-base-patch16-224-cifar10,0.8765638193838441
20,ferdinand/rare-puppers,0.8765673261076927
21,ipvikas/rare-puppers,0.8765673360298156
22,Frodnar/bee-likes,0.8765673757872801
23,nickmuchi/vit-base-beans,0.8765673433787617
24,nateraw/baseball-stadium-foods,0.8765663194658565
25,Giuliano/places,0.8765673269787582
26,firas-spanioli/beer-whisky-wine-detection,0.8765673282485131
27,jjhoffstein/lotr,0.8765663198969947
28,Nonem100/Test-Model,0.8765663100676574
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8765668769578592
30,LorenzoDeMattei/lawn-weeds,0.8765673434832278
31,nateraw/doggos-lol,0.8765673444262894
32,IDEA-CCNL/Taiyi-vit-87M-D,0.87607597031955
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.876567844867701
34,karthiksv/vit-base-beans,0.8765673270755383
35,Symbermine/rare-puppers,0.8765663098249694
36,nateraw/vit-base-patch16-224-cifar10,0.8765637903134628
37,gatecitypreservation/architectural_styles,0.8765663307716173
38,Amrrs/south-indian-foods,0.8765663100628054
39,hafidber/fruits,0.8765663314402508
40,nateraw/rare-puppers-123,0.8765673358837931
41,Aftabhussain/Tomato_Leaf_Classifier,0.8765678347859854
42,nickmuchi/vit-base-xray-pneumonia,0.8765678855203576
43,Neto71/sea_mammals,0.8765673268814689
44,lewtun/oz-fauna,0.8765663116758373
45,hgarg/fruits,0.8765663265612512
46,jasmeen/dogs,0.8765673446859653
47,b25mayank3/shirt_identifier,0.8765668346172005
