,model,score
0,firebolt/llama_or_what2,0.94304377
1,nateraw/denver-nyc-paris,0.9705401
2,black/simple_kitchen,0.948437
3,Suzana/new-york-tokyo-london,0.97133374
4,filipafcastro/beer_vs_wine,0.9662258
5,nateraw/baked-goods,0.97173417
6,ajanco/greens,0.9769884
7,HHousen/household-rooms,0.95960534
8,Amrrs/indian-foods,0.97125155
9,nateraw/planes-trains-automobiles,0.96786284
10,julien-c/hotdog-not-hotdog,0.95130885
11,jmarshall/rare-puppers,0.96618
12,micole66/dwarf-goats,0.9650309
13,nateraw/ex-for-evan,0.973815
14,ferdinand/rare-puppers,0.96782774
15,ipvikas/rare-puppers,0.969179
16,Frodnar/bee-likes,0.9555431
17,nateraw/baseball-stadium-foods,0.9693574
18,Giuliano/places,0.96416765
19,firas-spanioli/beer-whisky-wine-detection,0.9755213
20,jjhoffstein/lotr,0.9757643
21,Nonem100/Test-Model,0.96411735
22,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.97155595
23,LorenzoDeMattei/lawn-weeds,0.9696641
24,nateraw/doggos-lol,0.9696641
25,Symbermine/rare-puppers,0.9707909
26,gatecitypreservation/architectural_styles,0.9731729
27,Amrrs/south-indian-foods,0.9754859
28,hafidber/fruits,0.9601171
29,nateraw/rare-puppers-123,0.9751605
30,Aftabhussain/Tomato_Leaf_Classifier,0.96856797
31,Neto71/sea_mammals,0.9733412
32,lewtun/oz-fauna,0.9730192
33,hgarg/fruits,0.97205657
34,jasmeen/dogs,0.96647376
35,b25mayank3/shirt_identifier,0.9720271
36,jeffboudier/vision-transformers-spain-or-italy-fan,0.95108545
37,godiec/diam,0.97270274
38,firebolt/llama_or_what,0.9618664
39,juanfiguera/ice_cream,0.97703016
40,drab/Infrastructures,0.9692572
41,Sena/dog,0.97207475
42,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9545142
43,hafidber/rare-puppers,0.969179
44,edixo/road_good_damaged_condition,0.95422125
45,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.96800464
46,Sena/flowers,0.96973103
47,johnnydevriese/vit-airplanes,0.96647376
48,nateraw/pasta-shapes,0.96644765
49,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.95362467
50,hgarg/indian-snacks,0.97118175
51,Hijazzi/rare-puppers,0.9737778
52,nateraw/trainer-rare-puppers,0.9724415
53,nateraw/rare-puppers-new-auth,0.9715808
54,nateraw/rare-puppers,0.97207475
55,iyzg/computer-stuff,0.9777687
56,nateraw/huggingpics-package-demo-2,0.96644765
57,nateraw/pasta-pizza-ravioli,0.9718421
58,nateraw/donut-or-bagel,0.9551434
59,nateraw/rare-puppers-09-04-2021,0.97550553
60,Zayn/VIT_Basic,0.9690548
61,driboune/skin_type,0.95341784
62,flyswot/test,0.69297177
63,nateraw/rare-puppers-demo,0.9657201
64,meame2010/rare-puppers,0.9502324
65,mmgyorke/vit-world-landmarks,0.9562963
66,AhmedSayeem/VIT_Basic,0.96889675
67,google/vit-base-patch16-224,0.9734659
68,IDEA-CCNL/Taiyi-vit-87M-D,0.95919025
69,facebook/deit-base-patch16-224,0.99439144
70,facebook/deit-base-distilled-patch16-224,0.9599595
71,mrm8488/data2vec-base-finetuned-imagenet1k,0.889083
72,facebook/convnext-base-224,0.9074601
73,facebook/convnext-small-224,0.88448733
74,microsoft/swin-base-patch4-window7-224,0.95673484
75,microsoft/beit-base-patch16-224,0.72920066
76,facebook/convnext-tiny-224,0.91919166
77,Visual-Attention-Network/van-small,0.83106714
78,WinKawaks/vit-small-patch16-224,0.9341367
79,facebook/deit-small-distilled-patch16-224,0.8991034
80,Visual-Attention-Network/van-base,0.8038121
81,facebook/deit-small-patch16-224,0.89080775
82,microsoft/swin-small-patch4-window7-224,0.8645773
83,Ahmed9275/ALL-3,0.85402554
84,facebook/convnext-large-224,0.8934138
85,WinKawaks/vit-tiny-patch16-224,0.53291494
86,Visual-Attention-Network/van-tiny,0.8005594
87,facebook/deit-tiny-distilled-patch16-224,0.8028384
88,Ahmed9275/ALL-test,0.7526677
89,facebook/deit-tiny-patch16-224,0.7057984
90,microsoft/swin-tiny-patch4-window7-224,0.885621
91,Visual-Attention-Network/van-large,0.77556705
92,google/vit-base-patch32-384,1.0016376
93,facebook/convnext-base-224-22k-1k,0.99125916
94,google/vit-large-patch32-384,0.9617901
95,microsoft/swin-large-patch4-window7-224,0.99216783
96,lysandre/tiny-vit-random,0.018562851
97,facebook/convnext-large-224-22k-1k,0.977385
98,facebook/convnext-base-384,0.9321296
99,microsoft/resnet-50,0.83790034
100,microsoft/beit-base-patch16-224-pt22k,0.47759748
101,microsoft/beit-large-patch16-224,0.4828865
102,google/vit-large-patch16-224,0.9529789
103,facebook/convnext-large-384,0.9116132
104,facebook/convnext-large-384-22k-1k,0.99032515
105,microsoft/beit-large-patch16-384,0.63644576
106,nielsr/convnext-xlarge-224-22k-1k,0.97999537
107,facebook/deit-base-patch16-384,0.96766144
108,google/vit-base-patch16-384,0.9817062
109,facebook/deit-base-distilled-patch16-384,0.93182087
110,microsoft/swin-large-patch4-window12-384,0.991377
111,facebook/convnext-xlarge-224-22k-1k,0.97999537
112,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9759427
113,karthiksv/vit-base-patch16-224-cifar10,0.9611697
114,nateraw/vit-base-patch16-224-cifar10,0.97169864
115,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9717196
116,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9760779
117,jadohu/BEiT-finetuned,0.6978485
118,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.97221226
119,nateraw/vit-base-beans-demo,0.94958955
120,nickmuchi/vit-base-beans,0.9622669
121,karthiksv/vit-base-beans,0.9683333
122,nateraw/vit-base-beans-demo-v3,0.9591353
123,johnnydevriese/vit_beans,0.9674681
124,nateraw/vit-base-beans-demo-v2,0.95847064
125,mmekias/vit-base-beans,0.9674681
126,nateraw/vit-base-beans,0.96687526
127,mrm8488/convnext-tiny-finetuned-beans,0.81693834
128,nielsr/vit-finetuned-eurosat-kornia,0.9797451
129,mrm8488/convnext-tiny-finetuned-eurosat,0.8603527
130,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.85877836
131,Calin/convnext-tiny-finteuned-eurosat,0.8895934
132,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.76010245
133,nielsr/convnext-tiny-finetuned-eurostat,0.88988316
134,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.77809656
135,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8131293
136,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7741166
137,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.82868606
138,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8036326
139,nielsr/convnext-tiny-finetuned-eurosat,0.8895934
140,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.80123335
141,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8297042
142,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8131293
143,nielsr/van-base-finetuned-eurosat-imgaug,0.7811592
144,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.77538174
145,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8272475
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7794513
147,eren23/pneumonia_test_attempt,0.961301
148,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.96307546
149,nickmuchi/vit-base-xray-pneumonia,0.93268204
150,facebook/convnext-base-224-22k,0.99738234
151,microsoft/swin-large-patch4-window7-224-in22k,0.99925995
152,microsoft/swin-base-patch4-window7-224-in22k,0.96626514
153,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7014802
154,facebook/convnext-large-224-22k,0.99654233
155,facebook/convnext-xlarge-224-22k,0.994099
156,microsoft/swin-base-patch4-window12-384-in22k,0.9847931
157,microsoft/beit-large-patch16-224-pt22k-ft22k,0.5944642
158,nielsr/convnext-xlarge-224-22k,0.98426056
159,nickmuchi/vit-finetuned-cats-dogs,0.9761506
160,ismgar01/vit-base-cats-vs-dogs,0.9459437
161,akahana/vit-base-cats-vs-dogs,0.94056904
162,nateraw/vit-base-cats-vs-dogs,0.931135
163,nateraw/test_model_a,-0.019993708
164,Rajaram1996/FacialEmoRecog,0.97654897
165,nateraw/vit-age-classifier,0.9546583
166,ibombonato/vit-age-classifier,0.9486893
167,ibombonato/swin-age-classifier,0.8373473
168,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9691046
169,Matthijs/snacks-classifier,0.8029819
170,nateraw/vit-base-food101,0.97832
171,eslamxm/vit-base-food101,0.9404146
172,SriramSridhar78/sriram-car-classifier,0.9573797
173,imjeffhi/pokemon_classifier,0.969917
174,AkshatSurolia/ViT-FaceMask-Finetuned,0.80195683
175,AkshatSurolia/BEiT-FaceMask-Finetuned,0.29789358
176,AkshatSurolia/DeiT-FaceMask-Finetuned,0.91706663
177,Ahmed9275/Vit-Cifar100,0.8956455
178,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.7996114
179,,0.87881434
180,,0.8789403
181,,0.87881434
182,,0.8788153
183,,0.8789403
184,,0.8788133
185,,0.8789431
186,,0.8789403
187,,0.8789431
188,,0.87896734
189,,0.8789766
190,,0.8789864
191,,0.8789766
192,,0.8789431
193,,0.8789431
194,,0.8789766
195,,0.87881434
196,,0.87896734
197,,0.8789403
198,,0.8789431
199,,0.8789864
200,,0.8789431
201,,0.8789431
202,,0.8789431
203,,0.87896734
204,,0.8789766
205,,0.87881434
206,,0.8789431
207,,0.8789766
208,,0.8788153
209,,0.8789431
210,,0.8789431
211,,0.8788153
212,,0.8789766
213,,0.8788153
214,,0.8789431
215,,0.8789403
216,,0.8789431
217,,0.87881434
218,,0.87881434
219,,0.8789403
220,,0.8789403
221,,0.8789431
222,,0.8789431
223,,0.8789431
224,,0.8789431
225,,0.8789431
226,,0.8789403
227,,0.8789431
228,,0.8789864
229,,0.8789403
230,,0.87869805
231,,0.87884295
232,,0.8793551
233,,0.8789083
234,,0.88116777
235,,0.87899375
236,,0.87897694
237,,0.8789499
238,,0.8789499
