,model,score
0,Rajaram1996/FacialEmoRecog,0.6704662
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.64479065
2,Matthijs/snacks-classifier,0.57931197
3,ibombonato/vit-age-classifier,0.67124104
4,ibombonato/swin-age-classifier,0.59836125
5,nateraw/vit-age-classifier,0.6736556
6,mmekias/vit-base-beans,0.67519766
7,mrm8488/convnext-tiny-finetuned-beans,0.66128856
8,karthiksv/vit-base-beans,0.6776266
9,johnnydevriese/vit_beans,0.6609871
10,nateraw/vit-base-beans,0.6678824
11,nateraw/vit-base-beans-demo-v3,0.669702
12,nateraw/vit-base-beans-demo-v2,0.6577731
13,nickmuchi/vit-base-beans,0.659049
14,nateraw/vit-base-beans-demo,0.6653037
15,ismgar01/vit-base-cats-vs-dogs,0.6479985
16,nickmuchi/vit-finetuned-cats-dogs,0.66633964
17,nateraw/vit-base-cats-vs-dogs,0.6462952
18,nateraw/test_model_a,0.03132773
19,akahana/vit-base-cats-vs-dogs,0.66238374
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.6729031
21,eren23/pneumonia_test_attempt,0.66657245
22,nickmuchi/vit-base-xray-pneumonia,0.6229815
23,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.6927134
24,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.69398534
25,nateraw/vit-base-patch16-224-cifar10,0.6899025
26,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.686675
27,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.6938112
28,karthiksv/vit-base-patch16-224-cifar10,0.6779782
29,jadohu/BEiT-finetuned,0.34610185
30,Ahmed9275/Vit-Cifar100,0.49364194
31,mrm8488/convnext-tiny-finetuned-eurosat,0.654473
32,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.66292083
33,Calin/convnext-tiny-finteuned-eurosat,0.7165284
34,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.6291756
35,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.59115654
36,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.64582866
37,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6308002
38,nielsr/convnext-tiny-finetuned-eurosat,0.7058644
39,nielsr/convnext-tiny-finetuned-eurostat,0.702152
40,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6453089
41,nielsr/vit-finetuned-eurosat-kornia,0.6742205
42,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5751456
