,model,score
0,Rajaram1996/FacialEmoRecog,0.6774999
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.6704066
2,Matthijs/snacks-classifier,0.6460723
3,ibombonato/vit-age-classifier,0.66202146
4,ibombonato/swin-age-classifier,0.6536719
5,nateraw/vit-age-classifier,0.6642026
6,mrm8488/convnext-tiny-finetuned-beans,0.7419003
7,johnnydevriese/vit_beans,0.66995764
8,nateraw/vit-base-beans,0.6727984
9,nickmuchi/vit-base-beans,0.67032415
10,nateraw/vit-base-beans-demo,0.67429477
11,ismgar01/vit-base-cats-vs-dogs,0.6467093
12,nateraw/vit-base-cats-vs-dogs,0.6584761
13,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.6825818
14,nickmuchi/vit-base-xray-pneumonia,0.6389196
15,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.6731237
16,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.6815769
17,Ahmed9275/Vit-Cifar100,0.4988454
18,mrm8488/convnext-tiny-finetuned-eurosat,0.70971614
19,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7085858
20,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6336345
21,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.64972264
22,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.64030313
23,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6629427
24,nateraw/vit-base-food101,0.6812612
25,eslamxm/vit-base-food101,0.48801258
26,nateraw/rare-puppers-09-04-2021,0.6750503
27,nateraw/pasta-pizza-ravioli,0.6840283
28,firas-spanioli/beer-whisky-wine-detection,0.6886799
29,nateraw/donut-or-bagel,0.6725515
30,jeffboudier/vision-transformers-spain-or-italy-fan,0.64931744
31,Suzana/new-york-tokyo-london,0.67136544
32,Sena/flowers,0.6757327
33,Zayn/VIT_Basic,0.6672607
34,firebolt/llama_or_what,0.67388886
35,hafidber/rare-puppers,0.66554534
36,ipvikas/rare-puppers,0.6831603
37,juanfiguera/ice_cream,0.67903507
38,ferdinand/rare-puppers,0.6634684
39,lewtun/oz-fauna,0.678767
40,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.6711231
41,nateraw/baked-goods,0.67628264
42,hafidber/fruits,0.6826239
43,nateraw/rare-puppers-demo,0.5176007
44,Aftabhussain/Tomato_Leaf_Classifier,0.68317646
45,Amrrs/south-indian-foods,0.6773374
46,Amrrs/indian-foods,0.67382884
47,nateraw/rare-puppers-123,0.68457544
48,Nonem100/Test-Model,0.66313505
49,jasmeen/dogs,0.68573165
50,HHousen/household-rooms,0.6784563
51,AhmedSayeem/VIT_Basic,0.6732074
52,edixo/road_good_damaged_condition,0.68482924
53,firebolt/llama_or_what2,0.6668127
54,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.6728768
55,nateraw/planes-trains-automobiles,0.68304014
56,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.6539922
57,johnnydevriese/vit-airplanes,0.68738085
58,nateraw/denver-nyc-paris,0.671268
59,facebook/deit-small-distilled-patch16-224,0.693129
60,facebook/convnext-base-224,0.66684973
61,facebook/deit-base-patch16-224,0.71719545
62,IDEA-CCNL/Taiyi-vit-87M-D,0.70585465
63,google/vit-large-patch16-224,0.63839734
64,google/vit-base-patch16-384,0.8488328
65,facebook/deit-small-patch16-224,0.6287158
66,microsoft/swin-large-patch4-window7-224,0.8022183
67,microsoft/swin-tiny-patch4-window7-224,0.6855775
68,Ahmed9275/ALL-3,0.6598802
69,facebook/deit-tiny-distilled-patch16-224,0.44367328
70,WinKawaks/vit-tiny-patch16-224,0.29288903
71,lysandre/tiny-vit-random,0.03503449
72,Visual-Attention-Network/van-large,0.6116605
73,mrm8488/data2vec-base-finetuned-imagenet1k,0.5385286
74,microsoft/beit-base-patch16-224-pt22k,0.21545346
75,Visual-Attention-Network/van-tiny,0.5991969
76,google/vit-large-patch32-384,0.7246561
77,facebook/convnext-large-384-22k-1k,0.8416992
78,microsoft/swin-large-patch4-window12-384,0.84096664
79,microsoft/beit-large-patch16-384,0.15982051
80,microsoft/resnet-50,0.49548635
81,microsoft/beit-large-patch16-224,0.12141776
82,nielsr/convnext-xlarge-224-22k-1k,0.8393298
83,microsoft/swin-large-patch4-window7-224-in22k,0.81409836
84,facebook/convnext-base-224-22k,0.79216075
85,facebook/convnext-large-224-22k,0.81229603
86,imjeffhi/pokemon_classifier,0.6402712
87,AkshatSurolia/DeiT-FaceMask-Finetuned,0.67648023
88,AkshatSurolia/BEiT-FaceMask-Finetuned,0.11397869
89,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.7235605
