,model,score
0,matteopilotto/vit-base-patch16-224-in21k-snacks,0.6751338
1,Matthijs/snacks-classifier,0.59805477
2,ibombonato/vit-age-classifier,0.67512786
3,mrm8488/convnext-tiny-finetuned-beans,0.7097692
4,karthiksv/vit-base-beans,0.6814475
5,nateraw/vit-base-beans-demo-v3,0.6649311
6,nateraw/vit-base-beans-demo-v2,0.6375722
7,nickmuchi/vit-base-beans,0.6539346
8,nateraw/vit-base-beans-demo,0.637082
9,ismgar01/vit-base-cats-vs-dogs,0.6467016
10,nickmuchi/vit-finetuned-cats-dogs,0.69039816
11,nateraw/vit-base-cats-vs-dogs,0.66349757
12,nateraw/test_model_a,0.04009939
13,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.6662411
14,eren23/pneumonia_test_attempt,0.663231
15,nickmuchi/vit-base-xray-pneumonia,0.5962937
16,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.689504
17,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.69046336
18,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.6994897
19,karthiksv/vit-base-patch16-224-cifar10,0.6743878
20,jadohu/BEiT-finetuned,0.3944642
21,Ahmed9275/Vit-Cifar100,0.519667
22,mrm8488/convnext-tiny-finetuned-eurosat,0.6658955
23,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.69194186
24,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.5993808
25,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5819061
26,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.63667434
27,nielsr/convnext-tiny-finetuned-eurosat,0.65722096
28,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6208058
29,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.577995
30,nielsr/van-base-finetuned-eurosat-imgaug,0.6455682
31,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5863218
32,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6200759
33,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.62342703
34,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.59603155
35,firas-spanioli/beer-whisky-wine-detection,0.69560754
36,nateraw/donut-or-bagel,0.68486476
37,micole66/dwarf-goats,0.6705946
38,nateraw/pasta-shapes,0.67617595
39,Symbermine/rare-puppers,0.67244333
40,jeffboudier/vision-transformers-spain-or-italy-fan,0.6651594
41,Suzana/new-york-tokyo-london,0.672463
42,Hijazzi/rare-puppers,0.6779886
43,Sena/flowers,0.6591708
44,Zayn/VIT_Basic,0.6797322
45,Neto71/sea_mammals,0.67767984
46,b25mayank3/shirt_identifier,0.6790285
47,firebolt/llama_or_what,0.6447696
48,Sena/dog,0.6888158
49,hafidber/rare-puppers,0.6808586
50,juanfiguera/ice_cream,0.6840535
51,driboune/skin_type,0.67276776
52,ferdinand/rare-puppers,0.6585386
53,LorenzoDeMattei/lawn-weeds,0.6778887
54,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.6675681
55,hgarg/indian-snacks,0.67561394
56,nateraw/baked-goods,0.6775617
57,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.6846924
58,hafidber/fruits,0.6779649
59,nateraw/rare-puppers-demo,0.4713462
60,jmarshall/rare-puppers,0.6699491
61,nateraw/ex-for-evan,0.68629026
