,model,score
0,firebolt/llama_or_what2,0.9345048
1,google/vit-base-patch16-224,0.95184195
2,nateraw/denver-nyc-paris,0.9407097
3,black/simple_kitchen,0.9424787
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.94048256
5,Suzana/new-york-tokyo-london,0.94693655
6,filipafcastro/beer_vs_wine,0.96877587
7,nateraw/baked-goods,0.94079465
8,ajanco/greens,0.9716496
9,nateraw/vit-base-beans-demo,0.93084466
10,HHousen/household-rooms,0.93045
11,Amrrs/indian-foods,0.9295544
12,nateraw/planes-trains-automobiles,0.9671556
13,julien-c/hotdog-not-hotdog,0.930369
14,jmarshall/rare-puppers,0.93189985
15,nielsr/vit-finetuned-eurosat-kornia,0.8959253
16,eren23/pneumonia_test_attempt,0.9384593
17,micole66/dwarf-goats,0.96864456
18,nateraw/ex-for-evan,0.9360362
19,karthiksv/vit-base-patch16-224-cifar10,0.94790477
20,ferdinand/rare-puppers,0.9507862
21,ipvikas/rare-puppers,0.92880094
22,Frodnar/bee-likes,0.9345624
23,nickmuchi/vit-base-beans,0.9193078
24,nateraw/baseball-stadium-foods,0.946938
25,Giuliano/places,0.9682027
26,firas-spanioli/beer-whisky-wine-detection,0.96537185
27,jjhoffstein/lotr,0.9237819
28,Nonem100/Test-Model,0.9520091
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9348726
30,LorenzoDeMattei/lawn-weeds,0.94389355
31,nateraw/doggos-lol,0.9272991
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9348461
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.93895763
34,karthiksv/vit-base-beans,0.9638596
35,Symbermine/rare-puppers,0.9531558
36,nateraw/vit-base-patch16-224-cifar10,0.9454912
37,gatecitypreservation/architectural_styles,0.94066143
38,Amrrs/south-indian-foods,0.9583975
39,hafidber/fruits,0.94469637
40,nateraw/rare-puppers-123,0.94921935
41,Aftabhussain/Tomato_Leaf_Classifier,0.954451
42,nickmuchi/vit-base-xray-pneumonia,0.92788976
43,Neto71/sea_mammals,0.966026
44,lewtun/oz-fauna,0.96205986
45,hgarg/fruits,0.9236854
46,jasmeen/dogs,0.9480073
47,b25mayank3/shirt_identifier,0.9349315
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.91778046
49,facebook/convnext-base-224-22k,0.96079946
50,nickmuchi/vit-finetuned-cats-dogs,0.9452879
51,godiec/diam,0.9250814
52,Rajaram1996/FacialEmoRecog,0.9522689
53,nateraw/vit-base-beans-demo-v3,0.9511119
54,firebolt/llama_or_what,0.93532723
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9352477
56,johnnydevriese/vit_beans,0.9147524
57,nateraw/vit-age-classifier,0.92163783
58,nateraw/vit-base-beans-demo-v2,0.94653714
59,mmekias/vit-base-beans,0.9471174
60,juanfiguera/ice_cream,0.97089034
61,drab/Infrastructures,0.93795127
62,nateraw/vit-base-beans,0.9211934
63,Sena/dog,0.94227594
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9232741
65,hafidber/rare-puppers,0.9455502
66,edixo/road_good_damaged_condition,0.91852194
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.93842673
68,Sena/flowers,0.97768456
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9274719
70,johnnydevriese/vit-airplanes,0.89671713
71,nateraw/pasta-shapes,0.9381636
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.93831575
73,hgarg/indian-snacks,0.95808536
74,nateraw/vit-base-food101,0.93692976
75,Hijazzi/rare-puppers,0.94175065
76,nateraw/trainer-rare-puppers,0.89647305
77,ibombonato/vit-age-classifier,0.8962604
78,nateraw/rare-puppers-new-auth,0.9400228
79,SriramSridhar78/sriram-car-classifier,0.9300763
80,ismgar01/vit-base-cats-vs-dogs,0.92881876
81,nateraw/rare-puppers,0.95900273
82,iyzg/computer-stuff,0.94802195
83,nateraw/huggingpics-package-demo-2,0.93486106
84,imjeffhi/pokemon_classifier,0.92399526
85,nateraw/pasta-pizza-ravioli,0.9687261
86,akahana/vit-base-cats-vs-dogs,0.94220716
87,nateraw/donut-or-bagel,0.9378569
88,nateraw/rare-puppers-09-04-2021,0.93208426
89,nateraw/vit-base-cats-vs-dogs,0.9362546
90,Zayn/VIT_Basic,0.93091136
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.9395482
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.86794573
