,model,score
0,firebolt/llama_or_what2,0.9656744
1,google/vit-base-patch16-224,0.9728182
2,nateraw/denver-nyc-paris,0.97295773
3,black/simple_kitchen,0.96410555
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9807197
5,Suzana/new-york-tokyo-london,0.97016805
6,filipafcastro/beer_vs_wine,0.9673557
7,nateraw/baked-goods,0.9710156
8,ajanco/greens,0.9836398
9,nateraw/vit-base-beans-demo,0.96281517
10,HHousen/household-rooms,0.97829
11,Amrrs/indian-foods,0.9748077
12,nateraw/planes-trains-automobiles,0.96868724
13,julien-c/hotdog-not-hotdog,0.9701974
14,jmarshall/rare-puppers,0.96614116
15,nielsr/vit-finetuned-eurosat-kornia,0.9713206
16,eren23/pneumonia_test_attempt,0.95811635
17,micole66/dwarf-goats,0.97121906
18,nateraw/ex-for-evan,0.96382636
19,karthiksv/vit-base-patch16-224-cifar10,0.96783113
20,ferdinand/rare-puppers,0.962199
21,ipvikas/rare-puppers,0.94932115
22,Frodnar/bee-likes,0.96588343
23,nickmuchi/vit-base-beans,0.96228063
24,nateraw/baseball-stadium-foods,0.97156924
25,Giuliano/places,0.9624795
26,firas-spanioli/beer-whisky-wine-detection,0.97013795
27,jjhoffstein/lotr,0.95833534
28,Nonem100/Test-Model,0.97825783
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.97091925
30,LorenzoDeMattei/lawn-weeds,0.9758256
31,nateraw/doggos-lol,0.9758256
32,IDEA-CCNL/Taiyi-vit-87M-D,0.94829637
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9513037
34,karthiksv/vit-base-beans,0.9589447
35,Symbermine/rare-puppers,0.9813356
36,nateraw/vit-base-patch16-224-cifar10,0.97121483
37,gatecitypreservation/architectural_styles,0.9754009
38,Amrrs/south-indian-foods,0.9818062
39,hafidber/fruits,0.97311056
40,nateraw/rare-puppers-123,0.96111995
41,Aftabhussain/Tomato_Leaf_Classifier,0.97200394
42,nickmuchi/vit-base-xray-pneumonia,0.95777553
43,Neto71/sea_mammals,0.97319293
44,lewtun/oz-fauna,0.9844826
45,hgarg/fruits,0.9756583
46,jasmeen/dogs,0.96596175
47,b25mayank3/shirt_identifier,0.9714513
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.94431984
49,facebook/convnext-base-224-22k,0.98349386
50,nickmuchi/vit-finetuned-cats-dogs,0.97439486
51,godiec/diam,0.96347874
52,Rajaram1996/FacialEmoRecog,0.96946776
53,nateraw/vit-base-beans-demo-v3,0.96021414
54,firebolt/llama_or_what,0.96159214
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9762517
56,johnnydevriese/vit_beans,0.9628142
57,nateraw/vit-age-classifier,0.9549642
58,nateraw/vit-base-beans-demo-v2,0.95446926
59,mmekias/vit-base-beans,0.9628142
60,juanfiguera/ice_cream,0.96892834
61,drab/Infrastructures,0.9660168
62,nateraw/vit-base-beans,0.95515126
63,Sena/dog,0.94436795
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9577601
65,hafidber/rare-puppers,0.94932115
66,edixo/road_good_damaged_condition,0.93980557
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9596326
68,Sena/flowers,0.97906244
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9660002
70,johnnydevriese/vit-airplanes,0.96596175
71,nateraw/pasta-shapes,0.96702814
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.96501714
73,hgarg/indian-snacks,0.9762156
74,nateraw/vit-base-food101,0.971519
75,Hijazzi/rare-puppers,0.9679033
76,nateraw/trainer-rare-puppers,0.9594912
77,ibombonato/vit-age-classifier,0.8982976
78,nateraw/rare-puppers-new-auth,0.96876574
79,SriramSridhar78/sriram-car-classifier,0.95205826
80,ismgar01/vit-base-cats-vs-dogs,0.959141
81,nateraw/rare-puppers,0.94436795
82,iyzg/computer-stuff,0.97625154
83,nateraw/huggingpics-package-demo-2,0.9659088
84,imjeffhi/pokemon_classifier,0.9550108
85,nateraw/pasta-pizza-ravioli,0.9700207
86,akahana/vit-base-cats-vs-dogs,0.95415205
87,nateraw/donut-or-bagel,0.96555364
88,nateraw/rare-puppers-09-04-2021,0.97405416
89,nateraw/vit-base-cats-vs-dogs,0.96206164
90,Zayn/VIT_Basic,0.9711414
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.96670496
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.7538071
93,microsoft/swin-large-patch4-window7-224-in22k,0.97653735
94,Ahmed9275/Vit-Cifar100,0.95485574
95,driboune/skin_type,0.94271487
96,microsoft/swin-base-patch4-window7-224-in22k,0.9711974
97,facebook/deit-base-patch16-224,0.96416754
98,facebook/deit-base-distilled-patch16-224,0.93674165
99,eslamxm/vit-base-food101,0.9565082
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.89729506
101,facebook/convnext-base-224,0.83871883
102,facebook/convnext-small-224,0.91859686
103,microsoft/swin-base-patch4-window7-224,0.842049
104,microsoft/beit-base-patch16-224,0.5896882
105,mrm8488/convnext-tiny-finetuned-eurosat,0.908352
106,mrm8488/convnext-tiny-finetuned-beans,0.8273148
107,facebook/convnext-tiny-224,0.8714728
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.89401186
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8321331
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.84627706
111,Calin/convnext-tiny-finteuned-eurosat,0.878454
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7860842
113,Visual-Attention-Network/van-small,0.84138864
114,WinKawaks/vit-small-patch16-224,0.69451636
115,facebook/deit-small-distilled-patch16-224,0.8708315
116,Visual-Attention-Network/van-base,0.83144665
117,jadohu/BEiT-finetuned,0.57635635
118,nielsr/convnext-tiny-finetuned-eurostat,0.8826073
119,facebook/deit-small-patch16-224,0.88691556
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.84703463
121,microsoft/swin-small-patch4-window7-224,0.8939854
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8000527
123,Ahmed9275/ALL-3,0.80800354
124,facebook/convnext-large-224,0.8488531
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8433084
126,WinKawaks/vit-tiny-patch16-224,0.5863713
127,Visual-Attention-Network/van-tiny,0.8947738
