,model,score
0,google/vit-base-patch16-224,0.872599539251138
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8663228252654194
2,facebook/deit-base-patch16-224,0.8560811110512623
3,facebook/deit-base-distilled-patch16-224,0.8736775318069008
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8340860742711721
5,facebook/convnext-base-224,0.9340756632974107
6,facebook/convnext-small-224,0.9290175569110699
7,microsoft/swin-base-patch4-window7-224,0.9069938142774766
8,microsoft/beit-base-patch16-224,0.6278286788485918
9,facebook/convnext-tiny-224,0.8607067109869865
10,Visual-Attention-Network/van-small,0.8600262889177709
11,WinKawaks/vit-small-patch16-224,0.8116160685896738
12,facebook/deit-small-distilled-patch16-224,0.8648457476648509
13,Visual-Attention-Network/van-base,0.840375434343727
14,facebook/deit-small-patch16-224,0.8681137788722566
15,microsoft/swin-small-patch4-window7-224,0.908623729700566
16,Ahmed9275/ALL-3,0.9112116115453806
17,facebook/convnext-large-224,0.9403425735200305
18,WinKawaks/vit-tiny-patch16-224,0.8169981870931208
19,Visual-Attention-Network/van-tiny,0.881284430950466
20,facebook/deit-tiny-distilled-patch16-224,0.7231961998320678
21,Ahmed9275/ALL-test,0.91200157931676
22,facebook/deit-tiny-patch16-224,0.7384032692773288
23,microsoft/swin-tiny-patch4-window7-224,0.9120151261413619
24,Visual-Attention-Network/van-large,0.8634764601879965
25,google/vit-base-patch32-384,0.8441981959903291
26,facebook/convnext-base-224-22k-1k,0.9281691341201981
27,google/vit-large-patch32-384,0.8749650726626442
28,microsoft/swin-large-patch4-window7-224,0.8871310121945745
29,lysandre/tiny-vit-random,0.13227877415845368
30,facebook/convnext-large-224-22k-1k,0.9141897135956106
31,facebook/convnext-base-384,0.9149887115262886
32,microsoft/resnet-50,0.8663659646818861
33,microsoft/beit-base-patch16-224-pt22k,0.3764286075851868
34,microsoft/beit-large-patch16-224,0.6081569631253899
35,google/vit-large-patch16-224,0.8905554576496753
36,facebook/convnext-large-384,0.942304036259997
37,facebook/convnext-large-384-22k-1k,0.9487115639433874
38,nielsr/convnext-xlarge-224-22k-1k,0.9154406539165005
39,facebook/deit-base-patch16-384,0.9008575000649872
40,google/vit-base-patch16-384,0.9023566546580708
41,facebook/deit-base-distilled-patch16-384,0.9145618997788165
42,facebook/convnext-xlarge-224-22k-1k,0.9276090159008521
43,microsoft/beit-large-patch16-384,0.9458343610586682
44,microsoft/swin-large-patch4-window12-384,0.9991763141524254
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8732717896199327
46,karthiksv/vit-base-patch16-224-cifar10,0.8883146985446906
47,nateraw/vit-base-patch16-224-cifar10,0.8780064942338148
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.881047925033449
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8778182622911959
50,jadohu/BEiT-finetuned,0.8370034295232153
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8155315907024931
52,nateraw/vit-base-beans-demo,0.8935640579831937
53,nickmuchi/vit-base-beans,0.8676886475898589
54,karthiksv/vit-base-beans,0.8817069627243821
55,nateraw/vit-base-beans-demo-v3,0.8853978310028763
56,johnnydevriese/vit_beans,0.8883440025351553
57,nateraw/vit-base-beans-demo-v2,0.8681610973777026
58,mmekias/vit-base-beans,0.8813147904654116
59,nateraw/vit-base-beans,0.8982881933780185
60,mrm8488/convnext-tiny-finetuned-beans,0.9096253761182855
61,nielsr/vit-finetuned-eurosat-kornia,0.8471799789575338
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8567394338689255
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8536642956580587
64,Calin/convnext-tiny-finteuned-eurosat,0.8676768252971029
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8554499830339863
66,nielsr/convnext-tiny-finetuned-eurostat,0.8554442633153712
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8445692254266781
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8473720586538209
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.853629559416529
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8508250842059983
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8525349649511712
72,nielsr/convnext-tiny-finetuned-eurosat,0.8588404085452566
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8470525438761835
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8424985759729577
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8474215673260137
76,nielsr/van-base-finetuned-eurosat-imgaug,0.804596708274955
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8471880321139749
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8472395045455272
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8477321610260998
80,eren23/pneumonia_test_attempt,0.8565451080091504
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8592636468993211
82,nickmuchi/vit-base-xray-pneumonia,0.8145201033372451
83,facebook/convnext-base-224-22k,0.9036381958235365
84,microsoft/swin-large-patch4-window7-224-in22k,0.877679026133328
85,microsoft/swin-base-patch4-window7-224-in22k,0.900130058159232
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8799386538240024
87,facebook/convnext-large-224-22k,0.9227138645748009
88,facebook/convnext-xlarge-224-22k,0.9102742088901692
89,microsoft/swin-base-patch4-window12-384-in22k,0.9042038334388107
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8407341105427231
91,nielsr/convnext-xlarge-224-22k,0.9145386944746132
92,nickmuchi/vit-finetuned-cats-dogs,0.8412809138616759
93,ismgar01/vit-base-cats-vs-dogs,0.8414665653580753
94,akahana/vit-base-cats-vs-dogs,0.8348471311098119
