,model,score
0,Rajaram1996/FacialEmoRecog,2.514857087933658
1,matteopilotto/vit-base-patch16-224-in21k-snacks,2.4934976614627744
2,Matthijs/snacks-classifier,2.463894588316621
3,ibombonato/vit-age-classifier,2.5324213271237985
4,nateraw/vit-age-classifier,2.4753757899774387
5,ibombonato/swin-age-classifier,2.509366117865829
6,mmekias/vit-base-beans,2.486528097449739
7,karthiksv/vit-base-beans,2.537130774961284
8,nateraw/vit-base-beans,2.5104982787511134
9,johnnydevriese/vit_beans,2.5371348765203727
10,nickmuchi/vit-base-beans,2.513557139364403
11,nateraw/vit-base-beans-demo,2.5157051798955288
12,nateraw/vit-base-beans-demo-v3,2.561807239728565
13,mrm8488/convnext-tiny-finetuned-beans,2.525055874810004
14,nateraw/vit-base-beans-demo-v2,2.5622576223443403
15,nateraw/vit-base-cats-vs-dogs,2.457387119468245
16,nickmuchi/vit-finetuned-cats-dogs,2.4874487514604624
17,ismgar01/vit-base-cats-vs-dogs,2.448101191535038
18,akahana/vit-base-cats-vs-dogs,2.420941084606689
19,nateraw/test_model_a,2.049167663052026
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,2.449154341302672
21,eren23/pneumonia_test_attempt,2.4819055554042695
22,nickmuchi/vit-base-xray-pneumonia,2.5382545864360653
23,nateraw/vit-base-patch16-224-cifar10,2.534071884952822
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,2.538477394161378
25,karthiksv/vit-base-patch16-224-cifar10,2.5503674770053624
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,2.524636564440429
27,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,2.494203462753575
28,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,2.5543986611281615
29,jadohu/BEiT-finetuned,2.314529979785225
30,Ahmed9275/Vit-Cifar100,2.578736507914426
31,nielsr/vit-finetuned-eurosat-kornia,2.5049422228753415
32,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,2.510829851363527
33,Calin/convnext-tiny-finteuned-eurosat,2.515946640343146
34,mrm8488/convnext-tiny-finetuned-eurosat,2.5364821548286285
35,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,2.5175695135087848
36,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,2.561178409723299
37,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,2.4891175077471286
38,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,2.510056969502486
39,nielsr/convnext-tiny-finetuned-eurosat,2.5252444855928466
40,nielsr/convnext-tiny-finetuned-eurostat,2.529227219557368
41,nielsr/van-base-finetuned-eurosat-imgaug,2.5537411770511667
42,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,2.5200341269786346
43,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,2.5215909099799863
44,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,2.5048450395658155
45,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,2.557489794540447
46,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,2.5127415138766818
47,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,2.5122392295685168
48,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,2.540892889338076
49,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,2.556083823068066
50,nateraw/vit-base-food101,2.5521925779449575
51,eslamxm/vit-base-food101,2.474008304362216
52,nateraw/rare-puppers-09-04-2021,2.6372556625510875
53,nateraw/donut-or-bagel,2.5338514153570793
54,nateraw/huggingpics-package-demo-2,2.502867662636067
55,nateraw/pasta-shapes,2.5491366728551266
56,nateraw/pasta-pizza-ravioli,2.530923320748432
57,driboune/skin_type,2.5316638432101506
58,jmarshall/rare-puppers,2.518518980696893
59,firas-spanioli/beer-whisky-wine-detection,2.549903118914956
60,b25mayank3/shirt_identifier,2.514804994634625
61,Zayn/VIT_Basic,2.5259787985404465
62,jjhoffstein/lotr,2.518380641438976
63,AykeeSalazar/vc-bantai-vit-withoutAMBI,2.5570885567118364
64,juanfiguera/ice_cream,2.5324526621759964
65,nateraw/rare-puppers-123,2.5292046660980487
66,micole66/dwarf-goats,2.550913520516314
67,nateraw/baked-goods,2.526620144520023
68,nateraw/rare-puppers-new-auth,2.582420011044889
69,hafidber/rare-puppers,2.5613106337565745
70,HHousen/household-rooms,2.48968225259214
71,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,2.522699438819167
72,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,2.523457507333217
73,Suzana/new-york-tokyo-london,2.436664259865296
74,nateraw/rare-puppers-demo,2.4828728587656164
75,Sena/dog,2.558468305122247
76,Neto71/sea_mammals,2.5011928752290027
77,Symbermine/rare-puppers,2.481274181324068
78,hgarg/indian-snacks,2.5238447707251446
79,Hijazzi/rare-puppers,2.517768909860849
80,Amrrs/indian-foods,2.518104008217983
81,filipafcastro/beer_vs_wine,2.499600052254237
82,jeffboudier/vision-transformers-spain-or-italy-fan,2.4685646308901887
83,ferdinand/rare-puppers,2.520718757938652
84,black/simple_kitchen,2.4798966027813245
85,drab/Infrastructures,2.557372607033026
86,firebolt/llama_or_what,2.464521615640285
87,ajanco/greens,2.535782395415043
88,Frodnar/bee-likes,2.5009827072985362
89,mmgyorke/vit-world-landmarks,2.535101115179321
90,nateraw/doggos-lol,2.4477963119497437
91,nateraw/ex-for-evan,2.5142178424414143
92,Amrrs/south-indian-foods,2.5179299474573025
93,Sena/flowers,2.5055537582553917
94,Giuliano/places,2.496357430276192
95,gatecitypreservation/architectural_styles,2.5075098261085964
96,nateraw/baseball-stadium-foods,2.5215850517738576
97,lewtun/oz-fauna,2.5258670635867624
98,meame2010/rare-puppers,2.540850067200777
99,LorenzoDeMattei/lawn-weeds,2.544890846920424
100,hafidber/fruits,2.536407838012254
101,nateraw/trainer-rare-puppers,2.46945157415878
102,godiec/diam,2.49337594644228
103,hgarg/fruits,2.518088548569909
104,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,2.5170619564920726
105,Nonem100/Test-Model,2.5013294691921217
106,johnnydevriese/vit-airplanes,2.561591284784063
107,AhmedSayeem/VIT_Basic,2.505578451222482
108,iyzg/computer-stuff,2.511720744850207
109,flyswot/test,2.4061019373124353
110,nateraw/planes-trains-automobiles,2.5024514242453724
111,Aftabhussain/Tomato_Leaf_Classifier,2.5102397296147805
112,edixo/road_good_damaged_condition,2.524099057777525
113,firebolt/llama_or_what2,2.502835146358846
114,ipvikas/rare-puppers,2.522310939562205
115,jasmeen/dogs,2.503914297781046
116,julien-c/hotdog-not-hotdog,2.5045387603919336
117,nateraw/denver-nyc-paris,2.5121996174723638
118,nateraw/rare-puppers,2.5159916247510345
119,IDEA-CCNL/Taiyi-vit-87M-D,2.5534286044627983
120,google/vit-base-patch32-384,2.5539850554289893
121,WinKawaks/vit-small-patch16-224,2.3630758130631757
122,google/vit-base-patch16-224,2.467933088553188
123,microsoft/swin-large-patch4-window7-224,2.5196518519751105
124,facebook/deit-base-distilled-patch16-224,2.577883771671862
125,facebook/deit-base-patch16-224,2.5533737706942627
126,facebook/deit-small-distilled-patch16-224,2.5608334305230933
127,Ahmed9275/ALL-test,2.476441850231648
128,facebook/deit-small-patch16-224,2.499118548177101
129,facebook/deit-tiny-distilled-patch16-224,2.437999466541045
130,microsoft/swin-tiny-patch4-window7-224,2.550263112642405
131,Visual-Attention-Network/van-base,2.5439624990546235
132,facebook/convnext-tiny-224,2.5652362697482523
133,facebook/deit-tiny-patch16-224,2.4136575028414087
134,facebook/convnext-base-224,2.58101230320829
135,facebook/convnext-large-224,2.550719895181253
