,model,score
0,Rajaram1996/FacialEmoRecog,-60.443859646012434
1,matteopilotto/vit-base-patch16-224-in21k-snacks,-60.41444959129696
2,Matthijs/snacks-classifier,-60.41809806649417
3,ibombonato/vit-age-classifier,-60.45068644261032
4,nateraw/vit-age-classifier,-60.429922115664944
5,ibombonato/swin-age-classifier,-60.417008834331696
6,mmekias/vit-base-beans,-60.37012272695394
7,karthiksv/vit-base-beans,-60.370120689090115
8,nateraw/vit-base-beans,-60.4149033287419
9,johnnydevriese/vit_beans,-60.390877641223554
10,nickmuchi/vit-base-beans,-60.4191077052519
11,nateraw/vit-base-beans-demo,-60.40061850209888
12,nateraw/vit-base-beans-demo-v3,-60.43352919083898
13,mrm8488/convnext-tiny-finetuned-beans,-60.40152069209843
14,nateraw/vit-base-beans-demo-v2,-60.46184208326724
15,nateraw/vit-base-cats-vs-dogs,-60.45577566118683
16,nickmuchi/vit-finetuned-cats-dogs,-60.4110208035477
17,ismgar01/vit-base-cats-vs-dogs,-60.41108520287009
18,akahana/vit-base-cats-vs-dogs,-60.51405707945006
19,nateraw/test_model_a,-60.87972512757709
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,-60.357641551438576
21,eren23/pneumonia_test_attempt,-60.394267959443404
22,nickmuchi/vit-base-xray-pneumonia,-60.35034875065755
23,nateraw/vit-base-patch16-224-cifar10,-60.3724273590598
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,-60.37748539348959
25,karthiksv/vit-base-patch16-224-cifar10,-60.38619592670075
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-60.38076208924507
27,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-60.529821906937755
28,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-60.422170879611144
29,jadohu/BEiT-finetuned,-60.578818829792425
30,Ahmed9275/Vit-Cifar100,-60.45800600773051
31,nielsr/vit-finetuned-eurosat-kornia,-60.39318125309332
32,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-60.41604032064387
33,Calin/convnext-tiny-finteuned-eurosat,-60.3642476377056
34,mrm8488/convnext-tiny-finetuned-eurosat,-60.35599970182916
35,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-60.41260332793489
36,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-60.40680838668821
37,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-60.40922341528976
38,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-60.3732314108412
39,nielsr/convnext-tiny-finetuned-eurosat,-60.39105933123275
40,nielsr/convnext-tiny-finetuned-eurostat,-60.399127490802584
41,nielsr/van-base-finetuned-eurosat-imgaug,-60.405522986699324
42,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,-60.35238892741516
43,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-60.35702291700993
44,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-60.370784087633254
45,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-60.39922229539863
46,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,-60.41842664668923
47,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-60.417104768989205
48,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-60.386613380398515
49,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,-60.40051356853773
50,nateraw/vit-base-food101,-60.340888206727996
51,eslamxm/vit-base-food101,-60.476943095754336
52,nateraw/rare-puppers-09-04-2021,-60.41325968175065
53,nateraw/donut-or-bagel,-60.38178750573192
54,nateraw/huggingpics-package-demo-2,-60.38648161156521
55,nateraw/pasta-shapes,-60.41513387726569
56,nateraw/pasta-pizza-ravioli,-60.40105614607834
57,driboune/skin_type,-60.378970508589234
58,jmarshall/rare-puppers,-60.3394884801737
