,model,score
0,google/vit-base-patch16-224,0.8966192624103213
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8411988628995105
2,facebook/deit-base-patch16-224,0.8848326666864467
3,facebook/deit-base-distilled-patch16-224,0.8223971431946989
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8759189183956894
5,facebook/convnext-base-224,1.005902222423687
6,facebook/convnext-small-224,0.9346815893904741
7,microsoft/swin-base-patch4-window7-224,0.9174117731020265
8,microsoft/beit-base-patch16-224,0.9318464132329033
9,facebook/convnext-tiny-224,0.8804933183840477
10,Visual-Attention-Network/van-small,0.8134069843096098
11,WinKawaks/vit-small-patch16-224,0.863014890077059
12,facebook/deit-small-distilled-patch16-224,0.7695076471208472
13,Visual-Attention-Network/van-base,0.7901663670078297
14,facebook/deit-small-patch16-224,0.859908389259282
15,microsoft/swin-small-patch4-window7-224,0.8712756501269556
16,Ahmed9275/ALL-3,0.8338900312598418
17,facebook/convnext-large-224,0.9371276895606859
18,WinKawaks/vit-tiny-patch16-224,0.9124152040142862
19,Visual-Attention-Network/van-tiny,0.9329229245587011
20,facebook/deit-tiny-distilled-patch16-224,0.7989542590229068
21,Ahmed9275/ALL-test,0.8548919214480115
22,facebook/deit-tiny-patch16-224,0.8647957282624688
23,microsoft/swin-tiny-patch4-window7-224,0.76153580039875
24,Visual-Attention-Network/van-large,0.8645886649024611
25,google/vit-base-patch32-384,0.8904817525445519
26,facebook/convnext-base-224-22k-1k,0.8427559662288056
27,google/vit-large-patch32-384,0.9170806909667076
28,microsoft/swin-large-patch4-window7-224,0.8876016053499911
29,lysandre/tiny-vit-random,0.7406608157494378
30,facebook/convnext-large-224-22k-1k,0.9348508445918835
31,facebook/convnext-base-384,0.9676316182282524
32,microsoft/resnet-50,0.836765735984794
33,microsoft/beit-base-patch16-224-pt22k,0.8969380767620684
34,microsoft/beit-large-patch16-224,0.9701250944771739
35,google/vit-large-patch16-224,0.9830473778403009
36,facebook/convnext-large-384,1.0058282035507982
37,facebook/convnext-large-384-22k-1k,0.9668075266963772
