,model,score
0,firebolt/llama_or_what2,421.9638
1,google/vit-base-patch16-224,421.99786
2,nateraw/denver-nyc-paris,421.9063
3,black/simple_kitchen,421.91315
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,421.94122
5,Suzana/new-york-tokyo-london,421.95367
6,filipafcastro/beer_vs_wine,421.99432
7,nateraw/baked-goods,421.9168
8,ajanco/greens,421.88934
9,nateraw/vit-base-beans-demo,421.88727
10,HHousen/household-rooms,421.9245
11,Amrrs/indian-foods,421.9699
12,nateraw/planes-trains-automobiles,421.92084
13,julien-c/hotdog-not-hotdog,421.977
14,jmarshall/rare-puppers,421.93878
15,nielsr/vit-finetuned-eurosat-kornia,421.9383
16,eren23/pneumonia_test_attempt,421.94098
17,micole66/dwarf-goats,421.82477
18,nateraw/ex-for-evan,421.87616
19,karthiksv/vit-base-patch16-224-cifar10,421.91547
20,ferdinand/rare-puppers,421.82233
21,ipvikas/rare-puppers,421.9394
22,Frodnar/bee-likes,421.94757
23,nickmuchi/vit-base-beans,421.92682
24,nateraw/baseball-stadium-foods,421.92133
25,Giuliano/places,421.92572
26,firas-spanioli/beer-whisky-wine-detection,421.96442
27,jjhoffstein/lotr,421.90704
28,Nonem100/Test-Model,421.94708
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,421.87958
30,LorenzoDeMattei/lawn-weeds,421.94196
31,nateraw/doggos-lol,421.88556
32,IDEA-CCNL/Taiyi-vit-87M-D,421.88422
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,421.89032
34,karthiksv/vit-base-beans,421.91693
35,Symbermine/rare-puppers,421.9301
36,nateraw/vit-base-patch16-224-cifar10,421.898
37,gatecitypreservation/architectural_styles,421.94147
38,Amrrs/south-indian-foods,422.00055
39,hafidber/fruits,421.93207
40,nateraw/rare-puppers-123,421.92145
41,Aftabhussain/Tomato_Leaf_Classifier,421.83832
42,nickmuchi/vit-base-xray-pneumonia,422.002
43,Neto71/sea_mammals,421.87042
44,lewtun/oz-fauna,421.91156
45,hgarg/fruits,421.8499
46,jasmeen/dogs,421.98297
47,b25mayank3/shirt_identifier,421.992
48,jeffboudier/vision-transformers-spain-or-italy-fan,421.8813
49,facebook/convnext-base-224-22k,421.9124
50,nickmuchi/vit-finetuned-cats-dogs,421.93622
51,godiec/diam,421.95734
52,Rajaram1996/FacialEmoRecog,421.89264
53,nateraw/vit-base-beans-demo-v3,421.94037
54,firebolt/llama_or_what,421.9157
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,421.94196
56,johnnydevriese/vit_beans,421.96686
57,nateraw/vit-age-classifier,421.93707
58,nateraw/vit-base-beans-demo-v2,421.91718
59,mmekias/vit-base-beans,421.9096
60,juanfiguera/ice_cream,421.96796
61,drab/Infrastructures,421.87653
62,nateraw/vit-base-beans,421.90033
63,Sena/dog,421.96246
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,421.9317
65,hafidber/rare-puppers,421.9206
66,edixo/road_good_damaged_condition,421.9024
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,421.9533
68,Sena/flowers,421.92096
69,matteopilotto/vit-base-patch16-224-in21k-snacks,421.88898
70,johnnydevriese/vit-airplanes,421.9096
71,nateraw/pasta-shapes,421.96686
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,421.91718
73,hgarg/indian-snacks,421.9256
74,nateraw/vit-base-food101,421.97687
75,Hijazzi/rare-puppers,421.95294
76,nateraw/trainer-rare-puppers,421.9013
77,ibombonato/vit-age-classifier,421.93268
78,nateraw/rare-puppers-new-auth,421.91498
79,SriramSridhar78/sriram-car-classifier,421.90936
80,ismgar01/vit-base-cats-vs-dogs,421.93597
81,nateraw/rare-puppers,421.96173
82,iyzg/computer-stuff,421.9084
83,nateraw/huggingpics-package-demo-2,421.87628
84,imjeffhi/pokemon_classifier,421.94574
85,nateraw/pasta-pizza-ravioli,421.91864
86,akahana/vit-base-cats-vs-dogs,421.93536
87,nateraw/donut-or-bagel,421.94342
88,nateraw/rare-puppers-09-04-2021,421.9798
89,nateraw/vit-base-cats-vs-dogs,421.92743
90,Zayn/VIT_Basic,421.91425
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,421.90192
92,AkshatSurolia/ViT-FaceMask-Finetuned,421.85382
93,microsoft/swin-large-patch4-window7-224-in22k,421.83282
94,Ahmed9275/Vit-Cifar100,421.9052
95,driboune/skin_type,421.95367
96,microsoft/swin-base-patch4-window7-224-in22k,421.92303
97,facebook/deit-base-patch16-224,421.92963
98,facebook/deit-base-distilled-patch16-224,421.90887
99,eslamxm/vit-base-food101,421.8426
100,mrm8488/data2vec-base-finetuned-imagenet1k,421.91986
101,facebook/convnext-base-224,421.96564
102,facebook/convnext-small-224,421.9975
103,microsoft/swin-base-patch4-window7-224,421.92145
104,microsoft/beit-base-patch16-224,421.83173
105,mrm8488/convnext-tiny-finetuned-eurosat,421.99005
106,mrm8488/convnext-tiny-finetuned-beans,421.9289
107,facebook/convnext-tiny-224,421.96625
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,421.9312
109,microsoft/beit-base-patch16-224-pt22k-ft22k,421.8648
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,421.89923
111,Calin/convnext-tiny-finteuned-eurosat,421.90118
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,421.9666
113,Visual-Attention-Network/van-small,421.85956
114,WinKawaks/vit-small-patch16-224,421.8714
115,facebook/deit-small-distilled-patch16-224,421.89264
116,Visual-Attention-Network/van-base,421.91376
117,jadohu/BEiT-finetuned,421.86993
118,nielsr/convnext-tiny-finetuned-eurostat,421.91852
119,facebook/deit-small-patch16-224,421.8238
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,421.8615
121,microsoft/swin-small-patch4-window7-224,421.92877
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,421.87787
123,Ahmed9275/ALL-3,421.89496
124,facebook/convnext-large-224,421.93085
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,421.84125
126,WinKawaks/vit-tiny-patch16-224,421.76764
127,Visual-Attention-Network/van-tiny,421.87482
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,421.8443
129,facebook/deit-tiny-distilled-patch16-224,421.86737
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,421.94855
131,nielsr/convnext-tiny-finetuned-eurosat,421.8742
132,ibombonato/swin-age-classifier,421.98187
133,Ahmed9275/ALL-test,421.85602
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,421.87433
135,facebook/deit-tiny-patch16-224,421.91827
136,microsoft/swin-tiny-patch4-window7-224,421.8896
137,flyswot/test,421.8532
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,421.9145
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,421.919
140,nielsr/van-base-finetuned-eurosat-imgaug,421.93817
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,421.85834
142,Visual-Attention-Network/van-large,421.96674
143,Matthijs/snacks-classifier,421.92963
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,421.94025
145,nateraw/test_model_a,421.39337
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,421.86627
147,google/vit-base-patch32-384,421.91132
148,nateraw/rare-puppers-demo,421.9455
149,AkshatSurolia/BEiT-FaceMask-Finetuned,421.71405
150,AkshatSurolia/DeiT-FaceMask-Finetuned,421.88483
151,meame2010/rare-puppers,421.89484
152,facebook/convnext-base-224-22k-1k,421.96906
153,google/vit-large-patch32-384,421.85077
154,microsoft/swin-large-patch4-window7-224,421.98566
155,mmgyorke/vit-world-landmarks,421.90204
156,lysandre/tiny-vit-random,421.466
157,AhmedSayeem/VIT_Basic,421.93964
158,facebook/convnext-large-224-22k-1k,421.8781
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,421.95978
160,facebook/convnext-base-384,421.961
161,microsoft/resnet-50,421.93524
162,microsoft/beit-base-patch16-224-pt22k,421.92535
163,microsoft/beit-large-patch16-224,421.76898
164,facebook/convnext-large-224-22k,421.9438
165,google/vit-large-patch16-224,421.84833
166,facebook/convnext-large-384,421.93073
167,facebook/convnext-xlarge-224-22k,421.91693
168,facebook/convnext-large-384-22k-1k,421.92242
169,nielsr/convnext-xlarge-224-22k-1k,422.0014
170,facebook/deit-base-patch16-384,422.0042
171,google/vit-base-patch16-384,421.94196
172,microsoft/swin-base-patch4-window12-384-in22k,421.9428
173,microsoft/beit-large-patch16-224-pt22k-ft22k,421.83612
174,facebook/deit-base-distilled-patch16-384,421.91364
175,facebook/convnext-xlarge-224-22k-1k,421.8902
176,nielsr/convnext-xlarge-224-22k,421.90973
177,microsoft/beit-large-patch16-384,421.74274
178,microsoft/swin-large-patch4-window12-384,422.00812
