,model,score
0,firebolt/llama_or_what2,0.9276378059178011
1,google/vit-base-patch16-224,0.9045640424916477
2,nateraw/denver-nyc-paris,0.8855890206351374
3,black/simple_kitchen,0.9510297063738041
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9873323503961039
5,Suzana/new-york-tokyo-london,0.9304345097377575
6,filipafcastro/beer_vs_wine,0.9721013355890555
7,nateraw/baked-goods,0.9351713418916893
8,ajanco/greens,0.9105556816861134
9,nateraw/vit-base-beans-demo,0.8972127205925987
10,HHousen/household-rooms,0.9616500943565772
11,Amrrs/indian-foods,0.9433478422890706
12,nateraw/planes-trains-automobiles,0.9123259984491582
13,julien-c/hotdog-not-hotdog,0.8329743620487866
14,jmarshall/rare-puppers,0.9197530861203015
15,nielsr/vit-finetuned-eurosat-kornia,0.9038980893760926
16,eren23/pneumonia_test_attempt,1.0061420038867972
17,micole66/dwarf-goats,0.8554200236039078
18,nateraw/ex-for-evan,0.9099375560238683
19,karthiksv/vit-base-patch16-224-cifar10,0.8746479257192578
20,ferdinand/rare-puppers,0.9572386507948861
21,ipvikas/rare-puppers,0.9612953429774227
22,Frodnar/bee-likes,0.9449286771209904
23,nickmuchi/vit-base-beans,0.8963924657599587
24,nateraw/baseball-stadium-foods,0.8966078687778278
25,Giuliano/places,0.9548404338183434
26,firas-spanioli/beer-whisky-wine-detection,0.9276089673919657
27,jjhoffstein/lotr,0.9189443985641509
28,Nonem100/Test-Model,0.9195325992144447
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.9299571131584679
30,LorenzoDeMattei/lawn-weeds,0.9101013726671225
31,nateraw/doggos-lol,0.9141946799762461
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9382776710276517
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9236989255701183
34,karthiksv/vit-base-beans,0.9896959607048058
35,Symbermine/rare-puppers,0.9419649637885694
36,nateraw/vit-base-patch16-224-cifar10,0.8907031957204885
37,gatecitypreservation/architectural_styles,0.8846193993675643
38,Amrrs/south-indian-foods,0.9441771302267394
39,hafidber/fruits,1.020793218608868
40,nateraw/rare-puppers-123,0.9523683637948123
41,Aftabhussain/Tomato_Leaf_Classifier,0.9788104725967081
42,nickmuchi/vit-base-xray-pneumonia,0.9251629018783765
43,Neto71/sea_mammals,0.9043483700853604
44,lewtun/oz-fauna,0.9548781573907816
45,hgarg/fruits,0.9239826336218391
46,jasmeen/dogs,0.8925035516556822
47,b25mayank3/shirt_identifier,0.9417718151347919
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9639520045754258
49,facebook/convnext-base-224-22k,0.9792483360371083
50,nickmuchi/vit-finetuned-cats-dogs,0.9752482249335557
51,godiec/diam,0.8426758599371722
52,Rajaram1996/FacialEmoRecog,0.9026206329995966
53,nateraw/vit-base-beans-demo-v3,0.8913440309107271
54,firebolt/llama_or_what,0.9027929879681618
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9411860023414104
56,johnnydevriese/vit_beans,0.9672541299977948
57,nateraw/vit-age-classifier,0.932799948889715
58,nateraw/vit-base-beans-demo-v2,0.9226949697261791
59,mmekias/vit-base-beans,1.0182117128265025
60,juanfiguera/ice_cream,0.9411626106211924
61,drab/Infrastructures,0.8328319232467501
62,nateraw/vit-base-beans,0.9887007710973741
63,Sena/dog,0.9256280352424406
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,1.0093198760383921
65,hafidber/rare-puppers,0.9664321463398563
66,edixo/road_good_damaged_condition,0.8334966338156672
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.985574695951736
