,model,score
0,google/vit-base-patch16-224,0.5649695655037617
1,IDEA-CCNL/Taiyi-vit-87M-D,0.5673883972403306
2,facebook/deit-base-patch16-224,0.6358586212301428
3,facebook/deit-base-distilled-patch16-224,0.578299898025592
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.5157016326245298
5,facebook/convnext-base-224,0.7594441924904571
6,facebook/convnext-small-224,0.6473997688498869
7,microsoft/swin-base-patch4-window7-224,0.787154309707786
8,microsoft/beit-base-patch16-224,0.41767816311918526
9,facebook/convnext-tiny-224,0.7161551302106222
10,Visual-Attention-Network/van-small,0.5979205514222247
11,WinKawaks/vit-small-patch16-224,0.5323792578756781
12,facebook/deit-small-distilled-patch16-224,0.479705749795722
13,Visual-Attention-Network/van-base,0.6036286407645075
14,facebook/deit-small-patch16-224,0.506243433844575
15,microsoft/swin-small-patch4-window7-224,0.7007286000603149
16,Ahmed9275/ALL-3,0.6826232969693653
17,facebook/convnext-large-224,0.7639829686260362
18,WinKawaks/vit-tiny-patch16-224,0.3919116203367783
19,Visual-Attention-Network/van-tiny,0.44496984453226396
20,facebook/deit-tiny-distilled-patch16-224,0.4606114480598992
21,Ahmed9275/ALL-test,0.6252121168245028
22,facebook/deit-tiny-patch16-224,0.4993844963258659
23,microsoft/swin-tiny-patch4-window7-224,0.701047981125966
24,Visual-Attention-Network/van-large,0.5966122024830051
25,google/vit-base-patch32-384,0.6592602346130672
26,facebook/convnext-base-224-22k-1k,0.8692399141596835
27,google/vit-large-patch32-384,0.6775312573062435
28,microsoft/swin-large-patch4-window7-224,0.9005706522057436
29,lysandre/tiny-vit-random,0.34484759235561036
30,facebook/convnext-large-224-22k-1k,0.9205764860547127
31,facebook/convnext-base-384,0.7960289111773736
32,microsoft/resnet-50,0.5953507446954084
33,microsoft/beit-large-patch16-224,0.4856908334954595
34,google/vit-large-patch16-224,0.7425049991359531
35,facebook/convnext-large-384,0.7853312896631397
36,facebook/convnext-large-384-22k-1k,0.9069047060770621
37,nielsr/convnext-xlarge-224-22k-1k,1.0947489463217324
38,facebook/deit-base-patch16-384,0.6682578259037488
39,google/vit-base-patch16-384,0.6686728502471562
40,facebook/deit-base-distilled-patch16-384,0.6556750018699169
