,model,score
0,firebolt/llama_or_what2,0.9015524670782906
1,google/vit-base-patch16-224,0.9037034318764224
2,nateraw/denver-nyc-paris,0.8972053663608129
3,black/simple_kitchen,0.9049619214697094
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9051738240971775
5,Suzana/new-york-tokyo-london,0.8968032944426341
6,filipafcastro/beer_vs_wine,0.8960066926512652
7,nateraw/baked-goods,0.8971438117127872
8,ajanco/greens,0.8981304569839548
9,nateraw/vit-base-beans-demo,0.907426056898165
10,HHousen/household-rooms,0.9037527608528773
11,Amrrs/indian-foods,0.9029656751614945
12,nateraw/planes-trains-automobiles,0.9023618046453676
13,julien-c/hotdog-not-hotdog,0.9039527445126149
14,jmarshall/rare-puppers,0.8964491535280166
15,nielsr/vit-finetuned-eurosat-kornia,0.8985171816315354
16,eren23/pneumonia_test_attempt,0.8995677625663505
17,micole66/dwarf-goats,0.8997034736911236
18,nateraw/ex-for-evan,0.9024907901865376
19,karthiksv/vit-base-patch16-224-cifar10,0.9002499007818889
20,ferdinand/rare-puppers,0.9090691162086167
21,ipvikas/rare-puppers,0.9026928151638551
22,Frodnar/bee-likes,0.897551115610879
23,nickmuchi/vit-base-beans,0.9011510235495341
24,nateraw/baseball-stadium-foods,0.8966594466620932
25,Giuliano/places,0.9021496779987688
26,firas-spanioli/beer-whisky-wine-detection,0.8965082993538669
27,jjhoffstein/lotr,0.9077784469271205
28,Nonem100/Test-Model,0.8968751958540575
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8959283855159385
30,LorenzoDeMattei/lawn-weeds,0.8965974451834896
31,nateraw/doggos-lol,0.8967254190502004
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8972766340174946
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8999528960517746
34,karthiksv/vit-base-beans,0.9083379910387284
35,Symbermine/rare-puppers,0.8966141997338306
36,nateraw/vit-base-patch16-224-cifar10,0.8998360610040683
37,gatecitypreservation/architectural_styles,0.8980546798781103
38,Amrrs/south-indian-foods,0.9034859690551978
39,hafidber/fruits,0.8960034734211002
40,nateraw/rare-puppers-123,0.8962738023535746
41,Aftabhussain/Tomato_Leaf_Classifier,0.8959070829177451
42,nickmuchi/vit-base-xray-pneumonia,0.9005994532166891
43,Neto71/sea_mammals,0.9040506817332112
44,lewtun/oz-fauna,0.8973107355735949
45,hgarg/fruits,0.9024040894561765
46,jasmeen/dogs,0.8961969141726245
47,b25mayank3/shirt_identifier,0.9056112435469293
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9064739708715832
49,facebook/convnext-base-224-22k,0.8882359201471605
50,nickmuchi/vit-finetuned-cats-dogs,0.900172266242988
51,godiec/diam,0.896071462831149
52,Rajaram1996/FacialEmoRecog,0.9040562874993927
53,nateraw/vit-base-beans-demo-v3,0.901070897378268
54,firebolt/llama_or_what,0.9089406601337452
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.9065542036540839
56,johnnydevriese/vit_beans,0.9083496141561445
57,nateraw/vit-age-classifier,0.9027039777331648
58,nateraw/vit-base-beans-demo-v2,0.9008944173249018
59,mmekias/vit-base-beans,0.9019819026102813
60,juanfiguera/ice_cream,0.9006596281693213
61,drab/Infrastructures,0.9029989352841343
62,nateraw/vit-base-beans,0.9013746531335994
63,Sena/dog,0.8963382390691194
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.9032892969206967
65,hafidber/rare-puppers,0.9027168778752732
66,edixo/road_good_damaged_condition,0.8963179740823564
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9030269274748524
68,Sena/flowers,0.9061222309986491
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.9033067671819747
70,johnnydevriese/vit-airplanes,0.9022808094078032
71,nateraw/pasta-shapes,0.8968046647244199
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.9034246253211202
73,hgarg/indian-snacks,0.9056702218889368
74,nateraw/vit-base-food101,0.9044471699214024
75,Hijazzi/rare-puppers,0.8962238515343994
76,nateraw/trainer-rare-puppers,0.8970866020640581
77,ibombonato/vit-age-classifier,0.9097899802609366
78,nateraw/rare-puppers-new-auth,0.8969354795015049
79,SriramSridhar78/sriram-car-classifier,0.8937724564500437
80,ismgar01/vit-base-cats-vs-dogs,0.9001982936535005
81,nateraw/rare-puppers,0.8963289084392826
82,iyzg/computer-stuff,0.9034652438530515
83,nateraw/huggingpics-package-demo-2,0.8965327125504308
84,imjeffhi/pokemon_classifier,0.8946701578013787
85,nateraw/pasta-pizza-ravioli,0.9032552228952739
86,akahana/vit-base-cats-vs-dogs,0.9002640361387753
87,nateraw/donut-or-bagel,0.902927912178187
88,nateraw/rare-puppers-09-04-2021,0.9035822291732437
89,nateraw/vit-base-cats-vs-dogs,0.9065048046621884
90,Zayn/VIT_Basic,0.896806730112226
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.905295196415693
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.899748288515291
93,microsoft/swin-large-patch4-window7-224-in22k,0.9320812894250575
94,Ahmed9275/Vit-Cifar100,0.9054629640240777
95,driboune/skin_type,0.9039821405907761
96,microsoft/swin-base-patch4-window7-224-in22k,0.906030089353449
97,facebook/deit-base-patch16-224,0.8972608259757129
98,facebook/deit-base-distilled-patch16-224,0.8841450744637691
99,eslamxm/vit-base-food101,0.9044233344601109
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8882659000057198
101,facebook/convnext-base-224,0.8858374090620522
102,facebook/convnext-small-224,0.8774911129523295
103,microsoft/swin-base-patch4-window7-224,0.8909461927645406
104,microsoft/beit-base-patch16-224,0.8815871484174517
105,mrm8488/convnext-tiny-finetuned-eurosat,0.872946478384457
106,mrm8488/convnext-tiny-finetuned-beans,0.870321766671575
107,facebook/convnext-tiny-224,0.8664619536518217
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8666726920615202
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8830495034961096
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.8615490987007841
111,Calin/convnext-tiny-finteuned-eurosat,0.8675443802365052
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8675736650367397
113,Visual-Attention-Network/van-small,0.8847025187990571
114,WinKawaks/vit-small-patch16-224,0.8826258607928557
115,facebook/deit-small-distilled-patch16-224,0.8701805564840347
116,Visual-Attention-Network/van-base,0.8875389763636872
117,jadohu/BEiT-finetuned,0.890047111134794
118,nielsr/convnext-tiny-finetuned-eurostat,0.8675439523801841
119,facebook/deit-small-patch16-224,0.8964307327121092
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8791772876114148
121,microsoft/swin-small-patch4-window7-224,0.8890534688229029
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.878259939984445
123,Ahmed9275/ALL-3,0.8833591515691673
124,facebook/convnext-large-224,0.9097952945530255
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8846116513215047
126,WinKawaks/vit-tiny-patch16-224,0.8790990613870653
127,Visual-Attention-Network/van-tiny,0.8831291472654498
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8846199853414863
129,facebook/deit-tiny-distilled-patch16-224,0.8671424252552434
