,model,score
0,google/vit-base-patch16-224,0.8824708175584167
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8570958864919888
2,facebook/deit-base-patch16-224,0.8564201039727715
3,facebook/deit-base-distilled-patch16-224,0.8627984101891173
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8454566330093555
5,facebook/convnext-base-224,0.8731941955840281
6,facebook/convnext-small-224,0.8595222739777492
7,microsoft/swin-base-patch4-window7-224,0.8575748556239349
8,microsoft/beit-base-patch16-224,0.5489309993974529
9,facebook/convnext-tiny-224,0.8565489512654824
10,Visual-Attention-Network/van-small,0.8445039305882365
11,WinKawaks/vit-small-patch16-224,0.8238067380711851
12,facebook/deit-small-distilled-patch16-224,0.845611472546705
13,Visual-Attention-Network/van-base,0.8351460031219564
14,facebook/deit-small-patch16-224,0.8409876504523432
15,microsoft/swin-small-patch4-window7-224,0.8524303443136726
16,Ahmed9275/ALL-3,0.8513621233204755
17,facebook/convnext-large-224,0.8926665070317381
18,WinKawaks/vit-tiny-patch16-224,0.811445071664584
19,Visual-Attention-Network/van-tiny,0.8395406472761426
20,facebook/deit-tiny-distilled-patch16-224,0.7355245808090787
21,Ahmed9275/ALL-test,0.8476344186786712
22,facebook/deit-tiny-patch16-224,0.7498790352047611
23,microsoft/swin-tiny-patch4-window7-224,0.8548650214634184
24,Visual-Attention-Network/van-large,0.8716181732361776
25,google/vit-base-patch32-384,0.8662577989224343
26,facebook/convnext-base-224-22k-1k,0.8766326925396382
27,google/vit-large-patch32-384,0.8848263185338646
28,microsoft/swin-large-patch4-window7-224,0.8890275910186182
29,lysandre/tiny-vit-random,0.01480505278999159
30,facebook/convnext-large-224-22k-1k,0.891004121853112
31,facebook/convnext-base-384,0.8926665070317381
32,microsoft/resnet-50,0.8457333217397428
33,microsoft/beit-base-patch16-224-pt22k,0.5318063225861768
34,microsoft/beit-large-patch16-224,0.5871876064733753
35,google/vit-large-patch16-224,0.888875737239563
36,facebook/convnext-large-384,0.8905458303394389
37,facebook/convnext-large-384-22k-1k,0.893508179806316
38,nielsr/convnext-xlarge-224-22k-1k,0.8910899664442007
39,facebook/deit-base-patch16-384,0.8901401986776146
40,google/vit-base-patch16-384,0.8911201483820443
41,facebook/deit-base-distilled-patch16-384,0.8890958477858518
42,facebook/convnext-xlarge-224-22k-1k,0.8890662241222844
43,microsoft/beit-large-patch16-384,0.7348538098765871
44,microsoft/swin-large-patch4-window12-384,0.8929702180512608
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.865379655614412
46,karthiksv/vit-base-patch16-224-cifar10,0.8850347078817739
47,nateraw/vit-base-patch16-224-cifar10,0.865379655614412
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8845727036960167
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8684629290755184
50,jadohu/BEiT-finetuned,0.6876641231113847
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8808659014407466
52,nateraw/vit-base-beans-demo,0.8684629290755184
53,nickmuchi/vit-base-beans,0.8666446576362987
54,karthiksv/vit-base-beans,0.8627501579916519
55,nateraw/vit-base-beans-demo-v3,0.8704091854014986
56,johnnydevriese/vit_beans,0.8684629290755184
57,nateraw/vit-base-beans-demo-v2,0.8583669747631104
58,mmekias/vit-base-beans,0.8660842066425504
59,nateraw/vit-base-beans,0.8684629290755184
60,mrm8488/convnext-tiny-finetuned-beans,0.8594964831328877
61,nielsr/vit-finetuned-eurosat-kornia,0.8459381973102823
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8332758833674161
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8332758833674161
64,Calin/convnext-tiny-finteuned-eurosat,0.8490836072937833
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8332758833674161
66,nielsr/convnext-tiny-finetuned-eurostat,0.8332758833674161
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8261374138529463
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8255123516100978
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8278342882712919
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8255123516100978
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8278342882712919
72,nielsr/convnext-tiny-finetuned-eurosat,0.8332758833674161
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8255123516100978
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8255123516100978
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8255123516100978
76,nielsr/van-base-finetuned-eurosat-imgaug,0.8189239963140976
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8255123516100978
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8255123516100978
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8255123516100978
80,eren23/pneumonia_test_attempt,0.8615097647455251
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8698131927085946
82,nickmuchi/vit-base-xray-pneumonia,0.8588676666093942
83,facebook/convnext-base-224-22k,0.8761833081002223
84,microsoft/swin-large-patch4-window7-224-in22k,0.8911261720254525
85,microsoft/swin-base-patch4-window7-224-in22k,0.8722202341508952
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.7598358728433083
87,facebook/convnext-large-224-22k,0.8926665070317381
88,facebook/convnext-xlarge-224-22k,0.8890662241222844
89,microsoft/swin-base-patch4-window12-384-in22k,0.885630891939667
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.7830672456852864
91,nielsr/convnext-xlarge-224-22k,0.8914078943501571
92,nickmuchi/vit-finetuned-cats-dogs,0.8439455803642617
93,ismgar01/vit-base-cats-vs-dogs,0.8439455803642617
94,akahana/vit-base-cats-vs-dogs,0.8386943078305196
95,nateraw/vit-base-cats-vs-dogs,0.8410098449325382
96,nateraw/test_model_a,0.0013007564201536492
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8578843293037215
98,Matthijs/snacks-classifier,0.8487854195081641
99,nateraw/vit-base-food101,0.8795748342636581
100,eslamxm/vit-base-food101,0.8145973884524936
101,SriramSridhar78/sriram-car-classifier,0.8599529911773395
102,imjeffhi/pokemon_classifier,0.834196978624442
