,model,score
0,Rajaram1996/FacialEmoRecog,0.8979600820013789
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8979600820013789
2,Matthijs/snacks-classifier,0.8955794183485963
3,ibombonato/vit-age-classifier,0.8979600820013789
4,nateraw/vit-age-classifier,0.8979600820013789
5,ibombonato/swin-age-classifier,0.8992820446688295
6,mmekias/vit-base-beans,0.8979600820013789
7,karthiksv/vit-base-beans,0.8979600820013789
8,nateraw/vit-base-beans,0.8979600820013789
9,johnnydevriese/vit_beans,0.8979600820013789
10,nickmuchi/vit-base-beans,0.8979600820013789
11,nateraw/vit-base-beans-demo,0.8979442712659992
12,nateraw/vit-base-beans-demo-v3,0.8979600820013789
13,mrm8488/convnext-tiny-finetuned-beans,0.8992662339334498
14,nateraw/vit-base-cats-vs-dogs,0.8969743936241165
15,nickmuchi/vit-finetuned-cats-dogs,0.8969743936241165
16,ismgar01/vit-base-cats-vs-dogs,0.8968712988730093
17,akahana/vit-base-cats-vs-dogs,0.8908049970908698
18,nateraw/test_model_a,0.02355859237465023
19,eren23/pneumonia_test_attempt,0.8979442712659992
20,nickmuchi/vit-base-xray-pneumonia,0.8979600820013789
21,nateraw/vit-base-patch16-224-cifar10,0.8955589957734369
22,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8951351521793589
23,karthiksv/vit-base-patch16-224-cifar10,0.8955589957734369
24,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8951351521793589
25,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8951351521793589
26,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8951351521793589
27,jadohu/BEiT-finetuned,0.8130068354991589
28,Ahmed9275/Vit-Cifar100,0.8720329799125289
29,nielsr/vit-finetuned-eurosat-kornia,0.8979600820013789
30,mrm8488/convnext-tiny-finetuned-eurosat,0.8992820446688295
31,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8992820446688295
32,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8992820446688295
33,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8992820446688295
34,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8992662339334498
35,nielsr/convnext-tiny-finetuned-eurosat,0.8992820446688295
36,nielsr/convnext-tiny-finetuned-eurostat,0.8992820446688295
37,nielsr/van-base-finetuned-eurosat-imgaug,0.8992662339334498
38,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8992662339334498
39,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8992820446688295
40,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8992820446688295
41,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8992820446688295
42,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8992820446688295
43,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8992820446688295
