,model,score
0,google/vit-base-patch16-224,-0.08317818872230412
1,IDEA-CCNL/Taiyi-vit-87M-D,-0.08566123386733501
2,facebook/deit-base-patch16-224,-0.29975972764313374
3,facebook/deit-base-distilled-patch16-224,-0.2039258695594718
4,mrm8488/data2vec-base-finetuned-imagenet1k,-0.22778882318841412
5,facebook/convnext-base-224,0.6143130581298203
6,facebook/convnext-small-224,0.5097027674137429
7,microsoft/swin-base-patch4-window7-224,1.1250165606734477
8,microsoft/beit-base-patch16-224,-0.40870904923821205
9,facebook/convnext-tiny-224,0.5005769416421239
10,Visual-Attention-Network/van-small,-0.23185280928648624
11,WinKawaks/vit-small-patch16-224,-0.7295839325774918
12,facebook/deit-small-distilled-patch16-224,-0.4842413189875635
13,Visual-Attention-Network/van-base,-0.17205733455187872
14,facebook/deit-small-patch16-224,-0.5090209609661597
15,microsoft/swin-small-patch4-window7-224,0.5123596962395179
16,Ahmed9275/ALL-3,-0.3476190137503229
17,facebook/convnext-large-224,1.1387236719196623
18,WinKawaks/vit-tiny-patch16-224,-0.7271964085994728
19,Visual-Attention-Network/van-tiny,-0.797168411276301
20,facebook/deit-tiny-distilled-patch16-224,-0.6814103098515034
21,Ahmed9275/ALL-test,-0.35116809274156985
22,facebook/deit-tiny-patch16-224,-0.7092167128193451
23,microsoft/swin-tiny-patch4-window7-224,0.4887915237426463
24,Visual-Attention-Network/van-large,-0.2219983706477109
25,google/vit-base-patch32-384,0.15551688965007635
26,facebook/convnext-base-224-22k-1k,1.2602427077447151
27,google/vit-large-patch32-384,1.1666141381532105
28,microsoft/swin-large-patch4-window7-224,2.4553578502638223
29,lysandre/tiny-vit-random,-1.2009135512221454
30,facebook/convnext-large-224-22k-1k,2.0853912971966064
31,facebook/convnext-base-384,1.0145456341622399
32,microsoft/resnet-50,-0.3928682701162339
33,microsoft/beit-large-patch16-224,-0.4036046436968204
34,google/vit-large-patch16-224,1.0810110407343188
35,facebook/convnext-large-384,2.1687575848996556
36,facebook/convnext-large-384-22k-1k,2.686202570605567
37,nielsr/convnext-xlarge-224-22k-1k,2.812132051852319
38,facebook/deit-base-patch16-384,-0.22949237839548636
39,google/vit-base-patch16-384,0.2935091891292178
40,facebook/deit-base-distilled-patch16-384,-0.22565259457220205
41,facebook/convnext-xlarge-224-22k-1k,3.276644410692954
42,microsoft/beit-large-patch16-384,-0.31395979267900204
43,microsoft/swin-large-patch4-window12-384,1.109233502523039
44,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.1328614858508016
45,karthiksv/vit-base-patch16-224-cifar10,-0.053435771282224494
46,nateraw/vit-base-patch16-224-cifar10,-0.1975602849455899
47,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.026957559210542055
48,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-0.20759233514175818
49,jadohu/BEiT-finetuned,-0.354985857620478
50,nateraw/vit-base-beans-demo,-0.2809283492586914
51,nickmuchi/vit-base-beans,-0.27699091790917285
52,karthiksv/vit-base-beans,-0.06570544226949376
53,nateraw/vit-base-beans-demo-v3,-0.0015930186368079524
54,johnnydevriese/vit_beans,-0.24662835461559068
55,nateraw/vit-base-beans-demo-v2,-0.2809283492586914
56,mmekias/vit-base-beans,-0.1288120711566043
57,nateraw/vit-base-beans,-0.05896379512237232
58,mrm8488/convnext-tiny-finetuned-beans,0.42196350201903016
59,nielsr/vit-finetuned-eurosat-kornia,0.11676105095963171
60,mrm8488/convnext-tiny-finetuned-eurosat,-0.32260686358992385
61,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.2909017945151571
62,Calin/convnext-tiny-finteuned-eurosat,0.17438091439132591
63,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.1575034619637342
