,model,score
0,google/vit-base-patch16-224,0.622784274855114
1,IDEA-CCNL/Taiyi-vit-87M-D,0.6257666478911623
2,facebook/deit-base-patch16-224,0.6257666478911623
3,facebook/deit-base-distilled-patch16-224,0.6953419545916759
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.6158656944628942
5,facebook/convnext-base-224,0.6452690698507483
6,facebook/convnext-small-224,0.6428015650049919
7,microsoft/swin-base-patch4-window7-224,0.6378692299136515
8,microsoft/beit-base-patch16-224,0.532938659528413
9,facebook/convnext-tiny-224,0.6812669982843441
10,Visual-Attention-Network/van-small,0.6246923656216942
11,WinKawaks/vit-small-patch16-224,0.5876311803649763
12,facebook/deit-small-distilled-patch16-224,0.6185607234018059
13,Visual-Attention-Network/van-base,0.6368969364184045
14,facebook/deit-small-patch16-224,0.6133526847457724
15,microsoft/swin-small-patch4-window7-224,0.591728078497639
16,Ahmed9275/ALL-3,0.6105013899078472
17,facebook/convnext-large-224,0.6422866968147
18,WinKawaks/vit-tiny-patch16-224,0.5476049570743785
19,Visual-Attention-Network/van-tiny,0.5901271292887368
20,facebook/deit-tiny-distilled-patch16-224,0.536071025167017
21,Ahmed9275/ALL-test,0.6105013899078472
22,facebook/deit-tiny-patch16-224,0.5223021514580144
23,microsoft/swin-tiny-patch4-window7-224,0.6440060319632154
24,Visual-Attention-Network/van-large,0.6385809520907084
25,google/vit-base-patch32-384,0.6619794500267833
26,facebook/convnext-base-224-22k-1k,0.6452690698507483
27,google/vit-large-patch32-384,0.6549444778769188
28,microsoft/swin-large-patch4-window7-224,0.6212685577648704
29,lysandre/tiny-vit-random,0.42603890838423547
30,facebook/convnext-large-224-22k-1k,0.6469530855230522
31,facebook/convnext-base-384,0.6834025559788909
32,microsoft/resnet-50,0.5986275440518832
33,microsoft/beit-base-patch16-224-pt22k,0.532938659528413
34,microsoft/beit-large-patch16-224,0.5424162334076832
35,google/vit-large-patch16-224,0.623890493190696
36,facebook/convnext-large-384,0.7074905825951184
37,facebook/convnext-large-384-22k-1k,0.711302205592448
38,nielsr/convnext-xlarge-224-22k-1k,0.6270199061731297
39,facebook/deit-base-patch16-384,0.6636634656990873
40,google/vit-base-patch16-384,0.6909156896712905
41,facebook/deit-base-distilled-patch16-384,0.6754758834758618
42,facebook/convnext-xlarge-224-22k-1k,0.6270199061731297
43,microsoft/beit-large-patch16-384,0.5983763613126915
44,microsoft/swin-large-patch4-window12-384,0.6891920802001767
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.6066025080921
46,karthiksv/vit-base-patch16-224-cifar10,0.607896256767208
47,nateraw/vit-base-patch16-224-cifar10,0.6062122410949041
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.607896256767208
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.6066025080921
50,jadohu/BEiT-finetuned,0.5498993741625009
