,model,score
0,firebolt/llama_or_what2,0.8742320997894278
1,google/vit-base-patch16-224,0.8846436760353619
2,nateraw/denver-nyc-paris,0.8597888718434638
3,black/simple_kitchen,0.8597888718434638
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8744095021223521
5,Suzana/new-york-tokyo-london,0.8742320997894278
6,filipafcastro/beer_vs_wine,0.8689782419945857
7,nateraw/baked-goods,0.8732880030746972
8,ajanco/greens,0.8708430478483803
9,nateraw/vit-base-beans-demo,0.8742320997894278
10,HHousen/household-rooms,0.8732880030746972
11,Amrrs/indian-foods,0.8751528089284918
12,nateraw/planes-trains-automobiles,0.8708430478483803
13,julien-c/hotdog-not-hotdog,0.8723701623606072
14,jmarshall/rare-puppers,0.8699223387093165
15,nielsr/vit-finetuned-eurosat-kornia,0.8716268555544674
16,eren23/pneumonia_test_attempt,0.8680604012804958
17,micole66/dwarf-goats,0.8742320997894278
18,nateraw/ex-for-evan,0.8742320997894278
19,karthiksv/vit-base-patch16-224-cifar10,0.8841344238247478
20,ferdinand/rare-puppers,0.8742320997894278
21,ipvikas/rare-puppers,0.8732880030746972
22,Frodnar/bee-likes,0.8751528089284918
23,nickmuchi/vit-base-beans,0.8714336304088142
24,nateraw/baseball-stadium-foods,0.8680604012804958
25,Giuliano/places,0.8699223387093165
26,firas-spanioli/beer-whisky-wine-detection,0.8848777306308875
27,jjhoffstein/lotr,0.8732880030746972
28,Nonem100/Test-Model,0.8730964900999735
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8732880030746972
30,LorenzoDeMattei/lawn-weeds,0.8680604012804958
31,nateraw/doggos-lol,0.8751528089284918
32,IDEA-CCNL/Taiyi-vit-87M-D,0.868234935188446
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8751763089015036
34,karthiksv/vit-base-beans,0.8751528089284918
35,Symbermine/rare-puppers,0.8751528089284918
36,nateraw/vit-base-patch16-224-cifar10,0.869977653151145
37,gatecitypreservation/architectural_styles,0.8730964900999735
38,Amrrs/south-indian-foods,0.8742320997894278
39,hafidber/fruits,0.8723701623606072
40,nateraw/rare-puppers-123,0.8732880030746972
41,Aftabhussain/Tomato_Leaf_Classifier,0.8751528089284918
42,nickmuchi/vit-base-xray-pneumonia,0.8723701623606072
43,Neto71/sea_mammals,0.8848777306308875
44,lewtun/oz-fauna,0.8723701623606072
45,hgarg/fruits,0.8699223387093165
46,jasmeen/dogs,0.8853869828415015
47,b25mayank3/shirt_identifier,0.8848777306308875
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8732880030746972
49,facebook/convnext-base-224-22k,0.8764848223395828
50,nickmuchi/vit-finetuned-cats-dogs,0.8732880030746972
51,godiec/diam,0.8708430478483803
52,Rajaram1996/FacialEmoRecog,0.8844691421274117
53,nateraw/vit-base-beans-demo-v3,0.8761204056162342
54,firebolt/llama_or_what,0.8723701623606072
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8846436760353619
56,johnnydevriese/vit_beans,0.8622457465583149
57,nateraw/vit-age-classifier,0.8725446962685575
58,nateraw/vit-base-beans-demo-v2,0.8723701623606072
59,mmekias/vit-base-beans,0.8742320997894278
60,juanfiguera/ice_cream,0.8732880030746972
61,drab/Infrastructures,0.8742320997894278
62,nateraw/vit-base-beans,0.8742320997894278
63,Sena/dog,0.8751528089284918
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8732880030746972
65,hafidber/rare-puppers,0.8732880030746972
66,edixo/road_good_damaged_condition,0.8732880030746972
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8848777306308875
68,Sena/flowers,0.8730964900999735
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8716268555544674
70,johnnydevriese/vit-airplanes,0.8751528089284918
71,nateraw/pasta-shapes,0.8844691421274117
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8751528089284918
73,hgarg/indian-snacks,0.8723701623606072
74,nateraw/vit-base-food101,0.8841344238247478
75,Hijazzi/rare-puppers,0.8732880030746972
76,nateraw/trainer-rare-puppers,0.8732880030746972
77,ibombonato/vit-age-classifier,0.8837258353212719
78,nateraw/rare-puppers-new-auth,0.8732880030746972
79,SriramSridhar78/sriram-car-classifier,0.8846436760353619
80,ismgar01/vit-base-cats-vs-dogs,0.8732880030746972
81,nateraw/rare-puppers,0.8751528089284918
82,iyzg/computer-stuff,0.8751528089284918
83,nateraw/huggingpics-package-demo-2,0.8732880030746972
84,imjeffhi/pokemon_classifier,0.8725446962685575
85,nateraw/pasta-pizza-ravioli,0.8853869828415015
86,akahana/vit-base-cats-vs-dogs,0.8732880030746972
87,nateraw/donut-or-bagel,0.8742320997894278
88,nateraw/rare-puppers-09-04-2021,0.8742320997894278
89,nateraw/vit-base-cats-vs-dogs,0.8708430478483803
90,Zayn/VIT_Basic,0.8723701623606072
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8744095021223521
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.8659737504768786
93,microsoft/swin-large-patch4-window7-224-in22k,0.8846436760353619
94,Ahmed9275/Vit-Cifar100,0.8744095021223521
95,driboune/skin_type,0.8751528089284918
96,microsoft/swin-base-patch4-window7-224-in22k,0.8762978079491585
97,facebook/deit-base-patch16-224,0.868234935188446
98,facebook/deit-base-distilled-patch16-224,0.8725446962685575
99,eslamxm/vit-base-food101,0.8218677141787605
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8744330020953639
101,facebook/convnext-base-224,0.8744330020953639
102,facebook/convnext-small-224,0.8671735515021726
103,microsoft/swin-base-patch4-window7-224,0.8762978079491585
104,microsoft/beit-base-patch16-224,0.8446654088373609
105,mrm8488/convnext-tiny-finetuned-eurosat,0.8661460554824258
106,mrm8488/convnext-tiny-finetuned-beans,0.8683427112139103
107,facebook/convnext-tiny-224,0.8631940503095072
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8631940503095072
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8652422963263442
