,model,score
0,google/vit-base-patch16-224,0.8628614918743807
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8379107876151123
2,facebook/deit-base-patch16-224,0.8342658235761168
3,facebook/deit-base-distilled-patch16-224,0.8485154592303119
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8539959002084855
5,facebook/convnext-base-224,0.8605778491440514
6,facebook/convnext-small-224,0.8458342987211285
7,microsoft/swin-base-patch4-window7-224,0.8548127539166284
8,microsoft/beit-base-patch16-224,0.6388817399117827
9,facebook/convnext-tiny-224,0.8432562351216064
10,Visual-Attention-Network/van-small,0.8223479868390939
11,WinKawaks/vit-small-patch16-224,0.7362662600362075
12,facebook/deit-small-distilled-patch16-224,0.8236577999567385
13,Visual-Attention-Network/van-base,0.8445474831721351
14,facebook/deit-small-patch16-224,0.7442606426648498
15,microsoft/swin-small-patch4-window7-224,0.8475532128635401
16,Ahmed9275/ALL-3,0.8316273211217948
17,facebook/convnext-large-224,0.8754942121754418
18,WinKawaks/vit-tiny-patch16-224,0.3666833944673724
19,Visual-Attention-Network/van-tiny,0.8136223621496333
20,facebook/deit-tiny-distilled-patch16-224,0.36533121247841477
21,Ahmed9275/ALL-test,0.8316273211217948
22,facebook/deit-tiny-patch16-224,0.35267742698878707
23,microsoft/swin-tiny-patch4-window7-224,0.8328798515379328
24,Visual-Attention-Network/van-large,0.8604133095632759
25,google/vit-base-patch32-384,0.8562648466346058
26,facebook/convnext-base-224-22k-1k,0.8599244103071672
27,google/vit-large-patch32-384,0.870698627144814
28,microsoft/swin-large-patch4-window7-224,0.8708401837120112
29,lysandre/tiny-vit-random,0.03349390749632466
30,facebook/convnext-large-224-22k-1k,0.8741629842246493
31,facebook/convnext-base-384,0.8784984462770308
32,microsoft/resnet-50,0.8126908493398914
33,microsoft/beit-base-patch16-224-pt22k,0.62412576523136
34,microsoft/beit-large-patch16-224,0.6794176966236536
35,google/vit-large-patch16-224,0.8712496234829229
36,facebook/convnext-large-384,0.8800322590137084
37,facebook/convnext-large-384-22k-1k,0.8800322590137084
38,microsoft/beit-large-patch16-384,0.6746273778915399
39,nielsr/convnext-xlarge-224-22k-1k,0.8770878614606166
40,facebook/deit-base-patch16-384,0.8730137161481855
41,google/vit-base-patch16-384,0.875067421596848
42,facebook/deit-base-distilled-patch16-384,0.873784581265103
43,microsoft/swin-large-patch4-window12-384,0.8735029440601355
44,facebook/convnext-xlarge-224-22k-1k,0.8762809099928998
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8606513513103081
46,karthiksv/vit-base-patch16-224-cifar10,0.8831456264386313
47,nateraw/vit-base-patch16-224-cifar10,0.8619156405918841
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8831456264386313
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8664159946841054
50,jadohu/BEiT-finetuned,0.6949186472646506
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8824966253628738
52,nateraw/vit-base-beans-demo,0.8581529821956407
53,nickmuchi/vit-base-beans,0.8581529821956407
54,karthiksv/vit-base-beans,0.8594172714772167
55,nateraw/vit-base-beans-demo-v3,0.8627425938895306
56,johnnydevriese/vit_beans,0.8594172714772167
57,nateraw/vit-base-beans-demo-v2,0.8627425938895306
58,mmekias/vit-base-beans,0.8594172714772167
59,nateraw/vit-base-beans,0.8581529821956407
60,mrm8488/convnext-tiny-finetuned-beans,0.856541186628458
61,nielsr/vit-finetuned-eurosat-kornia,0.8491607616616456
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8374582419897046
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8450786691306539
64,Calin/convnext-tiny-finteuned-eurosat,0.8369043989812962
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8463429584122298
66,nielsr/convnext-tiny-finetuned-eurostat,0.8369043989812962
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8305782035894604
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8277737642565327
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8201533371155837
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8277737642565327
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8288535730016448
72,nielsr/convnext-tiny-finetuned-eurosat,0.8463429584122298
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8212331458606955
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8212331458606955
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8183352048255993
76,nielsr/van-base-finetuned-eurosat-imgaug,0.8396171764825546
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8277737642565327
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8277737642565327
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8183352048255993
80,eren23/pneumonia_test_attempt,0.8318447749621741
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8477740523478943
82,nickmuchi/vit-base-xray-pneumonia,0.8386675098904414
83,facebook/convnext-base-224-22k,0.8619294574602331
84,microsoft/swin-large-patch4-window7-224-in22k,0.872179184833989
85,microsoft/swin-base-patch4-window7-224-in22k,0.85616436223281
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.6710468869436128
87,facebook/convnext-large-224-22k,0.8784268625825942
88,facebook/convnext-xlarge-224-22k,0.8807419515859657
89,microsoft/swin-base-patch4-window12-384-in22k,0.8759102802045388
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.6898201184869694
91,nielsr/convnext-xlarge-224-22k,0.880020511867769
92,nickmuchi/vit-finetuned-cats-dogs,0.8445182631075331
93,ismgar01/vit-base-cats-vs-dogs,0.8445182631075331
94,akahana/vit-base-cats-vs-dogs,0.8437448793335338
95,nateraw/vit-base-cats-vs-dogs,0.836849602678567
96,nateraw/test_model_a,0.037703699954001996
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8602948996829476
98,Matthijs/snacks-classifier,0.8422727273388416
99,nateraw/vit-base-food101,0.8566904350224774
100,eslamxm/vit-base-food101,0.8442267957044275
101,SriramSridhar78/sriram-car-classifier,0.8690135912161857
102,imjeffhi/pokemon_classifier,0.8536531344378779
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.8400353442786465
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.5878160589496733
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8369695434811427
106,Ahmed9275/Vit-Cifar100,0.8524860840739593
