,model,score
0,Rajaram1996/FacialEmoRecog,0.8077818706177259
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.7980206222009311
2,Matthijs/snacks-classifier,0.8135545065065857
3,ibombonato/vit-age-classifier,0.8007873045936388
4,nateraw/vit-age-classifier,0.79132612734629
5,ibombonato/swin-age-classifier,0.7611846121578248
6,mmekias/vit-base-beans,0.8027745863022715
7,karthiksv/vit-base-beans,0.7902502424742263
8,nateraw/vit-base-beans,0.7819143517899093
9,johnnydevriese/vit_beans,0.7972288223363377
10,nickmuchi/vit-base-beans,0.7969949412073738
11,nateraw/vit-base-beans-demo,0.7971889983311722
12,nateraw/vit-base-beans-demo-v3,0.7994666741387316
13,mrm8488/convnext-tiny-finetuned-beans,0.8019816769384424
14,nateraw/vit-base-beans-demo-v2,0.7929401847816324
15,nateraw/vit-base-cats-vs-dogs,0.7944857589726892
16,nickmuchi/vit-finetuned-cats-dogs,0.8033565824229244
17,ismgar01/vit-base-cats-vs-dogs,0.7940964914822395
18,akahana/vit-base-cats-vs-dogs,0.7961887399379286
19,nateraw/test_model_a,0.2065563199271976
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.801195534113019
21,eren23/pneumonia_test_attempt,0.7863226129675926
22,nickmuchi/vit-base-xray-pneumonia,0.7940004276933165
23,nateraw/vit-base-patch16-224-cifar10,0.7893698398228268
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8085242666954209
25,karthiksv/vit-base-patch16-224-cifar10,0.8105618340206295
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8020446497829501
27,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.807377533338945
28,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8027395823182714
29,jadohu/BEiT-finetuned,0.736753235510968
30,Ahmed9275/Vit-Cifar100,0.7908932116917784
31,nielsr/vit-finetuned-eurosat-kornia,0.7911764481601579
32,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7693262733569738
33,Calin/convnext-tiny-finteuned-eurosat,0.7758947364841423
34,mrm8488/convnext-tiny-finetuned-eurosat,0.7760352375030801
35,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7914814649523721
36,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.7896973484597366
37,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7698138641377658
38,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7970169697332246
39,nielsr/convnext-tiny-finetuned-eurosat,0.7850924267244439
40,nielsr/convnext-tiny-finetuned-eurostat,0.7784089087038849
41,nielsr/van-base-finetuned-eurosat-imgaug,0.8073624447622962
42,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.7939683777058322
43,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8044517496566768
44,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.778060321885448
45,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8022011939650615
46,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7714954864649097
47,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8023380053620334
48,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7725432417566069
49,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7623480329108194
50,nateraw/vit-base-food101,0.7989745330669588
51,eslamxm/vit-base-food101,0.7932143575545233
52,nateraw/rare-puppers-09-04-2021,0.7911144604760962
53,nateraw/donut-or-bagel,0.7994841881800171
54,nateraw/huggingpics-package-demo-2,0.7982584058270952
55,nateraw/pasta-shapes,0.805754000201254
56,nateraw/pasta-pizza-ravioli,0.8065028669275107
57,driboune/skin_type,0.8022044192430581
58,jmarshall/rare-puppers,0.7959851148588747
59,firas-spanioli/beer-whisky-wine-detection,0.8015691831063644
60,b25mayank3/shirt_identifier,0.7925630062682161
61,Zayn/VIT_Basic,0.8049324091199882
62,jjhoffstein/lotr,0.806494504786103
63,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.803338691647965
64,juanfiguera/ice_cream,0.8047907246241504
65,nateraw/rare-puppers-123,0.7946471078299906
66,micole66/dwarf-goats,0.8037721356799058
67,nateraw/baked-goods,0.7994936845841967
68,nateraw/rare-puppers-new-auth,0.7827389047759583
69,hafidber/rare-puppers,0.807588472748402
70,HHousen/household-rooms,0.7966368365419606
71,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.7995750121671308
72,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.79291585490797
73,Suzana/new-york-tokyo-london,0.7995450019162728
74,nateraw/rare-puppers-demo,0.7996543765599675
75,Sena/dog,0.7850874395867932
76,Neto71/sea_mammals,0.8078243935802761
77,Symbermine/rare-puppers,0.8009107291839983
78,hgarg/indian-snacks,0.7916490441186359
79,Hijazzi/rare-puppers,0.8015813843870019
80,Amrrs/indian-foods,0.7952556458752944
81,filipafcastro/beer_vs_wine,0.799810249462527
82,jeffboudier/vision-transformers-spain-or-italy-fan,0.8002791527425573
83,ferdinand/rare-puppers,0.8034390949471036
84,black/simple_kitchen,0.7983412193467082
85,drab/Infrastructures,0.8066814871052204
86,firebolt/llama_or_what,0.7894338850807979
87,ajanco/greens,0.8112066426301628
88,Frodnar/bee-likes,0.7957308150530018
89,mmgyorke/vit-world-landmarks,0.8020999848006128
90,nateraw/doggos-lol,0.7991121383787315
91,nateraw/ex-for-evan,0.8022948335517459
92,Amrrs/south-indian-foods,0.8001198908389956
93,Sena/flowers,0.8028073499027967
94,Giuliano/places,0.8069614919428953
95,gatecitypreservation/architectural_styles,0.7980410723541199
96,nateraw/baseball-stadium-foods,0.7881400528104804
97,lewtun/oz-fauna,0.7972572460333222
98,meame2010/rare-puppers,0.8061088751046485
99,LorenzoDeMattei/lawn-weeds,0.7945533968959925
100,hafidber/fruits,0.80788209766337
101,nateraw/trainer-rare-puppers,0.7834802301497724
102,godiec/diam,0.8016722079126289
103,hgarg/fruits,0.8045313411123941
104,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.7950300045084474
105,Nonem100/Test-Model,0.794360169075607
106,johnnydevriese/vit-airplanes,0.7992591568375961
107,AhmedSayeem/VIT_Basic,0.7982168412818315
108,iyzg/computer-stuff,0.7935907064715327
109,flyswot/test,0.734135652618502
110,nateraw/planes-trains-automobiles,0.7953046316355734
111,Aftabhussain/Tomato_Leaf_Classifier,0.8105898200412195
112,edixo/road_good_damaged_condition,0.8064040872652815
113,firebolt/llama_or_what2,0.795040024001576
114,ipvikas/rare-puppers,0.7784307588816243
115,jasmeen/dogs,0.7978231592352425
116,julien-c/hotdog-not-hotdog,0.80367873926178
117,nateraw/denver-nyc-paris,0.8057696733429186
118,nateraw/rare-puppers,0.7943170055413278
119,IDEA-CCNL/Taiyi-vit-87M-D,0.7993779272979334
120,google/vit-base-patch32-384,0.8058653501964053
121,WinKawaks/vit-small-patch16-224,0.7621643322695734
122,google/vit-base-patch16-224,0.8201035801021591
123,microsoft/swin-large-patch4-window7-224,0.83598986397443
124,facebook/deit-base-distilled-patch16-224,0.8020525737614282
125,facebook/deit-base-patch16-224,0.7925756484860641
126,facebook/deit-small-distilled-patch16-224,0.7660043719498772
127,Ahmed9275/ALL-test,0.8095411393398887
128,facebook/deit-small-patch16-224,0.7562181672539323
129,facebook/deit-tiny-distilled-patch16-224,0.7321231502118418
130,microsoft/swin-tiny-patch4-window7-224,0.7632114824970226
131,Visual-Attention-Network/van-base,0.8003088238864212
132,facebook/convnext-tiny-224,0.7926306285817075
133,facebook/deit-tiny-patch16-224,0.7319257475606896
134,facebook/convnext-base-224,0.8122325898917527
135,facebook/convnext-large-224,0.8130095574193568
136,Visual-Attention-Network/van-small,0.7918462970378549
137,microsoft/swin-small-patch4-window7-224,0.8051111167393568
138,Ahmed9275/ALL-3,0.8048451546983596
139,WinKawaks/vit-tiny-patch16-224,0.7133472591746444
140,Visual-Attention-Network/van-tiny,0.7664814359389607
141,microsoft/swin-base-patch4-window7-224,0.8147851635064375
142,facebook/convnext-small-224,0.7956225435493927
143,microsoft/beit-base-patch16-224-pt22k,0.7314049369689617
144,mrm8488/data2vec-base-finetuned-imagenet1k,0.785458832057915
145,Visual-Attention-Network/van-large,0.8110327276939198
146,microsoft/beit-base-patch16-224,0.7269020853696704
147,microsoft/resnet-50,0.7863105449563029
148,lysandre/tiny-vit-random,0.2335615497863449
