,model,score
0,firebolt/llama_or_what2,0.8934860559073641
1,google/vit-base-patch16-224,0.8994700958839077
2,nateraw/denver-nyc-paris,0.902282756255036
3,black/simple_kitchen,0.9023523785534358
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.9012714349087756
5,Suzana/new-york-tokyo-london,0.8931326285539288
6,filipafcastro/beer_vs_wine,0.8909179937799108
7,nateraw/baked-goods,0.8949034645902988
8,ajanco/greens,0.8777669553596739
9,nateraw/vit-base-beans-demo,0.8900859669868875
10,HHousen/household-rooms,0.9010699306130292
11,Amrrs/indian-foods,0.8928966239325655
12,nateraw/planes-trains-automobiles,0.8911330303058377
13,julien-c/hotdog-not-hotdog,0.9029020827365306
14,jmarshall/rare-puppers,0.8903310463054828
15,nielsr/vit-finetuned-eurosat-kornia,0.8918302242950057
16,eren23/pneumonia_test_attempt,0.8925291845271316
17,micole66/dwarf-goats,0.902133622284517
18,nateraw/ex-for-evan,0.9011763345031146
19,karthiksv/vit-base-patch16-224-cifar10,0.9028755438553088
20,ferdinand/rare-puppers,0.9013186344207135
21,ipvikas/rare-puppers,0.9035518660439936
22,Frodnar/bee-likes,0.8897856258827979
23,nickmuchi/vit-base-beans,0.8926012870759905
24,nateraw/baseball-stadium-foods,0.8893016775950207
25,Giuliano/places,0.9006454603127678
26,firas-spanioli/beer-whisky-wine-detection,0.9024959852635445
27,jjhoffstein/lotr,0.8931232087226043
28,Nonem100/Test-Model,0.882519918539486
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8896373160040025
30,LorenzoDeMattei/lawn-weeds,0.8918435527339806
31,nateraw/doggos-lol,0.901868439310654
32,IDEA-CCNL/Taiyi-vit-87M-D,0.9015292823237617
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.9019169741530679
34,karthiksv/vit-base-beans,0.889891654326435
35,Symbermine/rare-puppers,0.902533332787173
36,nateraw/vit-base-patch16-224-cifar10,0.8899498646688884
37,gatecitypreservation/architectural_styles,0.8993749882876613
38,Amrrs/south-indian-foods,0.8940105859121278
39,hafidber/fruits,0.903450467330706
40,nateraw/rare-puppers-123,0.9037438614067352
41,Aftabhussain/Tomato_Leaf_Classifier,0.9016924899596988
42,nickmuchi/vit-base-xray-pneumonia,0.9029232294135757
43,Neto71/sea_mammals,0.9020634108839606
44,lewtun/oz-fauna,0.9010865674665949
45,hgarg/fruits,0.9009707953875544
46,jasmeen/dogs,0.9035908096350198
47,b25mayank3/shirt_identifier,0.9041605174575699
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.9019643904004826
49,facebook/convnext-base-224-22k,0.8984106255865659
50,nickmuchi/vit-finetuned-cats-dogs,0.8820179674500115
51,godiec/diam,0.9004001104910455
52,Rajaram1996/FacialEmoRecog,0.9020034957144591
53,nateraw/vit-base-beans-demo-v3,0.8984564317853837
54,firebolt/llama_or_what,0.9021302631757051
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8993884189734154
56,johnnydevriese/vit_beans,0.892731009316595
57,nateraw/vit-age-classifier,0.8866825560424059
58,nateraw/vit-base-beans-demo-v2,0.9015202917401258
59,mmekias/vit-base-beans,0.8916632788262507
60,juanfiguera/ice_cream,0.9002383353926176
61,drab/Infrastructures,0.9030372750781381
62,nateraw/vit-base-beans,0.8988966648701254
63,Sena/dog,0.9017982229709881
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.903258695080467
65,hafidber/rare-puppers,0.8781373601851656
66,edixo/road_good_damaged_condition,0.903450467330706
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9023070269708934
68,Sena/flowers,0.9010889152450219
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8994158561041626
70,johnnydevriese/vit-airplanes,0.8917987011189262
71,nateraw/pasta-shapes,0.9013217840530531
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8921473132521129
73,hgarg/indian-snacks,0.8933833419570673
74,nateraw/vit-base-food101,0.902527954665975
75,Hijazzi/rare-puppers,0.8911349978728451
76,nateraw/trainer-rare-puppers,0.8998882927940958
77,ibombonato/vit-age-classifier,0.8992340185666279
78,nateraw/rare-puppers-new-auth,0.8934855220279491
79,SriramSridhar78/sriram-car-classifier,0.9012130140680409
80,ismgar01/vit-base-cats-vs-dogs,0.8933625070500523
81,nateraw/rare-puppers,0.8920656538651559
82,iyzg/computer-stuff,0.9016401821174332
83,nateraw/huggingpics-package-demo-2,0.9032037938872848
84,imjeffhi/pokemon_classifier,0.8906837729393143
85,nateraw/pasta-pizza-ravioli,0.903444964891214
86,akahana/vit-base-cats-vs-dogs,0.9010374001297871
87,nateraw/donut-or-bagel,0.9021968695445512
88,nateraw/rare-puppers-09-04-2021,0.8989655389552863
89,nateraw/vit-base-cats-vs-dogs,0.889685330569675
90,Zayn/VIT_Basic,0.8985461054554859
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8987844474830874
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.9013203358649337
93,microsoft/swin-large-patch4-window7-224-in22k,0.9158117912725691
94,Ahmed9275/Vit-Cifar100,0.9005600846758922
95,driboune/skin_type,0.903533444460406
96,microsoft/swin-base-patch4-window7-224-in22k,0.9051585945551294
97,facebook/deit-base-patch16-224,0.8991212880904407
98,facebook/deit-base-distilled-patch16-224,0.8972723215520338
99,eslamxm/vit-base-food101,0.9002792446754474
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.8986975288376315
101,facebook/convnext-base-224,0.9026418425503655
102,facebook/convnext-small-224,0.8829060914833587
103,microsoft/swin-base-patch4-window7-224,0.9070838791980721
104,microsoft/beit-base-patch16-224,0.8201225142506864
105,mrm8488/convnext-tiny-finetuned-eurosat,0.848606839168524
106,mrm8488/convnext-tiny-finetuned-beans,0.8596413298316576
107,facebook/convnext-tiny-224,0.8590556471295591
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8597361211957028
109,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8364861336478231
110,AkshatSurolia/ConvNeXt-FaceMask-Finetuned,0.832295566626237
111,Calin/convnext-tiny-finteuned-eurosat,0.842969186570642
112,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8414781402207562
113,Visual-Attention-Network/van-small,0.8706698767833216
114,WinKawaks/vit-small-patch16-224,0.818468055660172
115,facebook/deit-small-distilled-patch16-224,0.8519125740132928
116,Visual-Attention-Network/van-base,0.9015420475514918
117,jadohu/BEiT-finetuned,0.8317988125396388
118,nielsr/convnext-tiny-finetuned-eurostat,0.833434023167204
119,facebook/deit-small-patch16-224,0.7936788232518218
120,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8712654700886268
121,microsoft/swin-small-patch4-window7-224,0.8999339459679103
122,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8591018959885903
123,Ahmed9275/ALL-3,0.8707617676796104
124,facebook/convnext-large-224,0.9184450736724155
125,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8314294346777937
126,WinKawaks/vit-tiny-patch16-224,0.7656289279142015
127,Visual-Attention-Network/van-tiny,0.831714317612296
128,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8524717851533213
129,facebook/deit-tiny-distilled-patch16-224,0.7383599006315587
130,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8376893336525347
131,nielsr/convnext-tiny-finetuned-eurosat,0.8282515228608439
132,ibombonato/swin-age-classifier,0.8229459087194904
133,Ahmed9275/ALL-test,0.8913577272703463
134,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8161893431683993
135,facebook/deit-tiny-patch16-224,0.7462388449658474
136,microsoft/swin-tiny-patch4-window7-224,0.8430921992200485
137,flyswot/test,0.7587492561827028
138,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.853583282988973
139,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8369459767788534
140,nielsr/van-base-finetuned-eurosat-imgaug,0.9021435485988104
141,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.842299213886429
142,Visual-Attention-Network/van-large,0.9020178300515767
143,Matthijs/snacks-classifier,0.8744289967472295
144,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8220983217735051
145,nateraw/test_model_a,0.14963016007792004
146,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8171189305730242
147,google/vit-base-patch32-384,0.9031724477824586
148,nateraw/rare-puppers-demo,0.893974461229144
149,AkshatSurolia/BEiT-FaceMask-Finetuned,0.8118699075892367
150,AkshatSurolia/DeiT-FaceMask-Finetuned,0.893966552269479
151,meame2010/rare-puppers,0.9029342082907722
152,facebook/convnext-base-224-22k-1k,0.9058460038142826
153,google/vit-large-patch32-384,0.9146888614726091
154,microsoft/swin-large-patch4-window7-224,0.9151546852734325
155,mmgyorke/vit-world-landmarks,0.8918116530526231
156,lysandre/tiny-vit-random,0.331297731274242
157,AhmedSayeem/VIT_Basic,0.8798006706168322
158,facebook/convnext-large-224-22k-1k,0.9170357397149118
159,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.9016097108702321
160,facebook/convnext-base-384,0.9174611965233388
161,microsoft/resnet-50,0.8359996394496555
162,microsoft/beit-base-patch16-224-pt22k,0.8112587433643873
163,microsoft/beit-large-patch16-224,0.8484389838976051
164,facebook/convnext-large-224-22k,0.9178442022984825
165,google/vit-large-patch16-224,0.9155178464195661
166,facebook/convnext-large-384,0.9188109422497862
167,facebook/convnext-xlarge-224-22k,0.9190574108679509
