,model,score
0,google/vit-base-patch16-224,0.8801108603914897
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8734878700064229
2,facebook/deit-base-patch16-224,0.8813269662271036
3,facebook/deit-base-distilled-patch16-224,0.873596866381481
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8660317273491206
5,facebook/convnext-base-224,0.8822188366702202
6,facebook/convnext-small-224,0.8852942957171854
7,microsoft/swin-base-patch4-window7-224,0.863067064773992
8,microsoft/beit-base-patch16-224,0.8260195555582389
9,facebook/convnext-tiny-224,0.8618931692756397
10,Visual-Attention-Network/van-small,0.8524170396033268
11,WinKawaks/vit-small-patch16-224,0.8333515891226524
12,facebook/deit-small-distilled-patch16-224,0.8605547468901515
13,Visual-Attention-Network/van-base,0.8847167764598837
14,facebook/deit-small-patch16-224,0.8412999665076477
15,microsoft/swin-small-patch4-window7-224,0.8721898567486348
16,Ahmed9275/ALL-3,0.8777401287974455
17,facebook/convnext-large-224,0.8734261131339626
18,WinKawaks/vit-tiny-patch16-224,0.7651482848631013
19,Visual-Attention-Network/van-tiny,0.8434813449565023
20,facebook/deit-tiny-distilled-patch16-224,0.7596628732382007
21,Ahmed9275/ALL-test,0.8728851707227507
22,facebook/deit-tiny-patch16-224,0.7637115343042278
23,microsoft/swin-tiny-patch4-window7-224,0.8461371877705145
24,Visual-Attention-Network/van-large,0.8538443210608087
25,google/vit-base-patch32-384,0.8606940387198933
26,facebook/convnext-base-224-22k-1k,0.8722495733492406
27,google/vit-large-patch32-384,0.8664190949152532
28,microsoft/swin-large-patch4-window7-224,0.8832002942114064
29,lysandre/tiny-vit-random,0.09885201160986347
30,facebook/convnext-large-224-22k-1k,0.8898670158847637
31,facebook/convnext-base-384,0.8792755549526361
32,microsoft/resnet-50,0.8543453430803686
33,microsoft/beit-base-patch16-224-pt22k,0.8218538405664387
34,microsoft/beit-large-patch16-224,0.7900938075641357
35,google/vit-large-patch16-224,0.872028311824329
