,model,score
0,firebolt/llama_or_what2,0.8433505506077579
1,google/vit-base-patch16-224,0.8523794645200575
2,nateraw/denver-nyc-paris,0.8479305742754534
3,black/simple_kitchen,0.8436605484343209
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8422861057042117
5,Suzana/new-york-tokyo-london,0.8450729826515696
6,filipafcastro/beer_vs_wine,0.8466925500048568
7,nateraw/baked-goods,0.8463616456985683
8,ajanco/greens,0.8416243934352046
9,nateraw/vit-base-beans-demo,0.8447353522601176
10,HHousen/household-rooms,0.850406575950085
11,Amrrs/indian-foods,0.8469666716300942
12,nateraw/planes-trains-automobiles,0.8458859335578387
13,julien-c/hotdog-not-hotdog,0.8496228817195935
14,jmarshall/rare-puppers,0.8437596466304718
15,nielsr/vit-finetuned-eurosat-kornia,0.8505677395768992
16,eren23/pneumonia_test_attempt,0.8420474939765432
17,micole66/dwarf-goats,0.8421678784778923
18,nateraw/ex-for-evan,0.8437663730245916
19,karthiksv/vit-base-patch16-224-cifar10,0.8516174012923478
20,ferdinand/rare-puppers,0.8464360646692249
21,ipvikas/rare-puppers,0.8429137081648327
22,Frodnar/bee-likes,0.8493694268170767
23,nickmuchi/vit-base-beans,0.8412144893187516
24,nateraw/baseball-stadium-foods,0.8463062033538286
25,Giuliano/places,0.8488282719799735
26,firas-spanioli/beer-whisky-wine-detection,0.8539730959102831
27,jjhoffstein/lotr,0.8470819713717
28,Nonem100/Test-Model,0.846781158726331
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8423074590653445
30,LorenzoDeMattei/lawn-weeds,0.8477905504294422
31,nateraw/doggos-lol,0.8454007417254549
32,IDEA-CCNL/Taiyi-vit-87M-D,0.8492052985910504
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8405600805120416
34,karthiksv/vit-base-beans,0.8468753980987082
35,Symbermine/rare-puppers,0.8498561912290209
36,nateraw/vit-base-patch16-224-cifar10,0.8445829657487515
37,gatecitypreservation/architectural_styles,0.85060912533205
38,Amrrs/south-indian-foods,0.8483572123029433
39,hafidber/fruits,0.8506064914983387
40,nateraw/rare-puppers-123,0.848129753459164
41,Aftabhussain/Tomato_Leaf_Classifier,0.8426760253088977
42,nickmuchi/vit-base-xray-pneumonia,0.8475239173396254
43,Neto71/sea_mammals,0.8603711088632909
44,lewtun/oz-fauna,0.8543527485324541
45,hgarg/fruits,0.8423720444218601
46,jasmeen/dogs,0.8538519403163771
47,b25mayank3/shirt_identifier,0.8586467729228316
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.8465927227749427
49,facebook/convnext-base-224-22k,0.8455840435475515
50,nickmuchi/vit-finetuned-cats-dogs,0.8441584731499505
51,godiec/diam,0.848835197180113
52,Rajaram1996/FacialEmoRecog,0.8579016455362233
53,nateraw/vit-base-beans-demo-v3,0.8444303543446274
54,firebolt/llama_or_what,0.8480073775555538
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8583007502566916
56,johnnydevriese/vit_beans,0.84983353928583
57,nateraw/vit-age-classifier,0.8384398836385768
58,nateraw/vit-base-beans-demo-v2,0.8395952614883675
59,mmekias/vit-base-beans,0.8492819466299797
