,model,score
0,Rajaram1996/FacialEmoRecog,0.869360998632693
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8574897451242662
2,Matthijs/snacks-classifier,0.8455599909914604
3,ibombonato/vit-age-classifier,0.8634142418249641
4,nateraw/vit-age-classifier,0.8572349408273472
5,ibombonato/swin-age-classifier,0.8310964239411601
6,mmekias/vit-base-beans,0.8564560602956939
7,karthiksv/vit-base-beans,0.8545534935383274
8,nateraw/vit-base-beans,0.8442036313263397
9,johnnydevriese/vit_beans,0.8528619310014842
10,nickmuchi/vit-base-beans,0.844472280090612
11,nateraw/vit-base-beans-demo,0.8448280639819349
12,nateraw/vit-base-beans-demo-v3,0.8507645492785152
13,mrm8488/convnext-tiny-finetuned-beans,0.8373605366103508
14,nateraw/vit-base-beans-demo-v2,0.8608268086682144
15,nateraw/vit-base-cats-vs-dogs,0.8534971249957504
16,nickmuchi/vit-finetuned-cats-dogs,0.8521915800446646
17,ismgar01/vit-base-cats-vs-dogs,0.8504235674000141
18,akahana/vit-base-cats-vs-dogs,0.8556425953441178
19,nateraw/test_model_a,0.15817282608827193
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8636351070990361
21,eren23/pneumonia_test_attempt,0.8551311807799529
22,nickmuchi/vit-base-xray-pneumonia,0.8549153962788147
23,nateraw/vit-base-patch16-224-cifar10,0.8554499611940757
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8595135798374954
25,karthiksv/vit-base-patch16-224-cifar10,0.8583124156765725
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8602012986374268
27,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8568742491300867
28,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8537395742244073
29,jadohu/BEiT-finetuned,0.7877111558874976
30,Ahmed9275/Vit-Cifar100,0.8560875681242588
31,nielsr/vit-finetuned-eurosat-kornia,0.8550420048722089
32,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8238444372127678
33,Calin/convnext-tiny-finteuned-eurosat,0.8315810320519393
34,mrm8488/convnext-tiny-finetuned-eurosat,0.8278767554714186
35,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8463681513344453
36,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8546400162006538
37,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8264457646939734
38,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8474105450073195
39,nielsr/convnext-tiny-finetuned-eurosat,0.8251460970100508
40,nielsr/convnext-tiny-finetuned-eurostat,0.8340028548733778
41,nielsr/van-base-finetuned-eurosat-imgaug,0.844535142849193
42,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8483560574926993
43,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8436356444812766
44,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8110742416256222
45,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.846037810014182
46,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8149445359558156
47,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8492505095478781
48,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8242988413654209
49,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8199430969075153
50,nateraw/vit-base-food101,0.8642004133399872
51,eslamxm/vit-base-food101,0.8438102660114143
52,nateraw/rare-puppers-09-04-2021,0.8471544764005334
53,nateraw/donut-or-bagel,0.8522884463896543
54,nateraw/huggingpics-package-demo-2,0.8528847863284816
55,nateraw/pasta-shapes,0.8670968604193793
56,nateraw/pasta-pizza-ravioli,0.8648137735323316
57,driboune/skin_type,0.8418050791485939
58,jmarshall/rare-puppers,0.8524643404647589
59,firas-spanioli/beer-whisky-wine-detection,0.8647399362032224
60,b25mayank3/shirt_identifier,0.8662934952939891
61,Zayn/VIT_Basic,0.8557124168250619
62,jjhoffstein/lotr,0.8505269982086197
63,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.8646722049098479
64,juanfiguera/ice_cream,0.8557045049348306
65,nateraw/rare-puppers-123,0.8539748356317793
66,micole66/dwarf-goats,0.8556118945225607
67,nateraw/baked-goods,0.8566955896849516
68,nateraw/rare-puppers-new-auth,0.8480108368346119
69,hafidber/rare-puppers,0.8376270599194625
70,HHousen/household-rooms,0.8583622999260928
71,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.8472851029061489
72,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.8484468613249508
73,Suzana/new-york-tokyo-london,0.8545131635474666
74,nateraw/rare-puppers-demo,0.85069858011153
75,Sena/dog,0.8496647351722721
76,Neto71/sea_mammals,0.8655095167665735
77,Symbermine/rare-puppers,0.8475928146735896
78,hgarg/indian-snacks,0.8447530098555375
79,Hijazzi/rare-puppers,0.843939651224508
80,Amrrs/indian-foods,0.8516111371199258
81,filipafcastro/beer_vs_wine,0.8474850474910024
82,jeffboudier/vision-transformers-spain-or-italy-fan,0.8493349665643548
83,ferdinand/rare-puppers,0.8593995981457878
84,black/simple_kitchen,0.8526139394357916
