,model,score
0,Rajaram1996/FacialEmoRecog,0.833667459143159
1,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8347526151961064
2,Matthijs/snacks-classifier,0.803782821418048
3,ibombonato/vit-age-classifier,0.8396277688039216
4,nateraw/vit-age-classifier,0.8356783949696385
5,ibombonato/swin-age-classifier,0.7995614751848756
6,mmekias/vit-base-beans,0.8308099584468392
7,karthiksv/vit-base-beans,0.8387273471074199
8,nateraw/vit-base-beans,0.831061856219478
9,johnnydevriese/vit_beans,0.8296975915604843
10,nickmuchi/vit-base-beans,0.8360156137483499
11,nateraw/vit-base-beans-demo,0.8319416343195603
12,nateraw/vit-base-beans-demo-v3,0.841636836664515
13,mrm8488/convnext-tiny-finetuned-beans,0.8289530345113011
14,nateraw/vit-base-beans-demo-v2,0.8350231781489988
15,nateraw/vit-base-cats-vs-dogs,0.8360794797971262
16,nickmuchi/vit-finetuned-cats-dogs,0.8361766048749021
17,ismgar01/vit-base-cats-vs-dogs,0.8164411352340538
18,akahana/vit-base-cats-vs-dogs,0.8340893742869355
19,nateraw/test_model_a,0.18434435811435
20,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8292418919141217
21,eren23/pneumonia_test_attempt,0.8311142514552562
22,nickmuchi/vit-base-xray-pneumonia,0.8236990745125111
23,nateraw/vit-base-patch16-224-cifar10,0.8351797092162923
24,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8481393351374897
25,karthiksv/vit-base-patch16-224-cifar10,0.8461443977583808
26,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8460849745167499
27,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8417642107611952
28,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8337707749721659
29,jadohu/BEiT-finetuned,0.7464053315682203
30,Ahmed9275/Vit-Cifar100,0.8310259120219478
31,nielsr/vit-finetuned-eurosat-kornia,0.8246002627729415
32,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7982200740209809
33,Calin/convnext-tiny-finteuned-eurosat,0.8173465205107543
34,mrm8488/convnext-tiny-finetuned-eurosat,0.8026198989143594
35,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8263458636078724
36,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8276427707361488
37,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.7960062942649215
38,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8160542032619348
39,nielsr/convnext-tiny-finetuned-eurosat,0.819016366090137
40,nielsr/convnext-tiny-finetuned-eurostat,0.808401659042285
41,nielsr/van-base-finetuned-eurosat-imgaug,0.820613985739592
42,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8157483360604713
43,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8163004508431017
44,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7881182023564877
45,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8108424149148926
46,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.7967634213324404
47,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8223355837535494
48,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.801232162309538
49,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8037325049764654
50,nateraw/vit-base-food101,0.8433325936141035
51,eslamxm/vit-base-food101,0.8341152290544845
52,nateraw/rare-puppers-09-04-2021,0.8328134410507566
53,nateraw/donut-or-bagel,0.8406706988068197
54,nateraw/huggingpics-package-demo-2,0.832789819289222
55,nateraw/pasta-shapes,0.835640806149339
56,nateraw/pasta-pizza-ravioli,0.8459206469612022
57,driboune/skin_type,0.8425727693086413
58,jmarshall/rare-puppers,0.8330071366057494
