,model,score
0,firebolt/llama_or_what2,0.6329594610308221
1,google/vit-base-patch16-224,0.6208438701385548
2,nateraw/denver-nyc-paris,0.6605458005721303
3,black/simple_kitchen,0.6478451458447521
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.6506784829949833
5,Suzana/new-york-tokyo-london,0.6422514394467497
6,filipafcastro/beer_vs_wine,0.6380680514079028
7,nateraw/baked-goods,0.6480833564734827
8,ajanco/greens,0.6192479010329108
9,nateraw/vit-base-beans-demo,0.6236218221311023
10,HHousen/household-rooms,0.6419227604814388
11,Amrrs/indian-foods,0.6473667276829818
12,nateraw/planes-trains-automobiles,0.5879150412813996
13,julien-c/hotdog-not-hotdog,0.6457578805420785
14,jmarshall/rare-puppers,0.6472981619508649
15,nielsr/vit-finetuned-eurosat-kornia,0.6490017477053499
16,eren23/pneumonia_test_attempt,0.6282298963898385
17,micole66/dwarf-goats,0.6568284105890001
18,nateraw/ex-for-evan,0.6409235111043958
19,karthiksv/vit-base-patch16-224-cifar10,0.6576095344203761
20,ferdinand/rare-puppers,0.6334713175869103
21,ipvikas/rare-puppers,0.6373884279186917
22,Frodnar/bee-likes,0.6390093416539653
23,nickmuchi/vit-base-beans,0.6130306224462833
24,nateraw/baseball-stadium-foods,0.6428541219781756
25,Giuliano/places,0.647666467931589
26,firas-spanioli/beer-whisky-wine-detection,0.654195632986175
27,jjhoffstein/lotr,0.6437415827966739
28,Nonem100/Test-Model,0.6311064113031903
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.6302183147452896
30,LorenzoDeMattei/lawn-weeds,0.6320513086833237
31,nateraw/doggos-lol,0.636597797207779
32,IDEA-CCNL/Taiyi-vit-87M-D,0.619875719678569
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.6523164858584871
34,karthiksv/vit-base-beans,0.6537950072954153
35,Symbermine/rare-puppers,0.6410541726481227
36,nateraw/vit-base-patch16-224-cifar10,0.6451545285806273
37,gatecitypreservation/architectural_styles,0.6560658261481737
38,Amrrs/south-indian-foods,0.6503274105403989
39,hafidber/fruits,0.6385459224261374
40,nateraw/rare-puppers-123,0.6533765404177356
41,Aftabhussain/Tomato_Leaf_Classifier,0.6462099704317779
42,nickmuchi/vit-base-xray-pneumonia,0.6165863909709265
43,Neto71/sea_mammals,0.6536322987209313
44,lewtun/oz-fauna,0.6470776044009172
45,hgarg/fruits,0.6135896591466522
46,jasmeen/dogs,0.6387359203075758
47,b25mayank3/shirt_identifier,0.6572722441408372
48,jeffboudier/vision-transformers-spain-or-italy-fan,0.6474714102836578
49,facebook/convnext-base-224-22k,0.6657662151077861
50,nickmuchi/vit-finetuned-cats-dogs,0.635456947822312
51,godiec/diam,0.6406515325862859
52,Rajaram1996/FacialEmoRecog,0.654553099952115
53,nateraw/vit-base-beans-demo-v3,0.6318560434508782
54,firebolt/llama_or_what,0.626902036494008
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.6583289015443092
56,johnnydevriese/vit_beans,0.6240896809511975
57,nateraw/vit-age-classifier,0.6160418825784393
58,nateraw/vit-base-beans-demo-v2,0.613241469093244
59,mmekias/vit-base-beans,0.658594159605066
60,juanfiguera/ice_cream,0.6452237480031944
61,drab/Infrastructures,0.6444608713741018
62,nateraw/vit-base-beans,0.6434844850093339
63,Sena/dog,0.6530719974609929
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.6244018689775528
65,hafidber/rare-puppers,0.6662717483540876
66,edixo/road_good_damaged_condition,0.6534224737018497
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,0.6321935449683685
68,Sena/flowers,0.623656253259755
69,matteopilotto/vit-base-patch16-224-in21k-snacks,0.6213019197242802
70,johnnydevriese/vit-airplanes,0.6135333401528874
71,nateraw/pasta-shapes,0.644387802967768
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.6357947388714456
73,hgarg/indian-snacks,0.6500997004277471
74,nateraw/vit-base-food101,0.6581535041805813
75,Hijazzi/rare-puppers,0.6293571859944472
76,nateraw/trainer-rare-puppers,0.6450633999191935
77,ibombonato/vit-age-classifier,0.6402498258962191
78,nateraw/rare-puppers-new-auth,0.6340589128186613
79,SriramSridhar78/sriram-car-classifier,0.6355265450031304
80,ismgar01/vit-base-cats-vs-dogs,0.6171318458768013
81,nateraw/rare-puppers,0.6532672502471574
82,iyzg/computer-stuff,0.6342929384510624
83,nateraw/huggingpics-package-demo-2,0.6500052312260423
84,imjeffhi/pokemon_classifier,0.5837001705628324
85,nateraw/pasta-pizza-ravioli,0.6379718385167162
86,akahana/vit-base-cats-vs-dogs,0.6304623362048688
87,nateraw/donut-or-bagel,0.6663890086087443
88,nateraw/rare-puppers-09-04-2021,0.6447205878375495
89,nateraw/vit-base-cats-vs-dogs,0.6428231451658803
90,Zayn/VIT_Basic,0.6249581756831813
91,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.6417318093359791
92,AkshatSurolia/ViT-FaceMask-Finetuned,0.5991456328347167
93,microsoft/swin-large-patch4-window7-224-in22k,0.6438537381218928
94,Ahmed9275/Vit-Cifar100,0.6253805939749626
95,driboune/skin_type,0.6568069981695669
96,microsoft/swin-base-patch4-window7-224-in22k,0.6418349297764385
97,facebook/deit-base-patch16-224,0.5889237872110952
98,facebook/deit-base-distilled-patch16-224,0.6016389338271133
99,eslamxm/vit-base-food101,0.6250757473953698
100,mrm8488/data2vec-base-finetuned-imagenet1k,0.6051016340442371
101,facebook/convnext-base-224,0.6138152328594814
102,facebook/convnext-small-224,0.5691546510324897
103,microsoft/swin-base-patch4-window7-224,0.6288717579099052
104,microsoft/beit-base-patch16-224,0.57481266323791
105,mrm8488/convnext-tiny-finetuned-eurosat,0.6296226256139438
106,mrm8488/convnext-tiny-finetuned-beans,0.6312868563458033
107,facebook/convnext-tiny-224,0.6037296755349004
108,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.6346260882071758
