,model,score
0,google/vit-base-patch16-224,0.8646181477492922
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8646181376680516
2,facebook/deit-base-patch16-224,0.864618135685569
3,facebook/deit-base-distilled-patch16-224,0.8636097181426875
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8646663406999201
5,facebook/convnext-base-224,0.8619896928110534
6,facebook/convnext-small-224,0.8938986822769728
7,microsoft/swin-base-patch4-window7-224,0.8630508256415588
8,microsoft/beit-base-patch16-224,0.8646663395659999
9,facebook/convnext-tiny-224,0.8522762695763414
10,Visual-Attention-Network/van-small,0.7831962590008393
11,WinKawaks/vit-small-patch16-224,0.8258662332563041
12,facebook/deit-small-distilled-patch16-224,0.8276140156618147
13,Visual-Attention-Network/van-base,0.844884410385153
14,facebook/deit-small-patch16-224,0.825866233232077
15,microsoft/swin-small-patch4-window7-224,0.8935740536487894
16,Ahmed9275/ALL-3,0.8512106783945457
17,facebook/convnext-large-224,0.9242273839403344
18,WinKawaks/vit-tiny-patch16-224,0.730559511765095
19,Visual-Attention-Network/van-tiny,0.7190226106674661
20,facebook/deit-tiny-distilled-patch16-224,0.7319203408652122
21,Ahmed9275/ALL-test,0.8512106788480782
22,facebook/deit-tiny-patch16-224,0.7305595106880415
23,microsoft/swin-tiny-patch4-window7-224,0.8512106767960954
24,Visual-Attention-Network/van-large,0.8894499701887322
25,google/vit-base-patch32-384,0.8623676030288392
26,facebook/convnext-base-224-22k-1k,0.8619896938498163
27,google/vit-large-patch32-384,0.8164161850993928
28,microsoft/swin-large-patch4-window7-224,0.9240715098037858
29,lysandre/tiny-vit-random,0.6886667255509854
30,facebook/convnext-large-224-22k-1k,0.9242273819552659
31,facebook/convnext-base-384,0.861989713572668
32,microsoft/resnet-50,0.8408771207334893
33,microsoft/beit-base-patch16-224-pt22k,0.8658057907904785
34,microsoft/beit-large-patch16-224,0.8151647779683523
35,google/vit-large-patch16-224,0.8151124327895176
36,facebook/convnext-large-384,0.9242274113975227
37,facebook/convnext-large-384-22k-1k,0.9242274130761559
38,microsoft/beit-large-patch16-384,0.8154618430809477
39,nielsr/convnext-xlarge-224-22k-1k,0.8821378022523758
40,facebook/deit-base-patch16-384,0.8642352379523308
41,google/vit-base-patch16-384,0.8642352794144642
42,facebook/deit-base-distilled-patch16-384,0.8632301382849112
43,microsoft/swin-large-patch4-window12-384,0.9241033211712437
44,facebook/convnext-xlarge-224-22k-1k,0.8821377991325237
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8656221569712673
46,karthiksv/vit-base-patch16-224-cifar10,0.8656221676406043
47,nateraw/vit-base-patch16-224-cifar10,0.8656221565503699
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8656221663863629
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8656221578852681
50,jadohu/BEiT-finetuned,0.865670694756443
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8656221655833192
52,nateraw/vit-base-beans-demo,0.8656292812580704
53,nickmuchi/vit-base-beans,0.8656292812179847
54,karthiksv/vit-base-beans,0.8656292809778612
55,nateraw/vit-base-beans-demo-v3,0.8656292832284881
56,johnnydevriese/vit_beans,0.8656292812893684
57,nateraw/vit-base-beans-demo-v2,0.8656292823968491
58,mmekias/vit-base-beans,0.865629280844442
59,nateraw/vit-base-beans,0.8656292809744315
60,mrm8488/convnext-tiny-finetuned-beans,0.8495317400361263
61,nielsr/vit-finetuned-eurosat-kornia,0.8656221588565638
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8495513331258968
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8495513337988856
64,Calin/convnext-tiny-finteuned-eurosat,0.8495513330683191
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8495513337516658
66,nielsr/convnext-tiny-finetuned-eurostat,0.8495513330583422
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8484494952092353
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8484494946489839
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8484494935334566
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.848449494631251
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8484494948569409
72,nielsr/convnext-tiny-finetuned-eurosat,0.8495513336709098
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8484494935460588
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8484494935386562
75,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8484494931274846
76,nielsr/van-base-finetuned-eurosat-imgaug,0.8429147625520187
77,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.84844949491699
78,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8484494936331605
79,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8484494931507239
80,eren23/pneumonia_test_attempt,0.8656302964122714
81,nickmuchi/vit-finetuned-chest-xray-pneumonia,0.8656303007829902
82,nickmuchi/vit-base-xray-pneumonia,0.8656302990817814
83,facebook/convnext-base-224-22k,0.842748598206395
84,microsoft/swin-large-patch4-window7-224-in22k,0.9006054178630367
85,microsoft/swin-base-patch4-window7-224-in22k,0.8430820041149936
86,microsoft/beit-base-patch16-224-pt22k-ft22k,0.8470864550962234
87,facebook/convnext-large-224-22k,0.8987357369133664
88,facebook/convnext-xlarge-224-22k,0.9455160008771051
89,microsoft/swin-base-patch4-window12-384-in22k,0.8430245401389482
90,microsoft/beit-large-patch16-224-pt22k-ft22k,0.8376779468597987
91,nielsr/convnext-xlarge-224-22k,0.9455160021202531
92,nickmuchi/vit-finetuned-cats-dogs,0.8656302987245087
93,ismgar01/vit-base-cats-vs-dogs,0.865630298642437
94,akahana/vit-base-cats-vs-dogs,0.8656302988451239
95,nateraw/vit-base-cats-vs-dogs,0.8656302971872573
96,nateraw/test_model_a,0.6884101228902435
97,matteopilotto/vit-base-patch16-224-in21k-snacks,0.8656119827836218
98,Matthijs/snacks-classifier,0.8484778448314421
99,nateraw/vit-base-food101,0.8655295928976036
100,eslamxm/vit-base-food101,0.8655295850156773
101,SriramSridhar78/sriram-car-classifier,0.8654330099818677
102,imjeffhi/pokemon_classifier,0.8647212529549272
103,AkshatSurolia/ViT-FaceMask-Finetuned,0.865630303437587
104,AkshatSurolia/BEiT-FaceMask-Finetuned,0.8658057741709891
105,AkshatSurolia/DeiT-FaceMask-Finetuned,0.8656282677316834
106,Ahmed9275/Vit-Cifar100,0.8655306036570596
