,model,score
0,google/vit-base-patch16-224,0.8623590806464326
1,IDEA-CCNL/Taiyi-vit-87M-D,0.8623590757519779
2,facebook/deit-base-patch16-224,0.8623590747894357
3,facebook/deit-base-distilled-patch16-224,0.8615008502341436
4,mrm8488/data2vec-base-finetuned-imagenet1k,0.8623998863032936
5,facebook/convnext-base-224,0.8601038682441148
6,facebook/convnext-small-224,0.8803694856475159
7,microsoft/swin-base-patch4-window7-224,0.8610214927944924
8,microsoft/beit-base-patch16-224,0.8623998857527349
9,facebook/convnext-tiny-224,0.8411619229766124
10,Visual-Attention-Network/van-small,0.7836609232554762
11,WinKawaks/vit-small-patch16-224,0.8187733220194031
12,facebook/deit-small-distilled-patch16-224,0.8202349035005458
13,Visual-Attention-Network/van-base,0.8348206510219971
14,facebook/deit-small-patch16-224,0.8187733220062275
15,microsoft/swin-small-patch4-window7-224,0.8799315135378901
16,Ahmed9275/ALL-3,0.8402433223066483
17,facebook/convnext-large-224,0.8995869760750645
18,WinKawaks/vit-tiny-patch16-224,0.741328322167821
19,Visual-Attention-Network/van-tiny,0.7321450019375682
20,facebook/deit-tiny-distilled-patch16-224,0.7424134264012228
21,Ahmed9275/ALL-test,0.8402433225503309
22,facebook/deit-tiny-patch16-224,0.7413283215588163
23,microsoft/swin-tiny-patch4-window7-224,0.8402433214477576
24,Visual-Attention-Network/van-large,0.8752187218056048
25,google/vit-base-patch32-384,0.8604318139508437
26,facebook/convnext-base-224-22k-1k,0.8601038687472319
27,google/vit-large-patch32-384,0.8336795619830619
28,microsoft/swin-large-patch4-window7-224,0.8988723446083431
29,lysandre/tiny-vit-random,0.708102717647988
30,facebook/convnext-large-224-22k-1k,0.899586975069451
31,facebook/convnext-base-384,0.86010387829249
32,microsoft/resnet-50,0.8314103401556389
33,microsoft/beit-base-patch16-224-pt22k,0.8633591116890499
34,microsoft/beit-large-patch16-224,0.8331923123457874
35,google/vit-large-patch16-224,0.8331747756424425
36,facebook/convnext-large-384,0.8995869899795692
37,facebook/convnext-large-384-22k-1k,0.8995869908294598
38,nielsr/convnext-xlarge-224-22k-1k,0.8818915414680695
39,facebook/deit-base-patch16-384,0.8620341937253164
40,google/vit-base-patch16-384,0.8620342138389465
41,facebook/deit-base-distilled-patch16-384,0.8611755666535584
42,facebook/convnext-xlarge-224-22k-1k,0.881891539682605
43,microsoft/beit-large-patch16-384,0.8332969517836603
44,microsoft/swin-large-patch4-window12-384,0.898993899509088
45,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.8632052364113586
46,karthiksv/vit-base-patch16-224-cifar10,0.8632052415960951
47,nateraw/vit-base-patch16-224-cifar10,0.8632052362068033
48,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.8632052409866329
49,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8632052368555323
50,jadohu/BEiT-finetuned,0.8632459348493091
51,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.8632052405964182
52,nateraw/vit-base-beans-demo,0.8632112110656485
53,nickmuchi/vit-base-beans,0.8632112110461827
54,karthiksv/vit-base-beans,0.8632112109294631
55,nateraw/vit-base-beans-demo-v3,0.8632112120232202
56,johnnydevriese/vit_beans,0.8632112110808843
57,nateraw/vit-base-beans-demo-v2,0.863211211619081
58,mmekias/vit-base-beans,0.8632112108646206
59,nateraw/vit-base-beans,0.8632112109278045
60,mrm8488/convnext-tiny-finetuned-beans,0.838799173823418
61,nielsr/vit-finetuned-eurosat-kornia,0.8632052373275412
62,mrm8488/convnext-tiny-finetuned-eurosat,0.8388160053139703
63,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,0.8388160056759241
64,Calin/convnext-tiny-finteuned-eurosat,0.8388160052830259
65,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat,0.8388160056505352
66,nielsr/convnext-tiny-finetuned-eurostat,0.8388160052776363
67,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8378702615632772
68,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8378702612617139
69,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8378702606613373
70,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8378702612522013
71,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8378702613736653
72,nielsr/convnext-tiny-finetuned-eurosat,0.8388160056071203
73,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.8378702606681007
74,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.8378702606641136
